,Disease,RNA,Relation,True_y
3300,D015470,654322,0.005064088900617431,0.0
3301,D015470,692073,0.008857980474245639,0.0
3302,D015470,677804,0.004435270431407354,0.0
3303,D015470,677824,0.013696979020920964,0.0
3304,D015470,677808,0.009917116688853148,0.0
3305,D015470,677809,0.019966861150836058,0.0
3306,D015470,677814,0.010202372682488702,0.0
3307,D015470,594839,0.010834266836799947,0.0
3308,D015470,677817,0.00846010360017143,0.0
3309,D015470,619562,0.006457787296425644,0.0
3310,D015470,677827,0.008991806589475286,0.0
3311,D015470,677842,0.0049121230554959455,0.0
3312,D015470,677832,0.00919230744821917,0.0
3313,D015470,677836,0.006696394940004706,0.0
3314,D015470,677838,0.008648018522570251,0.0
3315,D015470,26779,0.011277341575320132,0.0
3316,D015470,100124538,0.012521102214216609,0.0
3317,D015470,26775,0.007638057624284359,0.0
3318,D015470,6080,0.013183671752029873,0.0
3319,D015470,677823,0.011459986910666778,0.0
3320,D015470,677847,0.012404755698597336,0.0
3321,D015470,677798,0.012197574751421893,0.0
3322,D015470,652966,0.014542363314361161,0.0
3323,D015470,594837,0.012815928463261057,0.0
3324,D015470,26771,0.01561646114626097,0.0
3325,D015470,692234,0.02047567420980371,0.0
3326,D015470,692235,0.021265459920445866,0.0
3327,D015470,692200,0.007081706720100792,0.0
3328,D015470,692227,0.012910750508633904,0.0
3329,D015470,692229,0.009821969839718869,0.0
3330,D015470,100113382,0.016662340276973435,0.0
3331,D015470,692058,0.00426313365628864,0.0
3332,D015470,692213,0.009503929638405998,0.0
3333,D015470,692214,0.0037826925180958213,0.0
3334,D015470,692215,0.018187234516838673,0.0
3335,D015470,767561,0.013258250175690694,0.0
3336,D015470,767562,0.011162008940169714,0.0
3337,D015470,767563,0.01750773559583934,0.0
3338,D015470,767565,0.01346776166386775,0.0
3339,D015470,767566,0.013723177972877353,0.0
3340,D015470,767567,0.01465534421752012,0.0
3341,D015470,767568,0.02283236079533285,0.0
3342,D015470,767569,0.014874881347799672,0.0
3343,D015470,767577,0.02341419262463587,0.0
3344,D015470,767588,0.0085847343375956,0.0
3345,D015470,767589,0.012991584698642849,0.0
3346,D015470,767590,0.01767902320665172,0.0
3347,D015470,767591,0.011487791249530397,0.0
3348,D015470,767592,0.010233250837695596,0.0
3349,D015470,767593,0.015194365142337636,0.0
3350,D015470,767595,0.01859582314977814,0.0
3351,D015470,767578,0.013434113995173361,0.0
3352,D015470,767598,0.007269800860242375,0.0
3353,D015470,767599,0.01519436514233758,0.0
3354,D015470,767600,0.008438894481115785,0.0
3355,D015470,767603,0.010477085710531783,0.0
3356,D015470,767605,0.006300885052230352,0.0
3357,D015470,767606,0.011912270097374882,0.0
3358,D015470,767609,0.0063008850522303875,0.0
3359,D015470,767610,0.007977891404735002,0.0
3360,D015470,767579,0.016405644644101637,0.0
3361,D015470,767581,0.011015622593818448,0.0
3362,D015470,767585,0.006960248499427253,0.0
3363,D015470,338433,0.01239823468073243,0.0
3364,D015470,100033447,0.006465361148680312,0.0
3365,D015470,100033450,0.01002149704737211,0.0
3366,D015470,100033453,0.006465361148680268,0.0
3367,D015470,100033454,0.006483759819699412,0.0
3368,D015470,100033603,0.00646536114868034,0.0
3369,D015470,100033800,0.009012144720295212,0.0
3370,D015470,100033805,0.01363686789735212,0.0
3371,D015470,100033806,0.005490186726926551,0.0
3372,D015470,100033807,0.0073253253229002575,0.0
3373,D015470,100033814,0.00648375981969923,0.0
3374,D015470,100033816,0.006483759819699369,0.0
3375,D015470,100033445,0.005490186726926506,0.0
3376,D015470,100033413,0.005849107183759389,0.0
3377,D015470,100033427,0.01058763234629642,0.0
3378,D015470,100033428,0.008155153320120921,0.0
3379,D015470,100033414,0.003049049049642735,0.0
3380,D015470,100033431,0.008286141273016391,0.0
3381,D015470,100033432,0.011004630061695232,0.0
3382,D015470,100033435,0.014542316080422005,0.0
3383,D015470,100033436,0.010098032085669239,0.0
3384,D015470,100033821,0.008377719238568272,0.0
3385,D015470,100033415,0.005649936148837893,0.0
3386,D015470,692233,0.013431785655425802,0.0
3387,D015470,727676,0.011882864167625719,0.0
3388,D015470,100113378,0.008018254651831841,0.0
3389,D015470,100113392,0.009572530007063634,0.0
3390,D015470,692057,0.006060507212953779,0.0
3391,D015470,100113379,0.022214453012073202,0.0
3392,D015470,101340252,0.01696916927892664,0.0
3393,D015470,100113384,0.004266114294473698,0.0
3394,D015470,101340251,0.011150067607381088,0.0
3395,D015470,100113380,0.011430061937280847,0.0
3396,D015470,100113391,0.017057985408888414,0.0
3397,D015470,100113389,0.00963063321817547,0.0
3398,D015470,100113393,0.007086949822483158,0.0
3399,D015470,26765,0.005532092369276036,0.0
3400,D015470,692084,0.019628358328693328,0.0
3401,D015470,26822,0.00703694796452076,0.0
3402,D015470,85388,0.008441421977025708,0.0
3403,D015470,85389,0.010075899354072111,0.0
3404,D015470,85390,0.02019246337084877,1.0
3405,D015470,85391,0.009253219561518384,0.0
3406,D015470,6079,0.011231723230011526,0.0
3407,D015470,114599,0.016033493900872546,0.0
3408,D015470,595097,0.015270136207960729,0.0
3409,D015470,595098,0.0076012462834946955,0.0
3410,D015470,595099,0.011702116238933167,0.0
3411,D015470,595100,0.010240422169535135,0.0
3412,D015470,692089,0.01451162414720604,0.0
3413,D015470,100113381,0.01452774943281187,0.0
3414,D015470,677848,0.015338016922911184,0.0
3415,D015470,677849,0.009925702908810733,0.0
3416,D015470,677850,0.01210077599000637,0.0
3417,D015470,619567,0.014007392482135804,0.0
3418,D015470,6082,0.0042438963235976864,0.0
3419,D015470,6083,0.007022752319783408,0.0
3420,D015470,9304,0.02022974492656484,0.0
3421,D015470,692091,0.004376627659570335,0.0
3422,D015470,26820,0.009146094358599793,0.0
3423,D015470,9303,0.0139625544827169,0.0
3424,D015470,9302,0.005842400257538714,0.0
3425,D015470,9301,0.014547002851528205,0.0
3426,D015470,9300,0.014007480969606169,0.0
3427,D015470,9299,0.007567018038419752,0.0
3428,D015470,9298,0.005311115511694684,0.0
3429,D015470,26819,0.010379668120613552,0.0
3430,D015470,26818,0.02180305094718154,0.0
3431,D015470,26817,0.007939766950094879,0.0
3432,D015470,26816,0.006075792151370071,1.0
3433,D015470,84546,0.010884686310113419,0.0
