,Disease,RNA,Relation,True_y
3080,D010051,654322,0.0036451721843322746,0.0
3081,D010051,692073,0.0074184983642238585,0.0
3082,D010051,677804,0.003285319201391034,0.0
3083,D010051,677824,0.011510044392551095,0.0
3084,D010051,677808,0.008059018571000415,0.0
3085,D010051,677809,0.015627095538646635,0.0
3086,D010051,677814,0.0072265557196241,0.0
3087,D010051,594839,0.010385094627843726,0.0
3088,D010051,677817,0.008032622274050882,0.0
3089,D010051,619562,0.0061072271138274264,0.0
3090,D010051,677827,0.006468084389458327,0.0
3091,D010051,677842,0.003626641410365501,0.0
3092,D010051,677832,0.00786246056793075,0.0
3093,D010051,677836,0.005131099428944666,0.0
3094,D010051,677838,0.005726332295440667,0.0
3095,D010051,26779,0.009316076537947492,0.0
3096,D010051,100124538,0.011234125903095069,0.0
3097,D010051,26775,0.005025396816931892,0.0
3098,D010051,6080,0.010877384170192562,0.0
3099,D010051,677823,0.009653382749481588,0.0
3100,D010051,677847,0.01043009589712208,0.0
3101,D010051,677798,0.009874097222073497,0.0
3102,D010051,652966,0.01261412112080541,0.0
3103,D010051,594837,0.0074838960573414305,0.0
3104,D010051,26771,0.00787769107512471,0.0
3105,D010051,692234,0.016470233132689763,0.0
3106,D010051,692235,0.01752100191320276,0.0
3107,D010051,692200,0.006132159516893684,0.0
3108,D010051,692227,0.009246818288928463,0.0
3109,D010051,692229,0.007210317468049038,0.0
3110,D010051,100113382,0.00964580287060729,0.0
3111,D010051,692058,0.0028509997347603644,0.0
3112,D010051,692213,0.004166970454700332,0.0
3113,D010051,692214,0.0020223403434140204,0.0
3114,D010051,692215,0.012699247708179973,0.0
3115,D010051,767561,0.00868854427463698,0.0
3116,D010051,767562,0.008712864376427052,0.0
3117,D010051,767563,0.007865104397594193,0.0
3118,D010051,767565,0.010290702620372835,0.0
3119,D010051,767566,0.005604768074287739,0.0
3120,D010051,767567,0.006328409342400856,0.0
3121,D010051,767568,0.012897794549558042,0.0
3122,D010051,767569,0.007077704025492404,0.0
3123,D010051,767577,0.013239065329919194,0.0
3124,D010051,767588,0.004624864769054136,1.0
3125,D010051,767589,0.008418909542608558,1.0
3126,D010051,767590,0.008121662808096786,0.0
3127,D010051,767591,0.008421356196013738,0.0
3128,D010051,767592,0.006413580742947882,0.0
3129,D010051,767593,0.009559833947251623,0.0
3130,D010051,767595,0.013066864002348317,0.0
3131,D010051,767578,0.008628670231088657,1.0
3132,D010051,767598,0.003253663430422278,0.0
3133,D010051,767599,0.009559833947251597,0.0
3134,D010051,767600,0.001650601576643144,0.0
3135,D010051,767603,0.003642145267127898,0.0
3136,D010051,767605,0.0037947302454090764,0.0
3137,D010051,767606,0.005604723916897959,0.0
3138,D010051,767609,0.0037947302454090556,0.0
3139,D010051,767610,0.003869077713039996,0.0
3140,D010051,767579,0.011233248271492966,0.0
3141,D010051,767581,0.007494557483930438,0.0
3142,D010051,767585,0.0028800110650299207,0.0
3143,D010051,338433,0.010230850467232003,0.0
3144,D010051,100033447,0.002620913490536783,0.0
3145,D010051,100033450,0.0067852624027847745,0.0
3146,D010051,100033453,0.0026209134905368753,0.0
3147,D010051,100033454,0.0026288079021037454,0.0
3148,D010051,100033603,0.0026209134905368437,0.0
3149,D010051,100033800,0.004652553180339468,0.0
3150,D010051,100033805,0.01028755100802687,0.0
3151,D010051,100033806,0.002519115386068988,0.0
3152,D010051,100033807,0.003720741342872319,0.0
3153,D010051,100033814,0.002628807902103724,0.0
3154,D010051,100033816,0.0026288079021037215,0.0
3155,D010051,100033445,0.0025191153860688502,0.0
3156,D010051,100033413,0.0028395042298282403,0.0
3157,D010051,100033427,0.0037968310640317075,0.0
3158,D010051,100033428,0.003280433063907303,0.0
3159,D010051,100033414,0.0008953942331895014,0.0
3160,D010051,100033431,0.003486569026472106,0.0
3161,D010051,100033432,0.003635162971220026,0.0
3162,D010051,100033435,0.006404288719889184,0.0
3163,D010051,100033436,0.005694080829851336,0.0
3164,D010051,100033821,0.0038000943990826935,0.0
3165,D010051,100033415,0.0027543462260294083,0.0
3166,D010051,692233,0.012113951635398211,0.0
3167,D010051,727676,0.012726877298585244,0.0
3168,D010051,100113378,0.007065744207628915,0.0
3169,D010051,100113392,0.006713936282755108,0.0
3170,D010051,692057,0.004716555568176781,0.0
3171,D010051,100113379,0.01615660713783943,0.0
3172,D010051,101340252,0.0120081625847673,0.0
3173,D010051,100113384,0.002900818436919157,0.0
3174,D010051,101340251,0.01083619875405018,0.0
3175,D010051,100113380,0.009523683096858077,0.0
3176,D010051,100113391,0.013135024293056788,0.0
3177,D010051,100113389,0.0059521189771980995,0.0
3178,D010051,100113393,0.006345172144592727,0.0
3179,D010051,26765,0.004453322033588017,0.0
3180,D010051,692084,0.014619886455694599,0.0
3181,D010051,26822,0.006096798073003781,0.0
3182,D010051,85388,0.005954043422267635,0.0
3183,D010051,85389,0.0069403342659312755,0.0
3184,D010051,85390,0.015857359583539128,0.0
3185,D010051,85391,0.007236468551826385,0.0
3186,D010051,6079,0.006919920706764188,0.0
3187,D010051,114599,0.017454937534355154,0.0
3188,D010051,595097,0.012441183312888425,0.0
3189,D010051,595098,0.005191572408180831,0.0
3190,D010051,595099,0.007276732032509301,0.0
3191,D010051,595100,0.007335759513971862,0.0
3192,D010051,692089,0.009864821462051664,0.0
3193,D010051,100113381,0.010260472473468837,0.0
3194,D010051,677848,0.010062397713736827,0.0
3195,D010051,677849,0.00715365844695089,0.0
3196,D010051,677850,0.007214713624794293,0.0
3197,D010051,619567,0.011536998169648158,0.0
3198,D010051,6082,0.0032168707032224526,0.0
3199,D010051,6083,0.006148386115152912,0.0
3200,D010051,9304,0.02092215167598267,0.0
3201,D010051,692091,0.0035728873227252153,0.0
3202,D010051,26820,0.007347865991665405,0.0
3203,D010051,9303,0.010181766182954305,0.0
3204,D010051,9302,0.005387263885485354,0.0
3205,D010051,9301,0.010599603106586109,0.0
3206,D010051,9300,0.009147211933855865,0.0
3207,D010051,9299,0.00539420445444772,0.0
3208,D010051,9298,0.0036363452240669152,0.0
3209,D010051,26819,0.006217326480000155,0.0
3210,D010051,26818,0.019730366073543143,0.0
3211,D010051,26817,0.005823908907979227,0.0
3212,D010051,26816,0.006123673201776678,0.0
3213,D010051,84546,0.010129956016287592,0.0
3214,D010051,26815,0.010297920539895455,0.0
3215,D010051,26814,0.0028456153841434884,0.0
3216,D010051,26813,0.012984750131517155,0.0
3217,D010051,26812,0.016522122207569344,0.0
3218,D010051,94162,0.004313036010957573,0.0
3219,D010051,94163,0.00981751585933209,0.0
3220,D010051,780851,0.01885005303665769,0.0
3221,D010051,26851,0.010718037289839551,0.0
3222,D010051,780852,0.010718037289839468,0.0
3223,D010051,780853,0.010727790986490193,0.0
3224,D010051,780854,0.013442070699652708,0.0
3225,D010051,26843,0.011316361899674405,0.0
3226,D010051,26810,0.008574187241470872,0.0
3227,D010051,26809,0.004407815089364966,0.0
3228,D010051,26808,0.005858212754924398,0.0
3229,D010051,26807,0.012025668801336693,0.0
3230,D010051,26806,0.015170417785165077,0.0
3231,D010051,26805,0.004355750708627965,0.0
3232,D010051,26804,0.005802689360513629,0.0
