,Disease,RNA,Relation,True_y
1980,D001943,654322,0.031239325757125316,0.0
1981,D001943,692073,0.03530274151848045,0.0
1982,D001943,677804,0.024795466094596742,0.0
1983,D001943,677824,0.03512053325494437,0.0
1984,D001943,677808,0.025979214287644874,0.0
1985,D001943,677809,0.03319992399717463,0.0
1986,D001943,677814,0.036254684868431336,0.0
1987,D001943,594839,0.03443334180458643,0.0
1988,D001943,677817,0.033130537005622115,0.0
1989,D001943,619562,0.025777959094076784,0.0
1990,D001943,677827,0.03243166825665955,0.0
1991,D001943,677842,0.015537349671506802,0.0
1992,D001943,677832,0.03283277950045506,0.0
1993,D001943,677836,0.03770431023402953,0.0
1994,D001943,677838,0.035630280342918985,0.0
1995,D001943,26779,0.03700724106770514,0.0
1996,D001943,100124538,0.027751366498589777,0.0
1997,D001943,26775,0.02274584296969591,0.0
1998,D001943,6080,0.035174007317970137,0.0
1999,D001943,677823,0.026461367473591298,0.0
2000,D001943,677847,0.0368947364405609,0.0
2001,D001943,677798,0.03557156270048692,0.0
2002,D001943,652966,0.0297420456032824,0.0
2003,D001943,594837,0.025124489031820837,0.0
2004,D001943,26771,0.03130823131373193,0.0
2005,D001943,692234,0.0332919916018591,0.0
2006,D001943,692235,0.03285365882091963,0.0
2007,D001943,692200,0.025185436563180903,0.0
2008,D001943,692227,0.022462834501704554,0.0
2009,D001943,692229,0.031044684432129804,0.0
2010,D001943,100113382,0.024653201821137942,0.0
2011,D001943,692058,0.019326548485395285,0.0
2012,D001943,692213,0.015534821796058262,0.0
2013,D001943,692214,0.02733104424192359,0.0
2014,D001943,692215,0.037934807971590566,0.0
2015,D001943,767561,0.01691192911052303,0.0
2016,D001943,767562,0.02729490565094301,0.0
2017,D001943,767563,0.02060555658373265,0.0
2018,D001943,767565,0.019901133657821153,0.0
2019,D001943,767566,0.0261573754996959,0.0
2020,D001943,767567,0.015441991748725813,0.0
2021,D001943,767568,0.033783119043822855,0.0
2022,D001943,767569,0.013955790421156784,0.0
2023,D001943,767577,0.020798473092357644,0.0
2024,D001943,767588,0.020194617814514232,0.0
2025,D001943,767589,0.022633162192730684,0.0
2026,D001943,767590,0.02676706601922932,0.0
2027,D001943,767591,0.023541066719593065,0.0
2028,D001943,767592,0.024483604018662522,0.0
2029,D001943,767593,0.0213010135337613,0.0
2030,D001943,767595,0.02729514254517626,0.0
2031,D001943,767578,0.02528827760190519,0.0
2032,D001943,767598,0.0177659093951844,0.0
2033,D001943,767599,0.021301013533761175,0.0
2034,D001943,767600,0.01647375614052886,0.0
2035,D001943,767603,0.02173843634523485,0.0
2036,D001943,767605,0.016568659493018775,0.0
2037,D001943,767606,0.02133839086342581,0.0
2038,D001943,767609,0.01656865949301909,0.0
2039,D001943,767610,0.019030419587451358,0.0
2040,D001943,767579,0.022041187632770548,0.0
2041,D001943,767581,0.022641633388932006,0.0
2042,D001943,767585,0.01653793828233805,0.0
2043,D001943,338433,0.03584625272219347,1.0
2044,D001943,100033447,0.0354824870770312,0.0
2045,D001943,100033450,0.0358262790988273,0.0
2046,D001943,100033453,0.035482487077030944,0.0
2047,D001943,100033454,0.03552075962722262,0.0
2048,D001943,100033603,0.035482487077030715,0.0
2049,D001943,100033800,0.03356778906680577,0.0
2050,D001943,100033805,0.037919281224903775,0.0
2051,D001943,100033806,0.033718717111432935,0.0
2052,D001943,100033807,0.03373323348606812,0.0
2053,D001943,100033814,0.03552075962722377,0.0
2054,D001943,100033816,0.03552075962722237,0.0
2055,D001943,100033445,0.033718717111430235,0.0
2056,D001943,100033413,0.03625084709088712,0.0
2057,D001943,100033427,0.03600111857601625,0.0
2058,D001943,100033428,0.03644366625176097,0.0
2059,D001943,100033414,0.028846781569416828,0.0
2060,D001943,100033431,0.0366110046399022,0.0
2061,D001943,100033432,0.03759651877759475,0.0
2062,D001943,100033435,0.037245262294675355,0.0
2063,D001943,100033436,0.03241132714323587,0.0
2064,D001943,100033821,0.03559878630809063,0.0
2065,D001943,100033415,0.03522340255724886,0.0
2066,D001943,692233,0.02689402016630336,0.0
2067,D001943,727676,0.026938124553513756,1.0
2068,D001943,100113378,0.021089507457213573,0.0
2069,D001943,100113392,0.015229448213025125,0.0
2070,D001943,692057,0.018335047139450982,0.0
2071,D001943,100113379,0.03785630449784029,0.0
2072,D001943,101340252,0.0316623829325417,0.0
2073,D001943,100113384,0.027645761265501292,0.0
