,Disease,RNA,Relation,True_y
880,D006528,654322,0.03304470857590919,0.0
881,D006528,692073,0.037394795519010315,0.0
882,D006528,677804,0.028067467916174635,0.0
883,D006528,677824,0.03720961167831003,0.0
884,D006528,677808,0.027113695036602763,0.0
885,D006528,677809,0.034226697215931065,1.0
886,D006528,677814,0.038299592293345466,0.0
887,D006528,594839,0.03627748157492236,0.0
888,D006528,677817,0.034834813053066904,0.0
889,D006528,619562,0.02872750131812003,0.0
890,D006528,677827,0.03443744239217905,0.0
891,D006528,677842,0.017197051596103567,0.0
892,D006528,677832,0.03452179354974713,0.0
893,D006528,677836,0.03986840283986479,0.0
894,D006528,677838,0.03775281431746294,0.0
895,D006528,26779,0.03873216153831221,0.0
896,D006528,100124538,0.02881399414290812,0.0
897,D006528,26775,0.023924849889265888,0.0
898,D006528,6080,0.03687183574276824,0.0
899,D006528,677823,0.027996972754095822,0.0
900,D006528,677847,0.03890074697831958,0.0
901,D006528,677798,0.03766821130738389,0.0
902,D006528,652966,0.03224981188243598,0.0
903,D006528,594837,0.025696353527839753,1.0
904,D006528,26771,0.032211156426353804,1.0
905,D006528,692234,0.035086771839172845,1.0
906,D006528,692235,0.03432964813182611,1.0
907,D006528,692200,0.027435739077430132,0.0
908,D006528,692227,0.024401302672141786,0.0
909,D006528,692229,0.03392009608161644,0.0
910,D006528,100113382,0.02693318644786024,0.0
911,D006528,692058,0.021556924694421546,0.0
912,D006528,692213,0.016849760026331324,0.0
913,D006528,692214,0.029075359451258224,0.0
914,D006528,692215,0.03977148546291537,0.0
915,D006528,767561,0.016641129114360585,1.0
916,D006528,767562,0.029145560702267946,0.0
917,D006528,767563,0.022515788920112773,0.0
918,D006528,767565,0.020505155967491213,1.0
919,D006528,767566,0.027599644241411564,0.0
920,D006528,767567,0.017222391245448644,0.0
921,D006528,767568,0.0360201903636952,1.0
922,D006528,767569,0.015458319198189234,0.0
923,D006528,767577,0.022337681637804595,1.0
924,D006528,767588,0.02111893719960586,0.0
925,D006528,767589,0.023611407139868874,0.0
926,D006528,767590,0.028708127147199353,0.0
927,D006528,767591,0.024808691626029743,0.0
928,D006528,767592,0.02614061056133725,0.0
929,D006528,767593,0.022864003219540685,0.0
930,D006528,767595,0.02872998900479895,0.0
931,D006528,767578,0.02638745646866477,0.0
932,D006528,767598,0.01906841353148689,0.0
933,D006528,767599,0.022864003219542184,0.0
934,D006528,767600,0.01807165679740291,0.0
935,D006528,767603,0.02329870954739781,0.0
936,D006528,767605,0.0181154425258086,0.0
937,D006528,767606,0.023111962009739067,0.0
