,Disease,RNA,Relation,True_y
1540,D011471,654322,0.00013013595038055873,0.0
1541,D011471,692073,0.012685490093556713,0.0
1542,D011471,677804,0.01684074112856388,0.0
1543,D011471,677824,0.05767829036493283,0.0
1544,D011471,677808,0.0375470553823674,0.0
1545,D011471,677809,0.0369866137631931,0.0
1546,D011471,677814,0.024339508056527973,0.0
1547,D011471,594839,-0.0004867338413384172,0.0
1548,D011471,677817,0.010265318768933222,0.0
1549,D011471,619562,0.016338964471164157,0.0
1550,D011471,677827,0.021555923903174217,0.0
1551,D011471,677842,-0.01106398632238614,0.0
1552,D011471,677832,0.01106805661804706,0.0
1553,D011471,677836,0.026932436446826177,0.0
1554,D011471,677838,0.01748339263703999,0.0
1555,D011471,26779,0.012486545937814474,0.0
1556,D011471,100124538,0.05147959392592585,0.0
1557,D011471,26775,0.0076259313700669466,0.0
1558,D011471,6080,0.02522280553535796,0.0
1559,D011471,677823,0.020761994902195508,0.0
1560,D011471,677847,0.026716895297324794,0.0
1561,D011471,677798,0.015110016893290296,0.0
1562,D011471,652966,0.01984684031299215,0.0
1563,D011471,594837,0.0032317252900619835,0.0
1564,D011471,26771,0.01963927164909517,0.0
1565,D011471,692234,0.023468235446586917,0.0
1566,D011471,692235,0.029344033492469175,0.0
1567,D011471,692200,-0.015613532574965106,0.0
1568,D011471,692227,-0.008017021628826343,0.0
1569,D011471,692229,0.016640851294278385,0.0
1570,D011471,100113382,0.022054640172847938,0.0
1571,D011471,692058,-0.01775035799084134,0.0
1572,D011471,692213,-0.020692810527177086,0.0
1573,D011471,692214,0.006435598693786353,0.0
1574,D011471,692215,0.03743440077621496,0.0
1575,D011471,767561,0.01636826092913514,0.0
1576,D011471,767562,-0.005949398693093586,0.0
1577,D011471,767563,0.020024312358823265,0.0
1578,D011471,767565,0.029509083640763184,0.0
1579,D011471,767566,0.012005411783136228,0.0
1580,D011471,767567,0.008754801326291455,0.0
1581,D011471,767568,0.025406275659213953,0.0
1582,D011471,767569,0.006337728111668166,0.0
1583,D011471,767577,0.05741052762645009,0.0
1584,D011471,767588,0.07645996552654077,0.0
1585,D011471,767589,0.1111040835850341,0.0
1586,D011471,767590,0.015973093613201962,0.0
1587,D011471,767591,0.07769613345920742,0.0
1588,D011471,767592,0.022045484522256905,0.0
1589,D011471,767593,0.06616813238843644,0.0
1590,D011471,767595,0.052538668646661554,0.0
1591,D011471,767578,0.10514964948280404,0.0
1592,D011471,767598,0.03200528604702542,0.0
1593,D011471,767599,0.06616813238843644,0.0
1594,D011471,767600,0.013474518135183017,0.0
1595,D011471,767603,-0.004377627670798729,0.0
1596,D011471,767605,0.024564926309533615,0.0
1597,D011471,767606,0.029973281509677867,0.0
1598,D011471,767609,0.024564926309533615,0.0
1599,D011471,767610,0.030052858355707125,0.0
1600,D011471,767579,0.06984090123660519,0.0
1601,D011471,767581,0.063742067606055,0.0
1602,D011471,767585,0.022008725192153966,0.0
1603,D011471,338433,0.04158859152312001,0.0
1604,D011471,100033447,0.020290771644216173,0.0
1605,D011471,100033450,0.02856372274542386,0.0
1606,D011471,100033453,0.020290771644216173,0.0
1607,D011471,100033454,0.020142061191768777,0.0
1608,D011471,100033603,0.020290771644216173,0.0
1609,D011471,100033800,0.02818680293982953,0.0
1610,D011471,100033805,0.04189073206153458,0.0
1611,D011471,100033806,0.013017021367415026,0.0
1612,D011471,100033807,0.014222415274023903,0.0
1613,D011471,100033814,0.020142061191768777,0.0
1614,D011471,100033816,0.020142061191768777,0.0
1615,D011471,100033445,0.013017021367415026,0.0
1616,D011471,100033413,0.030750856495291252,0.0
1617,D011471,100033427,0.014095526509319278,0.0
1618,D011471,100033428,0.025823301138316844,0.0
1619,D011471,100033414,0.01813348984715698,0.0
1620,D011471,100033431,0.027717167074810343,0.0
1621,D011471,100033432,0.040095198406601,0.0
1622,D011471,100033435,0.027515372361594605,0.0
1623,D011471,100033436,0.019418995183495446,0.0
1624,D011471,100033821,0.01825965578197472,0.0
1625,D011471,100033415,0.027419028285334376,0.0
1626,D011471,692233,0.008479137793309128,1.0
1627,D011471,727676,0.07607239768837529,0.0
1628,D011471,100113378,0.006697985538428921,0.0
1629,D011471,100113392,0.005454312797861566,0.0
1630,D011471,692057,0.001583030138553685,0.0
1631,D011471,100113379,0.02015697214911122,0.0
1632,D011471,101340252,0.009461201227520736,0.0
1633,D011471,100113384,0.028206226464207743,0.0
1634,D011471,101340251,0.02585608056530717,0.0
1635,D011471,100113380,0.0034959561731905957,0.0
1636,D011471,100113391,0.034923941964341135,0.0
1637,D011471,100113389,0.004279263080800814,0.0
1638,D011471,100113393,-0.009640781074141663,0.0
1639,D011471,26765,-0.019863049704109695,0.0
1640,D011471,692084,0.04009704375293924,0.0
1641,D011471,26822,0.008352619659859707,0.0
1642,D011471,85388,0.02192981368637091,0.0
1643,D011471,85389,0.009574750283676749,0.0
1644,D011471,85390,0.04572537296593608,0.0
1645,D011471,85391,0.02317037218846065,0.0
1646,D011471,6079,0.022374914557915404,0.0
1647,D011471,114599,0.08042242623095706,1.0
1648,D011471,595097,0.028330428563912297,0.0
1649,D011471,595098,0.07102873051603165,0.0
1650,D011471,595099,0.042847995566503996,0.0
1651,D011471,595100,0.031179031822180618,0.0
1652,D011471,692089,0.028137042383778545,0.0
1653,D011471,100113381,-0.0034074990291514977,0.0
1654,D011471,677848,0.05606603644070434,0.0
1655,D011471,677849,0.028946629000630105,0.0
1656,D011471,677850,0.021039980271033557,0.0
1657,D011471,619567,0.04861108155237923,0.0
1658,D011471,6082,0.0134634658169241,0.0
1659,D011471,6083,0.00884987902755369,0.0
1660,D011471,9304,0.11614250082470079,1.0
1661,D011471,692091,-0.004512352923634061,0.0
1662,D011471,26820,0.04586034553212465,0.0
1663,D011471,9303,0.03969750168786711,0.0
1664,D011471,9302,0.057787569782608635,0.0
1665,D011471,9301,0.026424564778764315,0.0
1666,D011471,9300,-0.0013657849792058341,0.0
1667,D011471,9299,-0.008934136951667934,0.0
1668,D011471,9298,-0.013306967646406322,0.0
1669,D011471,26819,-0.01418950293270068,0.0
1670,D011471,26818,0.11444532646142497,1.0
1671,D011471,26817,-0.01402420991507363,0.0
1672,D011471,26816,0.01558702490013328,0.0
1673,D011471,84546,0.08928425529685254,0.0
1674,D011471,26815,-0.004212152334734834,0.0
1675,D011471,26814,0.006135891208944433,0.0
1676,D011471,26813,0.03721971051508683,0.0
1677,D011471,26812,0.045811507109608116,0.0
1678,D011471,94162,0.008845936076991984,0.0
1679,D011471,94163,0.019627748126050053,0.0
1680,D011471,780851,0.07669500713346034,1.0
1681,D011471,26851,0.03160269815434301,0.0
1682,D011471,780852,0.03160269815434301,0.0
1683,D011471,780853,0.04440359214888029,0.0
1684,D011471,780854,0.03669823441494439,0.0
1685,D011471,26843,0.006072146269575189,0.0
1686,D011471,26810,0.031079800540984207,0.0
1687,D011471,26809,0.03838023434855696,0.0
1688,D011471,26808,0.03292200105582749,0.0
1689,D011471,26807,0.10304536344969911,0.0
1690,D011471,26806,0.0595508518907218,0.0
1691,D011471,26805,0.005393824833926278,0.0
1692,D011471,26804,-0.0053221829118361265,0.0
1693,D011471,692085,-0.0020992231130616745,0.0
1694,D011471,94161,0.025650978483087776,0.0
1695,D011471,26802,0.021551528345573716,0.0
1696,D011471,26801,0.04613209973870495,0.0
1697,D011471,26800,0.047824300292600756,0.0
1698,D011471,692087,0.062139327977534256,0.0
1699,D011471,26773,0.018191358407551733,0.0
1700,D011471,26772,0.012464559775909097,0.0
