,Disease,RNA,Relation,True_y
880,D006528,654322,0.008064948516759138,0.0
881,D006528,692073,0.06930846989441633,0.0
882,D006528,677804,-0.01172391606997444,0.0
883,D006528,677824,0.14141160457276697,0.0
884,D006528,677808,0.03131743986434417,0.0
885,D006528,677809,0.0497409706728209,1.0
886,D006528,677814,0.08031618974017088,0.0
887,D006528,594839,0.0482009904531386,0.0
888,D006528,677817,0.02689145467584833,0.0
889,D006528,619562,0.01808059380986509,0.0
890,D006528,677827,0.04299576549447646,0.0
891,D006528,677842,-0.06482430540908557,0.0
892,D006528,677832,0.06454366423278113,0.0
893,D006528,677836,0.1002733016482997,0.0
894,D006528,677838,0.0037522098137078358,0.0
895,D006528,26779,0.0598911301523243,0.0
896,D006528,100124538,0.12316595874890666,0.0
897,D006528,26775,0.01498063972537729,0.0
898,D006528,6080,0.040000928142396946,0.0
899,D006528,677823,-0.02269480638661806,0.0
900,D006528,677847,0.03986867452838759,0.0
901,D006528,677798,0.058690387279976816,0.0
902,D006528,652966,0.04527928707439882,0.0
903,D006528,594837,-0.031624531493054296,1.0
904,D006528,26771,0.019344601606209974,1.0
905,D006528,692234,0.05091283227165895,1.0
906,D006528,692235,0.05849116479311908,1.0
907,D006528,692200,-0.033479091854839785,0.0
908,D006528,692227,-0.04481566366406001,0.0
909,D006528,692229,-0.009494905665429662,0.0
910,D006528,100113382,0.02074676455266106,0.0
911,D006528,692058,-0.06547545376323856,0.0
912,D006528,692213,-0.06743844363793175,0.0
913,D006528,692214,0.0013581944440420994,0.0
914,D006528,692215,0.017488795913768018,0.0
915,D006528,767561,0.02736438038753454,1.0
916,D006528,767562,0.03173991578255088,0.0
917,D006528,767563,0.030626333687144774,0.0
918,D006528,767565,0.020495437915870864,1.0
919,D006528,767566,0.021850272907464007,0.0
920,D006528,767567,-0.11064663276844147,0.0
921,D006528,767568,0.025443296767143186,1.0
922,D006528,767569,-0.04712944119400203,0.0
923,D006528,767577,0.0633142545421316,1.0
924,D006528,767588,0.06238683412764162,0.0
925,D006528,767589,0.14840076303316413,0.0
926,D006528,767590,-0.033072163624024174,0.0
927,D006528,767591,0.10571191631259719,0.0
928,D006528,767592,0.014610224833873798,0.0
929,D006528,767593,0.09091928788787781,0.0
930,D006528,767595,0.07235293099894932,0.0
931,D006528,767578,0.15244597145361827,0.0
932,D006528,767598,0.038733602037890995,0.0
933,D006528,767599,0.09091928788787781,0.0
934,D006528,767600,-0.010067170808807362,0.0
935,D006528,767603,-0.04569237985673752,0.0
