,Disease,RNA,Relation,True_y
220,D020786,654322,0.006666898169957202,0.0
221,D020786,692073,0.021463963747696685,0.0
222,D020786,677804,0.011882338207195491,0.0
223,D020786,677824,0.007948542115769274,0.0
224,D020786,677808,0.013032035025017753,0.0
225,D020786,677809,0.0253624695391497,0.0
226,D020786,677814,-0.014950512942527382,0.0
227,D020786,594839,0.03380797621371427,0.0
228,D020786,677817,0.01142487090020753,0.0
229,D020786,619562,0.019943122645364138,0.0
230,D020786,677827,0.004156161527512109,0.0
231,D020786,677842,-0.010835955677174153,0.0
232,D020786,677832,-0.004214667211684248,0.0
233,D020786,677836,0.011035574657202295,0.0
234,D020786,677838,0.0010668470587965467,0.0
235,D020786,26779,0.014293632449302722,0.0
236,D020786,100124538,0.029518528871992245,0.0
237,D020786,26775,0.021984314930984024,0.0
238,D020786,6080,0.009593927874411113,0.0
239,D020786,677823,0.0030402798832323682,0.0
240,D020786,677847,-0.004543243619369069,0.0
241,D020786,677798,0.004965602325445791,0.0
242,D020786,652966,0.025445022539407825,0.0
243,D020786,594837,0.002201469094167359,0.0
244,D020786,26771,-0.00527611070784105,1.0
245,D020786,692234,0.003910030049826835,0.0
246,D020786,692235,0.005148664865214604,0.0
247,D020786,692200,-0.01132181013335834,0.0
248,D020786,692227,0.0008158060243379592,0.0
249,D020786,692229,-0.0025099147994059904,0.0
250,D020786,100113382,0.007112874132961893,1.0
251,D020786,692058,-0.005993048952982347,0.0
252,D020786,692213,-0.008595366743883403,1.0
253,D020786,692214,0.006883669199220141,0.0
254,D020786,692215,0.03199308384037394,0.0
255,D020786,767561,0.023098986244580774,0.0
256,D020786,767562,0.03477550514649606,0.0
257,D020786,767563,0.02689907517334733,1.0
258,D020786,767565,0.03027701156951501,0.0
259,D020786,767566,0.018081996227265452,1.0
260,D020786,767567,-9.652624700977429e-05,1.0
261,D020786,767568,0.049598924581726114,1.0
262,D020786,767569,0.011949425886601424,1.0
263,D020786,767577,0.062084876046125434,1.0
264,D020786,767588,0.003877576319722577,0.0
265,D020786,767589,0.03157274653597514,0.0
266,D020786,767590,0.016337360573884633,1.0
267,D020786,767591,0.009106366032899733,0.0
268,D020786,767592,0.017030675666005322,0.0
269,D020786,767593,0.014452269105740535,0.0
270,D020786,767595,0.047492926372629,0.0
271,D020786,767578,0.041447412986892855,0.0
272,D020786,767598,0.005503214238253737,0.0
273,D020786,767599,0.014452269105740535,0.0
274,D020786,767600,-0.003909863126870094,1.0
275,D020786,767603,-0.008964453018770777,1.0
276,D020786,767605,-0.0039773852695578205,0.0
277,D020786,767606,-0.0018741159096367,1.0
278,D020786,767609,-0.0039773852695578205,0.0
279,D020786,767610,0.0038089079675175824,0.0
280,D020786,767579,0.036543343369609155,0.0
281,D020786,767581,0.013314900206214411,0.0
282,D020786,767585,-0.004206893833862859,0.0
283,D020786,338433,0.04538119840666646,0.0
284,D020786,100033447,0.03660553950168806,1.0
285,D020786,100033450,0.04154934143175429,0.0
286,D020786,100033453,0.03660553950168806,1.0
287,D020786,100033454,0.03654974813200089,1.0
288,D020786,100033603,0.03660553950168806,1.0
289,D020786,100033800,0.037679858043004805,1.0
290,D020786,100033805,0.010681957397334348,0.0
291,D020786,100033806,0.03226891756258028,1.0
292,D020786,100033807,0.025404054221825206,1.0
293,D020786,100033814,0.03654974813200089,1.0
294,D020786,100033816,0.03654974813200089,1.0
295,D020786,100033445,0.03226891756258028,1.0
296,D020786,100033413,-0.007414262677871574,0.0
297,D020786,100033427,-0.006688107882620274,1.0
298,D020786,100033428,-0.013701832838104892,0.0
299,D020786,100033414,0.00038363009449252626,0.0
300,D020786,100033431,-0.013520963318381277,0.0
301,D020786,100033432,-0.009892543953712687,1.0
302,D020786,100033435,-0.009210793535802574,1.0
303,D020786,100033436,0.019467413131264225,0.0
304,D020786,100033821,0.0019216999135232044,1.0
305,D020786,100033415,-0.008568071091242725,0.0
306,D020786,692233,0.017272219296016016,0.0
307,D020786,727676,0.01621057094340037,0.0
308,D020786,100113378,0.02157586646669867,0.0
309,D020786,100113392,-0.0038768663741633952,0.0
310,D020786,692057,0.005468104856994662,0.0
311,D020786,100113379,0.004764560585899195,0.0
312,D020786,101340252,-0.002248708840568053,0.0
313,D020786,100113384,-0.007995508808384292,0.0
314,D020786,101340251,0.02165655508523063,0.0
315,D020786,100113380,-0.004491120430783353,0.0
316,D020786,100113391,0.009844946728907013,0.0
317,D020786,100113389,0.008468273210508418,0.0
318,D020786,100113393,0.020015056359643082,0.0
319,D020786,26765,0.00937182210408035,0.0
320,D020786,692084,0.01368203899601151,0.0
321,D020786,26822,0.01834713274144311,0.0
322,D020786,85388,0.020985762735466387,0.0
323,D020786,85389,0.00543241422499615,0.0
324,D020786,85390,0.05663341573067404,0.0
325,D020786,85391,0.023891780043216425,0.0
326,D020786,6079,0.02243662060022336,1.0
327,D020786,114599,0.03847757942694428,0.0
328,D020786,595097,0.035055176500556215,0.0
329,D020786,595098,0.01686322297828667,0.0
330,D020786,595099,-0.011258010360514548,0.0
331,D020786,595100,0.006730332068657317,0.0
332,D020786,692089,0.024005348286125362,0.0
333,D020786,100113381,0.021205073550069564,0.0
334,D020786,677848,0.020676269150471764,0.0
335,D020786,677849,-0.004448630360887033,0.0
336,D020786,677850,0.012858021788097824,0.0
337,D020786,619567,0.012503284022606387,0.0
338,D020786,6082,-0.01304860572237994,0.0
339,D020786,6083,0.0005590942139749964,0.0
340,D020786,9304,0.05929118250824793,0.0
341,D020786,692091,-0.015002508379428835,0.0
342,D020786,26820,0.051857568191558304,0.0
343,D020786,9303,0.022407274401365987,0.0
344,D020786,9302,0.007368777164217109,0.0
345,D020786,9301,-0.007227909011268395,0.0
346,D020786,9300,0.011702416331467055,0.0
347,D020786,9299,-0.015413762044457949,0.0
348,D020786,9298,-0.010365924496543107,0.0
349,D020786,26819,-0.002167671502025772,1.0
350,D020786,26818,0.02857058590805356,0.0
351,D020786,26817,-0.011824788605492765,0.0
352,D020786,26816,0.049419586255114646,0.0
353,D020786,84546,0.03615041418388475,0.0
354,D020786,26815,0.023092665067129915,0.0
355,D020786,26814,0.0036872120508513132,1.0
356,D020786,26813,0.03938410987689712,0.0
357,D020786,26812,0.030174409952312548,1.0
358,D020786,94162,0.025679436019822345,0.0
359,D020786,94163,0.018560284127708722,0.0
360,D020786,780851,0.06461187137520774,0.0
361,D020786,26851,0.031020812717617047,0.0
362,D020786,780852,0.031020812717617047,0.0
363,D020786,780853,0.03550279657338408,0.0
364,D020786,780854,0.03376089217286478,0.0
365,D020786,26843,0.010588330153959394,0.0
366,D020786,26810,0.005268944361845698,0.0
