,Disease,RNA,Relation,True_y
0,D008175,654322,0.6797908495668157,0.0
1,D008175,692073,0.5686787148789552,0.0
2,D008175,677804,0.8181137884246523,0.0
3,D008175,677824,0.7129525398697782,0.0
4,D008175,677808,0.7156046721354377,0.0
5,D008175,677809,0.761758515691167,0.0
6,D008175,677814,0.884347015489894,0.0
7,D008175,594839,0.6668202489931031,0.0
8,D008175,677817,0.7181969482440538,0.0
9,D008175,619562,0.703784311824793,0.0
10,D008175,677827,0.6848624384548727,0.0
11,D008175,677842,0.8306137856565486,0.0
12,D008175,677832,0.8035301949330262,0.0
13,D008175,677836,0.5745646938340303,0.0
14,D008175,677838,0.801403950106998,0.0
15,D008175,26779,0.7701061528515313,0.0
16,D008175,100124538,0.49818415653873405,0.0
17,D008175,26775,0.6434104013800219,0.0
18,D008175,6080,0.6860072619907243,0.0
19,D008175,677823,0.6681542769527886,0.0
20,D008175,677847,0.7626684687981442,0.0
21,D008175,677798,0.8466450405813148,0.0
22,D008175,652966,0.8992185230717413,1.0
23,D008175,594837,0.7820148491895977,0.0
24,D008175,26771,0.9123735632560215,0.0
25,D008175,692234,1.0801867878666584,1.0
26,D008175,692235,1.0372935236452294,1.0
27,D008175,692200,0.7424782328153846,0.0
28,D008175,692227,1.073036907153258,1.0
29,D008175,692229,0.8117262167784205,0.0
30,D008175,100113382,0.9902743637035507,1.0
31,D008175,692058,0.7766111821663619,0.0
32,D008175,692213,0.7858290846361897,0.0
33,D008175,692214,0.7011700843388249,0.0
34,D008175,692215,1.0773359931386017,1.0
35,D008175,767561,0.5733591901031109,0.0
36,D008175,767562,0.5662917089721204,0.0
37,D008175,767563,0.9710847148344186,1.0
38,D008175,767565,1.1090610140324655,0.0
39,D008175,767566,0.9931555646835155,0.0
40,D008175,767567,1.0075032067050391,1.0
41,D008175,767568,1.085363074902494,1.0
42,D008175,767569,0.9356857239093677,1.0
43,D008175,767577,1.054470549602768,1.0
44,D008175,767588,0.38837930406227683,0.0
45,D008175,767589,0.5230712939662905,0.0
46,D008175,767590,1.0962266669156466,1.0
47,D008175,767591,0.7705294921208365,0.0
48,D008175,767592,0.9832515032803644,0.0
49,D008175,767593,0.9169454319830648,1.0
50,D008175,767595,1.1285497570221905,1.0
51,D008175,767578,0.5481408457665782,0.0
52,D008175,767598,0.5063197575481444,0.0
53,D008175,767599,0.9169454319830648,1.0
54,D008175,767600,0.7408377534700747,0.0
55,D008175,767603,0.776314871176192,0.0
56,D008175,767605,0.5964900490089704,0.0
57,D008175,767606,0.8288425137603002,0.0
58,D008175,767609,0.5964900490089704,0.0
59,D008175,767610,0.5327856585678847,0.0
60,D008175,767579,0.9862206948829253,1.0
61,D008175,767581,0.7837789823571552,0.0
62,D008175,767585,0.5372593505053175,0.0
63,D008175,338433,1.1354615666183734,1.0
64,D008175,100033447,0.592389704645999,0.0
65,D008175,100033450,0.7990200902404774,0.0
66,D008175,100033453,0.592389704645999,0.0
67,D008175,100033454,0.5925705872402154,0.0
68,D008175,100033603,0.592389704645999,0.0
69,D008175,100033800,0.6535958249045954,0.0
70,D008175,100033805,0.854980661719837,0.0
71,D008175,100033806,0.5991547316600591,0.0
72,D008175,100033807,0.5890542489043162,0.0
73,D008175,100033814,0.5925705872402154,0.0
74,D008175,100033816,0.5925705872402154,0.0
75,D008175,100033445,0.5991547316600591,0.0
76,D008175,100033413,0.668894639709865,0.0
77,D008175,100033427,0.8140324185052168,0.0
78,D008175,100033428,0.73387372771732,0.0
79,D008175,100033414,0.5821261078393438,0.0
80,D008175,100033431,0.7419060178559034,0.0
81,D008175,100033432,0.8758076531068881,0.0
82,D008175,100033435,1.0027579568320586,0.0
83,D008175,100033436,0.9246621028171755,0.0
84,D008175,100033821,0.6893906992813872,0.0
85,D008175,100033415,0.6495414087141419,0.0
86,D008175,692233,0.952621939571412,0.0
87,D008175,727676,0.8534885854654815,0.0
88,D008175,100113378,0.6078977943063937,0.0
89,D008175,100113392,0.9519467722544409,1.0
90,D008175,692057,0.6975275317018448,0.0
91,D008175,100113379,1.0052827121112289,1.0
92,D008175,101340252,0.8678788627192381,0.0
93,D008175,100113384,0.6971287317400012,0.0
94,D008175,101340251,0.6092326488404028,0.0
95,D008175,100113380,0.5451370682230892,0.0
96,D008175,100113391,0.7515656524175875,0.0
97,D008175,100113389,0.6239260009697728,0.0
98,D008175,100113393,0.523833789906081,0.0
99,D008175,26765,0.5717728525552837,0.0
100,D008175,692084,1.0223498031498024,1.0
101,D008175,26822,0.831067928593098,0.0
102,D008175,85388,0.8250026030166965,0.0
103,D008175,85389,0.7677839239494186,0.0
