,Disease,RNA,Relation,True_y
880,D006528,654322,0.00813188273023855,0.0
881,D006528,692073,0.015106642228122608,0.0
882,D006528,677804,0.007119098139614782,0.0
883,D006528,677824,0.020589353352330378,0.0
884,D006528,677808,0.013661362227728192,0.0
885,D006528,677809,0.020627560667081213,1.0
886,D006528,677814,0.013758282993446029,0.0
887,D006528,594839,0.016613228183591316,0.0
888,D006528,677817,0.013324740528716236,0.0
889,D006528,619562,0.01053015324818503,0.0
890,D006528,677827,0.012659852713924186,0.0
891,D006528,677842,0.00827021069676907,0.0
892,D006528,677832,0.012901132872955301,0.0
893,D006528,677836,0.010952067579922408,0.0
894,D006528,677838,0.012708968561999757,0.0
895,D006528,26779,0.015503641254164945,0.0
896,D006528,100124538,0.019379404340153172,0.0
897,D006528,26775,0.009254949404734644,0.0
898,D006528,6080,0.020738560678347267,0.0
899,D006528,677823,0.016898081031689365,0.0
900,D006528,677847,0.016490691551795954,0.0
901,D006528,677798,0.017348051667008733,0.0
902,D006528,652966,0.02126744632276635,0.0
903,D006528,594837,0.008035208791544133,1.0
904,D006528,26771,0.010099955543796434,1.0
905,D006528,692234,0.01914605727950762,1.0
906,D006528,692235,0.02085027677339439,1.0
907,D006528,692200,0.011177902382051344,0.0
908,D006528,692227,0.016569583786749442,0.0
909,D006528,692229,0.012232725798720725,0.0
910,D006528,100113382,0.01716166079946841,0.0
911,D006528,692058,0.005333281511626796,0.0
912,D006528,692213,0.010040098653751972,0.0
913,D006528,692214,0.005732363052562644,0.0
914,D006528,692215,0.020811169967759634,0.0
915,D006528,767561,0.008129354085481825,1.0
916,D006528,767562,0.014843401374864871,0.0
917,D006528,767563,0.014534633123747732,0.0
918,D006528,767565,0.011348590926107825,1.0
919,D006528,767566,0.011734085970044043,0.0
920,D006528,767567,0.011371342306389035,0.0
921,D006528,767568,0.01668654709910308,1.0
922,D006528,767569,0.011670143056611331,0.0
923,D006528,767577,0.018740260178932468,1.0
924,D006528,767588,0.010598802822448225,0.0
925,D006528,767589,0.019428892688074566,0.0
926,D006528,767590,0.017167659967776108,0.0
927,D006528,767591,0.01631921190017894,0.0
928,D006528,767592,0.013787860607118146,0.0
929,D006528,767593,0.020399961920328932,0.0
930,D006528,767595,0.02232721648453966,0.0
931,D006528,767578,0.01913684596582837,0.0
932,D006528,767598,0.011986312921860712,0.0
933,D006528,767599,0.020399961920329043,0.0
934,D006528,767600,0.009457710719536088,0.0
935,D006528,767603,0.012220991107360794,0.0
936,D006528,767605,0.01095238748330855,0.0
937,D006528,767606,0.014693395631162991,0.0
938,D006528,767609,0.010952387483308644,0.0
939,D006528,767610,0.01177829614515033,0.0
940,D006528,767579,0.0196279208927512,0.0
941,D006528,767581,0.015382245123261046,0.0
942,D006528,767585,0.011350851400750251,0.0
943,D006528,338433,0.015895288011611396,0.0
944,D006528,100033447,0.004579193681439182,0.0
945,D006528,100033450,0.0056044319475896665,1.0
946,D006528,100033453,0.004579193681439426,0.0
947,D006528,100033454,0.004594411885020121,0.0
948,D006528,100033603,0.004579193681439345,0.0
949,D006528,100033800,0.007717865618575766,0.0
950,D006528,100033805,0.011386131288721318,1.0
951,D006528,100033806,0.003941441277909515,0.0
952,D006528,100033807,0.007402834267021246,0.0
953,D006528,100033814,0.004594411885019861,0.0
954,D006528,100033816,0.004594411885020007,0.0
955,D006528,100033445,0.003941441277909504,0.0
956,D006528,100033413,0.009730240922673232,0.0
957,D006528,100033427,0.01011381222548496,0.0
958,D006528,100033428,0.010671981397583755,0.0
959,D006528,100033414,0.006238178176521138,0.0
960,D006528,100033431,0.010850600284332074,0.0
961,D006528,100033432,0.011862634366308002,0.0
962,D006528,100033435,0.01063301185823816,1.0
963,D006528,100033436,0.013451925019883204,0.0
964,D006528,100033821,0.010542724063719242,0.0
965,D006528,100033415,0.009576850368953733,0.0
966,D006528,692233,0.022693028787355924,0.0
967,D006528,727676,0.02324417559959257,0.0
968,D006528,100113378,0.011643982697737431,0.0
969,D006528,100113392,0.010199376483880003,0.0
970,D006528,692057,0.008994382656738674,0.0
971,D006528,100113379,0.02018257955377136,1.0
972,D006528,101340252,0.015201750069434791,1.0
973,D006528,100113384,0.00813469449812898,0.0
974,D006528,101340251,0.019298039482738935,0.0
975,D006528,100113380,0.01651131620199745,0.0
976,D006528,100113391,0.017178769874764084,1.0
977,D006528,100113389,0.011847193381547747,0.0
978,D006528,100113393,0.01153941959729177,0.0
979,D006528,26765,0.008355552059710503,0.0
980,D006528,692084,0.01916576783697954,1.0
981,D006528,26822,0.010802941231449916,0.0
982,D006528,85388,0.011282537379761176,0.0
983,D006528,85389,0.01362030614018594,0.0
984,D006528,85390,0.0209977087730025,1.0
985,D006528,85391,0.013559833409225877,0.0
986,D006528,6079,0.011608658729280238,0.0
987,D006528,114599,0.03038963471824456,0.0
988,D006528,595097,0.021277553704441537,0.0
989,D006528,595098,0.011733230176254586,0.0
990,D006528,595099,0.01365189523571195,0.0
991,D006528,595100,0.013768633271304155,0.0
992,D006528,692089,0.018358373548625413,0.0
993,D006528,100113381,0.011342130541930867,1.0
994,D006528,677848,0.013251328950146381,1.0
995,D006528,677849,0.012579615225123644,0.0
996,D006528,677850,0.013097816525736687,0.0
997,D006528,619567,0.013261977631216788,1.0
998,D006528,6082,0.005512089691283202,0.0
999,D006528,6083,0.011843810719279509,0.0
1000,D006528,9304,0.03637824711976862,0.0
1001,D006528,692091,0.005552039409562719,0.0
1002,D006528,26820,0.011967428046087768,0.0
1003,D006528,9303,0.017573850667983837,0.0
1004,D006528,9302,0.012489132122998094,0.0
1005,D006528,9301,0.017465157703052004,0.0
1006,D006528,9300,0.014621982353211502,0.0
1007,D006528,9299,0.008892731269561454,0.0
1008,D006528,9298,0.007691862969937865,0.0
1009,D006528,26819,0.011765975861819785,0.0
1010,D006528,26818,0.032530925935897084,0.0
1011,D006528,26817,0.010805536371373579,0.0
1012,D006528,26816,0.01283350345270208,0.0
1013,D006528,84546,0.018105970578154558,0.0
1014,D006528,26815,0.017612571437460867,0.0
1015,D006528,26814,0.007717571191678953,0.0
1016,D006528,26813,0.015506006521982928,1.0
1017,D006528,26812,0.02028588687108262,1.0
1018,D006528,94162,0.00852290088998131,0.0
1019,D006528,94163,0.01631156300471782,0.0
1020,D006528,780851,0.03414696340293537,0.0
1021,D006528,26851,0.01990453999845687,0.0
1022,D006528,780852,0.019904539998456875,0.0
1023,D006528,780853,0.020192604401959892,0.0
1024,D006528,780854,0.02324074284904224,0.0
1025,D006528,26843,0.013743945746460543,1.0
1026,D006528,26810,0.011815181992142914,1.0
1027,D006528,26809,0.011730376484544499,0.0
1028,D006528,26808,0.014169358770176579,0.0
1029,D006528,26807,0.022893621361629007,0.0
1030,D006528,26806,0.021374876497955952,1.0
1031,D006528,26805,0.007564534132697635,0.0
1032,D006528,26804,0.008729042796594925,0.0
1033,D006528,692085,0.007732090666197023,0.0
1034,D006528,94161,0.015641564125954813,0.0
1035,D006528,26802,0.008941608955073437,0.0
1036,D006528,26801,0.018232779053952916,0.0
1037,D006528,26800,0.017153725891654367,0.0
1038,D006528,692087,0.020785072771138398,1.0
1039,D006528,26773,0.018953537653354207,0.0
1040,D006528,26772,0.018034574187032477,0.0
1041,D006528,692072,0.013451787315275328,0.0
1042,D006528,26799,0.01624417111814367,0.0
1043,D006528,692088,0.010907131425781195,1.0
1044,D006528,26798,0.008832171296949723,0.0
1045,D006528,26797,0.009460949713603044,0.0
1046,D006528,26796,0.008737969156515056,0.0
1047,D006528,26795,0.01804458214013621,0.0
1048,D006528,26811,0.013419604640235257,0.0
1049,D006528,26793,0.01611532491918946,0.0
1050,D006528,26792,0.010421157150621784,0.0
1051,D006528,26791,0.012038548790038815,0.0
1052,D006528,26790,0.013063850787294867,0.0
1053,D006528,100124516,0.013930283803483393,0.0
1054,D006528,26789,0.020082697689688483,0.0
1055,D006528,692090,0.017627024971003588,0.0
1056,D006528,692075,0.010497431297791317,0.0
1057,D006528,26788,0.013250083607912326,0.0
1058,D006528,26787,0.008797121148704838,0.0
1059,D006528,26786,0.01203585525335878,0.0
1060,D006528,692093,0.015531808537155755,0.0
1061,D006528,26785,0.01775776275583372,0.0
1062,D006528,347686,0.013848608595229194,1.0
1063,D006528,692106,0.014011656052493823,0.0
1064,D006528,692107,0.021549885432103025,1.0
1065,D006528,692108,0.014577669089825577,0.0
1066,D006528,606500,0.02089379531877198,0.0
1067,D006528,692109,0.013758208874525316,0.0
1068,D006528,692076,0.012457644045762465,0.0
1069,D006528,692110,0.012561977222787386,0.0
1070,D006528,692111,0.012147069344589636,0.0
1071,D006528,619564,0.011904447540555455,1.0
1072,D006528,8944,0.012368005693120403,0.0
1073,D006528,619498,0.013981383615623915,0.0
1074,D006528,692195,0.020127140937448596,1.0
1075,D006528,692196,0.026743595745923315,1.0
1076,D006528,692197,0.014060129275647839,1.0
1077,D006528,692198,0.033995950635128294,1.0
1078,D006528,26770,0.013575233045748262,0.0
1079,D006528,26774,0.012167027472228347,0.0
1080,D006528,26769,0.00905142752624367,1.0
1081,D006528,25826,0.02421286035955652,1.0
1082,D006528,116937,0.01447180118027555,0.0
1083,D006528,116938,0.013449862619849099,0.0
1084,D006528,692199,0.010643169870163312,0.0
1085,D006528,641648,0.013048483395536423,0.0
1086,D006528,692202,0.014228451770300124,1.0
1087,D006528,692203,0.01819653073460994,0.0
1088,D006528,692204,0.011081760673174148,1.0
1089,D006528,692205,0.04133331772075129,0.0
1090,D006528,692206,0.009942781003603959,1.0
1091,D006528,692208,0.015895101498424463,0.0
1092,D006528,692209,0.013623645394940832,0.0
1093,D006528,692210,0.010204134140288125,0.0
1094,D006528,692225,0.0314904324910642,0.0
1095,D006528,619571,0.01937309646230202,0.0
1096,D006528,692226,0.017457335015604328,0.0
1097,D006528,692223,0.025627846471979028,0.0
1098,D006528,692211,0.014464384822741823,0.0
1099,D006528,692212,0.01739264178179914,0.0
