,Disease,RNA,Relation,True_y
1540,D011471,654322,0.004508792589576665,0.0
1541,D011471,692073,0.007432723314017857,0.0
1542,D011471,677804,0.0043823499619511114,0.0
1543,D011471,677824,0.012208848333317117,0.0
1544,D011471,677808,0.008750778321742293,0.0
1545,D011471,677809,0.01599571629927619,0.0
1546,D011471,677814,0.007797469854552845,0.0
1547,D011471,594839,0.010879811508475149,0.0
1548,D011471,677817,0.008668082297958849,0.0
1549,D011471,619562,0.006769248565713303,0.0
1550,D011471,677827,0.006942611231856739,0.0
1551,D011471,677842,0.0033835822910457196,0.0
1552,D011471,677832,0.008755814204073157,0.0
1553,D011471,677836,0.005289379953961056,0.0
1554,D011471,677838,0.006607437369680233,0.0
1555,D011471,26779,0.010590292008912153,0.0
1556,D011471,100124538,0.011395860070952427,0.0
1557,D011471,26775,0.006582227076201624,0.0
1558,D011471,6080,0.012168357951185687,0.0
1559,D011471,677823,0.00929927140096728,0.0
1560,D011471,677847,0.011217125474803122,0.0
1561,D011471,677798,0.010901282491856054,0.0
1562,D011471,652966,0.011975608069215908,0.0
1563,D011471,594837,0.00818197447081016,0.0
1564,D011471,26771,0.007049100998182609,0.0
1565,D011471,692234,0.017549789846226575,0.0
1566,D011471,692235,0.018957335344944287,0.0
1567,D011471,692200,0.006053189132409313,0.0
1568,D011471,692227,0.009007880474706955,0.0
1569,D011471,692229,0.005429339857718964,0.0
1570,D011471,100113382,0.00914450428626696,0.0
1571,D011471,692058,0.0019243638613261412,0.0
1572,D011471,692213,0.003330053698054655,0.0
1573,D011471,692214,0.0025814184137836803,0.0
1574,D011471,692215,0.01552693519595438,0.0
1575,D011471,767561,0.008477050770017841,0.0
1576,D011471,767562,0.010532416795181573,0.0
1577,D011471,767563,0.01041374677886486,0.0
1578,D011471,767565,0.011626097512864341,0.0
1579,D011471,767566,0.007561119125360412,0.0
1580,D011471,767567,0.007542367805585715,0.0
1581,D011471,767568,0.016048692807344753,0.0
1582,D011471,767569,0.008190648631666438,0.0
1583,D011471,767577,0.015378055123370652,0.0
1584,D011471,767588,0.006418720190293855,0.0
1585,D011471,767589,0.012314243802747728,0.0
1586,D011471,767590,0.012043186633011089,0.0
1587,D011471,767591,0.01050773746051144,0.0
1588,D011471,767592,0.009802153828997837,0.0
1589,D011471,767593,0.013736281441430982,0.0
1590,D011471,767595,0.01607514780553196,0.0
1591,D011471,767578,0.013119179804266847,0.0
1592,D011471,767598,0.006674687597838457,0.0
1593,D011471,767599,0.013736281441430957,0.0
1594,D011471,767600,0.004047555444151213,0.0
1595,D011471,767603,0.006571315164289334,0.0
1596,D011471,767605,0.006050628933336103,0.0
1597,D011471,767606,0.006090779538445862,0.0
1598,D011471,767609,0.006050628933336095,0.0
1599,D011471,767610,0.006607288618714023,0.0
1600,D011471,767579,0.014610888004330459,0.0
1601,D011471,767581,0.01004034129122506,0.0
1602,D011471,767585,0.006190850665991132,0.0
1603,D011471,338433,0.008782802246989808,0.0
1604,D011471,100033447,0.0035511912322904893,0.0
1605,D011471,100033450,0.0079065837945533,0.0
1606,D011471,100033453,0.00355119123229048,0.0
1607,D011471,100033454,0.0035676774135468634,0.0
1608,D011471,100033603,0.003551191232290444,0.0
1609,D011471,100033800,0.005716958516343131,0.0
1610,D011471,100033805,0.010130041347182085,0.0
1611,D011471,100033806,0.0027463499031121293,0.0
1612,D011471,100033807,0.003686853111638397,0.0
1613,D011471,100033814,0.0035676774135469306,0.0
1614,D011471,100033816,0.00356767741354693,0.0
1615,D011471,100033445,0.002746349903112146,0.0
1616,D011471,100033413,0.003939275918431011,0.0
1617,D011471,100033427,0.0051205862008976925,0.0
1618,D011471,100033428,0.004932811000096569,0.0
1619,D011471,100033414,0.0010621414536156454,0.0
1620,D011471,100033431,0.005199169031462152,0.0
1621,D011471,100033432,0.004812678252112071,0.0
1622,D011471,100033435,0.007908111166268824,0.0
1623,D011471,100033436,0.0077640120424945416,0.0
1624,D011471,100033821,0.0047812075734535355,0.0
1625,D011471,100033415,0.003748851380503693,0.0
1626,D011471,692233,0.0076670705878427,1.0
1627,D011471,727676,0.010411515766199305,0.0
1628,D011471,100113378,0.006429503270951336,0.0
1629,D011471,100113392,0.008018764090498532,0.0
1630,D011471,692057,0.0052385779481151345,0.0
1631,D011471,100113379,0.017908247223329374,0.0
1632,D011471,101340252,0.012789111387512535,0.0
1633,D011471,100113384,0.002451196499121265,0.0
1634,D011471,101340251,0.009712820440388101,0.0
