,Disease,RNA,Relation,True_y
220,D020786,654322,0.009789594437665038,0.0
221,D020786,692073,0.011118552257745579,0.0
222,D020786,677804,0.008685343952076662,0.0
223,D020786,677824,0.011074409862704346,0.0
224,D020786,677808,0.007938138062745636,0.0
225,D020786,677809,0.01036245292318168,0.0
226,D020786,677814,0.011332952489186608,0.0
227,D020786,594839,0.01075319615575519,0.0
228,D020786,677817,0.010295353673082895,0.0
229,D020786,619562,0.00884862407638774,0.0
230,D020786,677827,0.010231775284406806,0.0
231,D020786,677842,0.005115137074756679,0.0
232,D020786,677832,0.010206889479147267,0.0
233,D020786,677836,0.011875196034405663,0.0
234,D020786,677838,0.01118433368842155,0.0
235,D020786,26779,0.011431965246780217,0.0
236,D020786,100124538,0.008436267883420218,0.0
237,D020786,26775,0.007018840067248769,0.0
238,D020786,6080,0.010871060599391347,0.0
239,D020786,677823,0.008268998539225168,0.0
240,D020786,677847,0.011548506011887128,0.0
241,D020786,677798,0.011180758407628864,0.0
242,D020786,652966,0.009610983784868873,0.0
243,D020786,594837,0.007799146742313487,0.0
244,D020786,26771,0.009476250130421408,1.0
245,D020786,692234,0.010731549183083765,0.0
246,D020786,692235,0.010536395147768315,0.0
247,D020786,692200,0.008243313997390719,0.0
248,D020786,692227,0.0071724169416332376,0.0
249,D020786,692229,0.010290727227185114,0.0
250,D020786,100113382,0.007787358119282111,1.0
251,D020786,692058,0.006490695519778086,0.0
252,D020786,692213,0.004642756104465637,1.0
253,D020786,692214,0.008587327467986516,0.0
254,D020786,692215,0.0117054651936743,0.0
255,D020786,767561,0.0052836883531640864,0.0
256,D020786,767562,0.008744512546470152,0.0
257,D020786,767563,0.006402025245061267,1.0
258,D020786,767565,0.006545558977377403,0.0
259,D020786,767566,0.007821103138920947,1.0
260,D020786,767567,0.004831713999423286,1.0
261,D020786,767568,0.010811390532311276,1.0
262,D020786,767569,0.0042982618487727225,1.0
263,D020786,767577,0.006650542867435807,1.0
264,D020786,767588,0.006253951381159226,0.0
265,D020786,767589,0.00694354933142305,0.0
266,D020786,767590,0.008180551727630679,1.0
267,D020786,767591,0.007308592652266068,0.0
268,D020786,767592,0.0077101317494242694,0.0
269,D020786,767593,0.006708084766703863,0.0
270,D020786,767595,0.008371497807474305,0.0
271,D020786,767578,0.007773572287879218,0.0
272,D020786,767598,0.005621417148395908,0.0
273,D020786,767599,0.006708084766704448,0.0
274,D020786,767600,0.005091356510392938,1.0
275,D020786,767603,0.006613284687444864,1.0
276,D020786,767605,0.005435027875826847,0.0
277,D020786,767606,0.006601346896466544,1.0
278,D020786,767609,0.005435027875826883,0.0
279,D020786,767610,0.006010879164669929,0.0
280,D020786,767579,0.006817146340197669,0.0
281,D020786,767581,0.007223230448551221,0.0
282,D020786,767585,0.005255164020720806,0.0
283,D020786,338433,0.013133311794468687,0.0
284,D020786,100033447,0.012681399078904646,1.0
285,D020786,100033450,0.012940689285344026,0.0
286,D020786,100033453,0.01268139907889742,1.0
287,D020786,100033454,0.012693683115560631,1.0
288,D020786,100033603,0.012681399078895175,1.0
289,D020786,100033800,0.011893368953090521,1.0
290,D020786,100033805,0.012705933877639838,0.0
291,D020786,100033806,0.012101271094126993,1.0
292,D020786,100033807,0.01164384287316256,1.0
293,D020786,100033814,0.01269368311556314,1.0
294,D020786,100033816,0.012693683115560177,1.0
295,D020786,100033445,0.012101271094119181,1.0
296,D020786,100033413,0.0113046555693708,0.0
297,D020786,100033427,0.010641600358894847,1.0
298,D020786,100033428,0.011035312299244194,0.0
299,D020786,100033414,0.008909502831882313,0.0
300,D020786,100033431,0.01109391024347834,0.0
301,D020786,100033432,0.011273385356494324,1.0
302,D020786,100033435,0.011187057227518164,1.0
303,D020786,100033436,0.009982777861538603,0.0
304,D020786,100033821,0.010821493558711303,1.0
305,D020786,100033415,0.01097462781057431,0.0
306,D020786,692233,0.008362806187550871,0.0
307,D020786,727676,0.00866555515476608,0.0
308,D020786,100113378,0.007047748804446292,0.0
309,D020786,100113392,0.004854379053097322,0.0
310,D020786,692057,0.005774097678958321,0.0
311,D020786,100113379,0.011483474183660263,0.0
312,D020786,101340252,0.009830196941915175,0.0
313,D020786,100113384,0.008510135061863378,0.0
314,D020786,101340251,0.01067898114417508,0.0
315,D020786,100113380,0.007788787578450957,0.0
316,D020786,100113391,0.008736379850201328,0.0
317,D020786,100113389,0.009811447730386728,0.0
318,D020786,100113393,0.005701552790586309,0.0
319,D020786,26765,0.004571317789864434,0.0
320,D020786,692084,0.007110792737896272,0.0
321,D020786,26822,0.007015707476175718,0.0
322,D020786,85388,0.008329273410229716,0.0
323,D020786,85389,0.008298724680238885,0.0
324,D020786,85390,0.00988478420669018,0.0
325,D020786,85391,0.008426888108451037,0.0
326,D020786,6079,0.01087213679365841,1.0
327,D020786,114599,0.008535141502958558,0.0
328,D020786,595097,0.009023451920555998,0.0
329,D020786,595098,0.005396224783969571,0.0
330,D020786,595099,0.00968599466209483,0.0
331,D020786,595100,0.008670075423631088,0.0
332,D020786,692089,0.010672529011772503,0.0
333,D020786,100113381,0.011026374962631286,0.0
334,D020786,677848,0.009480825827128489,0.0
335,D020786,677849,0.008726060529575766,0.0
336,D020786,677850,0.007843285127485528,0.0
337,D020786,619567,0.009448545784475668,0.0
338,D020786,6082,0.008270546204062191,0.0
339,D020786,6083,0.006135323579560275,0.0
340,D020786,9304,0.011776187074007963,0.0
341,D020786,692091,0.004695951349994124,0.0
342,D020786,26820,0.010482665692056907,0.0
343,D020786,9303,0.007563134855266255,0.0
344,D020786,9302,0.009872671434045563,0.0
345,D020786,9301,0.009634295475804765,0.0
346,D020786,9300,0.00907082242842247,0.0
347,D020786,9299,0.005441555103151741,0.0
348,D020786,9298,0.006018351959061758,0.0
349,D020786,26819,0.007210853561947956,1.0
350,D020786,26818,0.00819691134952464,0.0
351,D020786,26817,0.007188386561587634,0.0
352,D020786,26816,0.0070197638512979,0.0
353,D020786,84546,0.009007433071924354,0.0
354,D020786,26815,0.005727043315662954,0.0
355,D020786,26814,0.009737203272834928,1.0
356,D020786,26813,0.008930093305211547,0.0
357,D020786,26812,0.01017027982671553,1.0
358,D020786,94162,0.010197172973620465,0.0
359,D020786,94163,0.011673381634564842,0.0
360,D020786,780851,0.013834031415568371,0.0
361,D020786,26851,0.013047237225834335,0.0
362,D020786,780852,0.013047237225838722,0.0
363,D020786,780853,0.013158422484700156,0.0
364,D020786,780854,0.013162698435851015,0.0
365,D020786,26843,0.011071252474713324,0.0
366,D020786,26810,0.006218935153658817,0.0
367,D020786,26809,0.009935423986406858,1.0
368,D020786,26808,0.00937191428421204,1.0
369,D020786,26807,0.00679402969926695,0.0
370,D020786,26806,0.007314511879931441,0.0
371,D020786,26805,0.005869720967830722,0.0
372,D020786,26804,0.0063098556848825565,0.0
373,D020786,692085,0.005883734918914545,0.0
374,D020786,94161,0.009879736951784176,0.0
375,D020786,26802,0.008133908080773158,0.0
376,D020786,26801,0.0048930941064459724,0.0
377,D020786,26800,0.007403890630029702,0.0
378,D020786,692087,0.006470209464049689,0.0
379,D020786,26773,0.00796002102332152,0.0
380,D020786,26772,0.006610389496177977,0.0
381,D020786,692072,0.007469779993682141,0.0
382,D020786,26799,0.006795003340044934,0.0
383,D020786,692088,0.009223736727194058,0.0
384,D020786,26798,0.00510797140394648,0.0
385,D020786,26797,0.00803838338798997,1.0
386,D020786,26796,0.007005001386360964,0.0
387,D020786,26795,0.006371190762688958,0.0
388,D020786,26811,0.007903291969068006,0.0
389,D020786,26793,0.0076403580087632764,0.0
390,D020786,26792,0.009016510879444842,0.0
391,D020786,26791,0.007893270161427463,0.0
392,D020786,26790,0.009708233695942828,0.0
393,D020786,100124516,0.0104857706079024,0.0
394,D020786,26789,0.00931867702127685,1.0
395,D020786,692090,0.008281730147460937,0.0
396,D020786,692075,0.0074809323514711725,1.0
397,D020786,26788,0.00972095188297652,1.0
398,D020786,26787,0.00580811716544686,1.0
399,D020786,26786,0.010615764037363563,0.0
400,D020786,692093,0.010221765698333942,0.0
401,D020786,26785,0.010395530899436393,0.0
402,D020786,347686,0.0057931356435081145,1.0
403,D020786,692106,0.008781732262811884,0.0
404,D020786,692107,0.009100049013683536,0.0
405,D020786,692108,0.008503728880167483,0.0
406,D020786,606500,0.00704891129912172,1.0
407,D020786,692109,0.006454531766767724,1.0
408,D020786,692076,0.0064409306265785955,0.0
409,D020786,692110,0.006575359155251233,0.0
410,D020786,692111,0.008356333065307604,0.0
411,D020786,619564,0.008840058370143797,0.0
412,D020786,8944,0.008623653363045913,0.0
413,D020786,619498,0.0066124400733971606,0.0
414,D020786,692195,0.010327231260882466,0.0
415,D020786,692196,0.008792256752754964,0.0
416,D020786,692197,0.008095408502700317,0.0
417,D020786,692198,0.010453331419906097,0.0
418,D020786,26770,0.011600290864570045,0.0
419,D020786,26774,0.006132460425571019,0.0
420,D020786,26769,0.007500304336899035,0.0
421,D020786,25826,0.009346147927843109,0.0
422,D020786,116937,0.00837604260584186,0.0
423,D020786,116938,0.008472406338406058,1.0
424,D020786,692199,0.005579132872998507,0.0
425,D020786,641648,0.009217101500431871,0.0
426,D020786,692202,0.0065318649420663425,0.0
427,D020786,692203,0.00609003608640258,0.0
428,D020786,692204,0.006768068406160097,0.0
429,D020786,692205,0.013171110016133844,0.0
430,D020786,692206,0.010707989286654868,1.0
431,D020786,692208,0.01101144771938686,0.0
432,D020786,692209,0.00905747041966894,0.0
433,D020786,692210,0.007731318612593467,1.0
434,D020786,692225,0.0072356121520716545,0.0
435,D020786,619571,0.008366093005591952,0.0
436,D020786,692226,0.007257931151633493,0.0
437,D020786,692223,0.010725293920023922,0.0
438,D020786,692211,0.007090618218401313,0.0
439,D020786,692212,0.009224005085283633,0.0
