,Disease,RNA,Relation,True_y
880,D006528,654322,0.03304470877824796,0.0
881,D006528,692073,0.03739479532737501,0.0
882,D006528,677804,0.0280674679659227,0.0
883,D006528,677824,0.037209611659562644,0.0
884,D006528,677808,0.027113695006721304,0.0
885,D006528,677809,0.03422669712255662,1.0
886,D006528,677814,0.03829959229948379,0.0
887,D006528,594839,0.036277481758964225,0.0
888,D006528,677817,0.034834813078745946,0.0
889,D006528,619562,0.02872750125565571,0.0
890,D006528,677827,0.03443744257060838,0.0
891,D006528,677842,0.017197051458142883,0.0
892,D006528,677832,0.034521793726727014,0.0
893,D006528,677836,0.03986840284268536,0.0
894,D006528,677838,0.03775281418168541,0.0
895,D006528,26779,0.03873216155181837,0.0
896,D006528,100124538,0.028813994213441906,0.0
897,D006528,26775,0.023924850056054776,0.0
898,D006528,6080,0.03687183550569517,0.0
899,D006528,677823,0.027996972752376066,0.0
900,D006528,677847,0.038900746803874134,0.0
901,D006528,677798,0.037668211352962624,0.0
902,D006528,652966,0.03224981187855313,0.0
903,D006528,594837,0.0256963538651108,1.0
904,D006528,26771,0.03221115649211886,1.0
905,D006528,692234,0.03508677190013175,1.0
906,D006528,692235,0.0343296481254816,1.0
907,D006528,692200,0.027435739164955866,0.0
908,D006528,692227,0.02440130263400426,0.0
909,D006528,692229,0.033920096152921235,0.0
910,D006528,100113382,0.02693318638728283,0.0
911,D006528,692058,0.02155692479190858,0.0
912,D006528,692213,0.016849760025227704,0.0
913,D006528,692214,0.029075359604875915,0.0
914,D006528,692215,0.03977148572863862,0.0
915,D006528,767561,0.01664112916564157,1.0
916,D006528,767562,0.029145560381646438,0.0
917,D006528,767563,0.02251578888405894,0.0
918,D006528,767565,0.020505155883612392,1.0
919,D006528,767566,0.027599644200085184,0.0
920,D006528,767567,0.01722239121904893,0.0
921,D006528,767568,0.036020189872945314,1.0
922,D006528,767569,0.015458319229441707,0.0
923,D006528,767577,0.022337681881297804,1.0
924,D006528,767588,0.021118937269767733,0.0
925,D006528,767589,0.023611407184115675,0.0
926,D006528,767590,0.028708127255833524,0.0
927,D006528,767591,0.024808691668500228,0.0
928,D006528,767592,0.02614061081121158,0.0
929,D006528,767593,0.022864003108205647,0.0
930,D006528,767595,0.02872998897773725,0.0
931,D006528,767578,0.02638745648529328,0.0
932,D006528,767598,0.01906841347235754,0.0
933,D006528,767599,0.022864003108204654,0.0
934,D006528,767600,0.018071656914571056,0.0
935,D006528,767603,0.02329870944491837,0.0
936,D006528,767605,0.018115442505304336,0.0
937,D006528,767606,0.023111961964679885,0.0
938,D006528,767609,0.01811544250530319,0.0
939,D006528,767610,0.020356622096049787,0.0
940,D006528,767579,0.023377039785012287,0.0
941,D006528,767581,0.02423473338438074,0.0
942,D006528,767585,0.017807770194433283,0.0
943,D006528,338433,0.041592392032357886,0.0
944,D006528,100033447,0.04060210342282255,0.0
945,D006528,100033450,0.04010271962065706,1.0
946,D006528,100033453,0.04060210342282031,0.0
947,D006528,100033454,0.04064243587650046,0.0
948,D006528,100033603,0.04060210342282532,0.0
