,Disease,RNA,Relation,True_y
1540,D011471,654322,0.020346430355736602,0.0
1541,D011471,692073,0.022972421768018024,0.0
1542,D011471,677804,0.01668743170582128,0.0
1543,D011471,677824,0.022789264035355326,0.0
1544,D011471,677808,0.016672741898524676,0.0
1545,D011471,677809,0.021449661940426513,0.0
1546,D011471,677814,0.02355699089186629,0.0
1547,D011471,594839,0.02226230107837572,0.0
1548,D011471,677817,0.021421293727331918,0.0
1549,D011471,619562,0.01718259968304997,0.0
1550,D011471,677827,0.021109040904034062,0.0
1551,D011471,677842,0.010221532992321359,0.0
1552,D011471,677832,0.021240050239252902,0.0
1553,D011471,677836,0.02462135735577084,0.0
1554,D011471,677838,0.023212533247506197,0.0
1555,D011471,26779,0.0239280841363285,0.0
1556,D011471,100124538,0.017771564325933204,0.0
1557,D011471,26775,0.014687116935985227,0.0
1558,D011471,6080,0.022682406742300168,0.0
1559,D011471,677823,0.017071837077387998,0.0
1560,D011471,677847,0.023898359210778444,0.0
1561,D011471,677798,0.02308190938037339,0.0
1562,D011471,652966,0.019402489945343347,0.0
1563,D011471,594837,0.016326356218811226,0.0
1564,D011471,26771,0.020376959241261292,0.0
1565,D011471,692234,0.02178301240140782,0.0
1566,D011471,692235,0.02145059154085492,0.0
1567,D011471,692200,0.016492120021431106,0.0
1568,D011471,692227,0.014666575911992774,0.0
1569,D011471,692229,0.020531835251739083,0.0
1570,D011471,100113382,0.01619998422928271,0.0
1571,D011471,692058,0.012806120035050546,0.0
1572,D011471,692213,0.01012878119489935,0.0
1573,D011471,692214,0.017836120471216587,0.0
1574,D011471,692215,0.024590438391117957,0.0
1575,D011471,767561,0.010999779191647796,0.0
1576,D011471,767562,0.01781559547957927,0.0
1577,D011471,767563,0.013575677445244235,0.0
1578,D011471,767565,0.013145342193738484,0.0
1579,D011471,767566,0.01697036050387018,0.0
1580,D011471,767567,0.010263365722754414,0.0
1581,D011471,767568,0.022299468165829547,0.0
1582,D011471,767569,0.009300310908816948,0.0
1583,D011471,767577,0.013810750167713416,0.0
1584,D011471,767588,0.013094764847923518,0.0
1585,D011471,767589,0.014595511698183782,0.0
1586,D011471,767590,0.01748371501443938,0.0
1587,D011471,767591,0.015248350848587692,0.0
1588,D011471,767592,0.015952768354750815,0.0
1589,D011471,767593,0.013950601339716425,0.0
1590,D011471,767595,0.017624971454632342,0.0
1591,D011471,767578,0.01633782124399811,0.0
1592,D011471,767598,0.011675993344430449,0.0
1593,D011471,767599,0.01395060133971753,0.0
1594,D011471,767600,0.010963973970827665,0.0
1595,D011471,767603,0.01425832396916172,0.0
1596,D011471,767605,0.010992831366981376,0.0
1597,D011471,767606,0.01401739644027301,0.0
1598,D011471,767609,0.010992831366982633,0.0
1599,D011471,767610,0.012468785965589604,0.0
1600,D011471,767579,0.01428112060672206,0.0
1601,D011471,767581,0.014831159435981754,0.0
1602,D011471,767585,0.010904956796611107,0.0
1603,D011471,338433,0.024813870418094734,0.0
1604,D011471,100033447,0.02429218662363039,0.0
1605,D011471,100033450,0.024503356093668757,0.0
1606,D011471,100033453,0.02429218662363113,0.0
1607,D011471,100033454,0.02431709406041404,0.0
1608,D011471,100033603,0.024292186623629586,0.0
1609,D011471,100033800,0.022901089342126684,0.0
1610,D011471,100033805,0.025266913134158762,0.0
1611,D011471,100033806,0.023114642419678175,0.0
1612,D011471,100033807,0.02284020790906951,0.0
1613,D011471,100033814,0.02431709406041239,0.0
1614,D011471,100033816,0.024317094060411916,0.0
1615,D011471,100033445,0.023114642419678807,0.0
1616,D011471,100033413,0.02371756592424125,0.0
1617,D011471,100033427,0.023328031495374518,0.0
1618,D011471,100033428,0.02364022683840885,0.0
1619,D011471,100033414,0.018845812805510693,0.0
1620,D011471,100033431,0.023746843434215133,0.0
1621,D011471,100033432,0.02443032676339698,0.0
1622,D011471,100033435,0.024256902900512974,0.0
1623,D011471,100033436,0.021048101106998097,0.0
1624,D011471,100033821,0.0232304032369319,0.0
1625,D011471,100033415,0.023033253484092082,0.0
1626,D011471,692233,0.017101964816214496,1.0
1627,D011471,727676,0.017820683886068313,0.0
1628,D011471,100113378,0.013936502646708827,0.0
1629,D011471,100113392,0.009962076994581225,0.0
1630,D011471,692057,0.011869162975557233,0.0
1631,D011471,100113379,0.02438142572939192,0.0
1632,D011471,101340252,0.020491910486252464,0.0
1633,D011471,100113384,0.018005158953376073,0.0
1634,D011471,101340251,0.021415904969496028,0.0
1635,D011471,100113380,0.01583638571863904,0.0
1636,D011471,100113391,0.018418850221871248,0.0
1637,D011471,100113389,0.02060448907634009,0.0
1638,D011471,100113393,0.011806648444331411,0.0
1639,D011471,26765,0.00956259322343212,0.0
1640,D011471,692084,0.014320114225575852,0.0
1641,D011471,26822,0.014558930899822398,0.0
1642,D011471,85388,0.017543731650983118,0.0
1643,D011471,85389,0.01771003312522996,0.0
1644,D011471,85390,0.020648162285438046,0.0
1645,D011471,85391,0.01777553845037903,0.0
1646,D011471,6079,0.021387067674889362,0.0
1647,D011471,114599,0.01677028737775047,1.0
1648,D011471,595097,0.018574026381014436,0.0
1649,D011471,595098,0.011335782726042708,0.0
1650,D011471,595099,0.020526491633935058,0.0
1651,D011471,595100,0.01820968901189668,0.0
1652,D011471,692089,0.022208757420923233,0.0
1653,D011471,100113381,0.022661741051771746,0.0
1654,D011471,677848,0.019671534021206673,0.0
1655,D011471,677849,0.01813684760983208,0.0
1656,D011471,677850,0.015589980889599892,0.0
1657,D011471,619567,0.01887788281284314,0.0
1658,D011471,6082,0.01689885074311605,0.0
1659,D011471,6083,0.01252398949551414,0.0
1660,D011471,9304,0.02316070008139641,1.0
1661,D011471,692091,0.009537033149961543,0.0
1662,D011471,26820,0.021003212404568025,0.0
1663,D011471,9303,0.015002741241066403,0.0
1664,D011471,9302,0.0204089189827682,0.0
1665,D011471,9301,0.019945380380883174,0.0
1666,D011471,9300,0.018678977910446676,0.0
1667,D011471,9299,0.011093798593136337,0.0
1668,D011471,9298,0.012486876404437935,0.0
1669,D011471,26819,0.015174817501886362,0.0
1670,D011471,26818,0.01601405644475762,1.0
1671,D011471,26817,0.014779043711186057,0.0
1672,D011471,26816,0.014441338930249997,0.0
1673,D011471,84546,0.018740658754570563,0.0
1674,D011471,26815,0.01157184489237105,0.0
1675,D011471,26814,0.02018168700191561,0.0
1676,D011471,26813,0.018359758788267993,0.0
1677,D011471,26812,0.021048686831525075,0.0
1678,D011471,94162,0.019613461326106287,0.0
1679,D011471,94163,0.02370311837926379,0.0
1680,D011471,780851,0.026527712325745145,1.0
1681,D011471,26851,0.025329699619262735,0.0
1682,D011471,780852,0.025329699619262482,0.0
1683,D011471,780853,0.025606057820262713,0.0
1684,D011471,780854,0.025519344097939323,0.0
1685,D011471,26843,0.02174883022509231,0.0
1686,D011471,26810,0.012859173278351482,0.0
1687,D011471,26809,0.021180870713572546,0.0
1688,D011471,26808,0.020216962499809248,0.0
1689,D011471,26807,0.014165884572511046,0.0
1690,D011471,26806,0.01515512957943805,0.0
1691,D011471,26805,0.01186508344557135,0.0
1692,D011471,26804,0.012740955000368339,0.0
1693,D011471,692085,0.011803946514808199,0.0
1694,D011471,94161,0.020309492218631556,0.0
1695,D011471,26802,0.016970761576393725,0.0
1696,D011471,26801,0.010034273850049834,0.0
1697,D011471,26800,0.014949167089857435,0.0
1698,D011471,692087,0.01285095550665109,0.0
1699,D011471,26773,0.016949915416505534,0.0
1700,D011471,26772,0.0139361846162823,0.0
1701,D011471,692072,0.015319105140206415,0.0
1702,D011471,26799,0.013533838433421815,1.0
1703,D011471,692088,0.018709419111155867,0.0
1704,D011471,26798,0.010651073424903821,0.0
1705,D011471,26797,0.016871356110108322,0.0
1706,D011471,26796,0.01401909391605147,0.0
1707,D011471,26795,0.01255570507694232,0.0
1708,D011471,26811,0.0158259168663417,0.0
1709,D011471,26793,0.01586096015167239,0.0
1710,D011471,26792,0.018415923136324595,0.0
1711,D011471,26791,0.016511972990905045,0.0
1712,D011471,26790,0.020469054360217346,0.0
1713,D011471,100124516,0.02193945065860228,0.0
1714,D011471,26789,0.01875400026973671,1.0
1715,D011471,692090,0.01643828428201975,0.0
1716,D011471,692075,0.015997152072274076,0.0
1717,D011471,26788,0.02037731615252066,0.0
1718,D011471,26787,0.011984542138483188,0.0
1719,D011471,26786,0.02057848675169023,0.0
1720,D011471,692093,0.019903882818689038,0.0
1721,D011471,26785,0.02191380730370695,0.0
1722,D011471,347686,0.012263630642332643,0.0
1723,D011471,692106,0.018424257415810205,0.0
1724,D011471,692107,0.018367066364643372,0.0
1725,D011471,692108,0.017374069060775973,0.0
1726,D011471,606500,0.015043058505440318,1.0
1727,D011471,692109,0.014108519400132786,0.0
1728,D011471,692076,0.012885535564634098,0.0
1729,D011471,692110,0.01362615491867877,0.0
1730,D011471,692111,0.017510463861829716,0.0
1731,D011471,619564,0.018033868346022493,0.0
1732,D011471,8944,0.018105021929378344,0.0
1733,D011471,619498,0.01362459985117086,0.0
1734,D011471,692195,0.020552156588808705,0.0
1735,D011471,692196,0.01785109599114995,0.0
1736,D011471,692197,0.0156873398530605,0.0
1737,D011471,692198,0.02152722199340822,1.0
1738,D011471,26770,0.023990682154133157,0.0
1739,D011471,26774,0.012785122036267525,0.0
1740,D011471,26769,0.015582448399353454,0.0
1741,D011471,25826,0.019530634530956034,1.0
1742,D011471,116937,0.016818992900971844,0.0
1743,D011471,116938,0.01755383536192917,0.0
1744,D011471,692199,0.011573043678327032,0.0
1745,D011471,641648,0.018459717399121903,0.0
1746,D011471,692202,0.013124837783428052,0.0
1747,D011471,692203,0.012464161025433913,0.0
1748,D011471,692204,0.013754895036334293,0.0
1749,D011471,692205,0.02693400321809014,1.0
1750,D011471,692206,0.022613723167836445,0.0
1751,D011471,692208,0.0222918643461107,0.0
1752,D011471,692209,0.018169291689037297,0.0
1753,D011471,692210,0.015731573154629877,0.0
1754,D011471,692225,0.014119956726855579,1.0
1755,D011471,619571,0.017139312918006522,0.0
1756,D011471,692226,0.01501629520062143,0.0
1757,D011471,692223,0.020870135841281293,1.0
1758,D011471,692211,0.015020881223880622,0.0
1759,D011471,692212,0.01879187803120028,0.0
