,Disease,RNA,Relation,True_y
440,D013274,654322,0.03084831305524227,0.0
441,D013274,692073,0.043546034099726405,1.0
442,D013274,677804,0.013223392751878664,1.0
443,D013274,677824,0.040487448720602975,1.0
444,D013274,677808,0.0781985529906582,0.0
445,D013274,677809,0.07109923638816062,1.0
446,D013274,677814,0.042632380953822144,1.0
447,D013274,594839,0.051533918768832815,0.0
448,D013274,677817,0.03095118430654834,0.0
449,D013274,619562,-0.014837093674322194,0.0
450,D013274,677827,0.03630899654013291,0.0
451,D013274,677842,-0.026154419642370575,1.0
452,D013274,677832,0.0415013510996662,0.0
453,D013274,677836,0.06787695788250296,1.0
454,D013274,677838,0.013588347381571518,1.0
455,D013274,26779,0.03884839963883208,0.0
456,D013274,100124538,0.14790521196278328,0.0
457,D013274,26775,0.0011324102998488857,0.0
458,D013274,6080,0.03664625081094861,1.0
459,D013274,677823,0.041531041057196294,0.0
460,D013274,677847,0.05824165594516452,0.0
461,D013274,677798,0.06092637463441464,1.0
462,D013274,652966,0.02766976428060742,1.0
463,D013274,594837,0.03867048304210608,1.0
464,D013274,26771,0.07197881136646207,1.0
465,D013274,692234,0.061878533418886036,0.0
466,D013274,692235,0.068906640827478,0.0
467,D013274,692200,0.0074034184095908995,1.0
468,D013274,692227,-0.06733610117344241,1.0
469,D013274,692229,0.02920636893396443,1.0
470,D013274,100113382,0.00648873941536143,1.0
471,D013274,692058,-0.024887408883987404,1.0
472,D013274,692213,-0.014587968296453944,1.0
473,D013274,692214,0.03952933037405118,1.0
474,D013274,692215,0.05164923970015424,0.0
475,D013274,767561,0.024177517492175865,0.0
476,D013274,767562,-0.015567360134654568,0.0
477,D013274,767563,-0.01077657841857305,1.0
478,D013274,767565,0.05300361325027137,0.0
479,D013274,767566,0.039222526024277005,1.0
480,D013274,767567,-0.027083634526527248,1.0
481,D013274,767568,0.028052253971833974,1.0
482,D013274,767569,-0.0187834650974556,0.0
483,D013274,767577,0.028989897919857337,1.0
484,D013274,767588,0.096454479737105,0.0
