,Disease,RNA,Relation,True_y
3300,D015470,654322,0.008373242875873373,0.0
3301,D015470,692073,0.032745664025069884,0.0
3302,D015470,677804,0.005820210535689639,0.0
3303,D015470,677824,0.04819993535813069,0.0
3304,D015470,677808,0.034158459661898066,0.0
3305,D015470,677809,0.05241205751713124,0.0
3306,D015470,677814,-0.047681045218538096,0.0
3307,D015470,594839,0.03881268049930016,0.0
3308,D015470,677817,0.030230039160132723,0.0
3309,D015470,619562,0.0484567149329185,0.0
3310,D015470,677827,0.008488541608912948,0.0
3311,D015470,677842,-0.06624444625433251,0.0
3312,D015470,677832,-0.04957421955613424,0.0
3313,D015470,677836,0.03035394348126571,0.0
3314,D015470,677838,-0.0036149844464773255,0.0
3315,D015470,26779,0.007911152791139266,0.0
3316,D015470,100124538,0.08034893771652594,0.0
3317,D015470,26775,0.08202302919784235,0.0
3318,D015470,6080,0.014437734930064948,0.0
3319,D015470,677823,-0.011324165827489673,0.0
3320,D015470,677847,-0.009529003464819299,0.0
3321,D015470,677798,-0.04331726486172469,0.0
3322,D015470,652966,0.05113597918618834,0.0
3323,D015470,594837,-0.011350290883692216,0.0
3324,D015470,26771,-0.03411622758645344,0.0
3325,D015470,692234,0.003294299269257033,0.0
3326,D015470,692235,0.005155103346023484,0.0
3327,D015470,692200,-0.07466537338635716,0.0
3328,D015470,692227,-0.039037717428195895,0.0
3329,D015470,692229,-0.0430011877957692,0.0
3330,D015470,100113382,0.0562513682958852,0.0
3331,D015470,692058,0.00921807446048832,0.0
3332,D015470,692213,-0.04679772732536715,0.0
3333,D015470,692214,0.02870244873062916,0.0
3334,D015470,692215,0.18364055564599946,0.0
3335,D015470,767561,0.05572521484913333,0.0
3336,D015470,767562,0.04889823145484254,0.0
3337,D015470,767563,0.11845766637359686,0.0
3338,D015470,767565,0.07345377749485159,0.0
3339,D015470,767566,0.08182400570079475,0.0
3340,D015470,767567,0.011352548299342492,0.0
3341,D015470,767568,0.14630753498949273,0.0
3342,D015470,767569,0.031904219964605005,0.0
3343,D015470,767577,0.2789457792794472,0.0
3344,D015470,767588,-0.015495469797979403,0.0
3345,D015470,767589,0.14863138184181218,0.0
3346,D015470,767590,0.09503105698755335,0.0
3347,D015470,767591,0.054018213761140244,0.0
3348,D015470,767592,0.05307145881663318,0.0
3349,D015470,767593,0.0915159333332615,0.0
3350,D015470,767595,0.17133408183816218,0.0
3351,D015470,767578,0.1529173904864711,0.0
3352,D015470,767598,0.04628917127620462,0.0
3353,D015470,767599,0.0915159333332615,0.0
3354,D015470,767600,0.01607283212623193,0.0
