,Disease,RNA,Relation,True_y
1980,D001943,654322,-0.005468534463813209,0.0
1981,D001943,692073,0.01676197585300205,0.0
1982,D001943,677804,0.021658750207977542,0.0
1983,D001943,677824,0.081656035365875,0.0
1984,D001943,677808,0.0670631721315321,0.0
1985,D001943,677809,0.05191278132481095,0.0
1986,D001943,677814,0.03493478129023651,0.0
1987,D001943,594839,0.017374728238326975,0.0
1988,D001943,677817,0.014137653305874857,0.0
1989,D001943,619562,0.02271951778211898,0.0
1990,D001943,677827,0.02683587191696625,0.0
1991,D001943,677842,-0.00938832859344903,0.0
1992,D001943,677832,0.021974008485352334,0.0
1993,D001943,677836,0.021499686906986077,0.0
1994,D001943,677838,0.004710759010648531,0.0
1995,D001943,26779,0.012426789595811666,0.0
1996,D001943,100124538,0.07378035487931484,0.0
1997,D001943,26775,0.004629160713917271,0.0
1998,D001943,6080,0.0480732532337836,0.0
1999,D001943,677823,0.025178033132395444,0.0
2000,D001943,677847,0.01661994219723296,0.0
2001,D001943,677798,0.029811805529614252,0.0
2002,D001943,652966,0.033660879103052724,0.0
2003,D001943,594837,0.008082142952838588,0.0
2004,D001943,26771,0.02228540519414145,0.0
2005,D001943,692234,0.05567420991131949,0.0
2006,D001943,692235,0.06496708673692195,0.0
2007,D001943,692200,-0.009839191993241445,0.0
2008,D001943,692227,-0.009605153155740124,0.0
2009,D001943,692229,0.020692914022378023,0.0
2010,D001943,100113382,0.040514768240947116,0.0
2011,D001943,692058,-0.02947946372583601,0.0
2012,D001943,692213,-0.032412023021570036,0.0
2013,D001943,692214,-0.003371156011852445,0.0
2014,D001943,692215,0.05193751806750073,0.0
2015,D001943,767561,0.01522169188656981,0.0
2016,D001943,767562,-0.005608625932853986,0.0
2017,D001943,767563,0.027664728805685122,0.0
2018,D001943,767565,0.05506094053701922,0.0
2019,D001943,767566,0.021704022269503135,0.0
2020,D001943,767567,-0.0017613872876052479,0.0
2021,D001943,767568,0.03567090336231223,0.0
2022,D001943,767569,0.00375927682342536,0.0
2023,D001943,767577,0.06644772969815574,0.0
2024,D001943,767588,0.07016698776776288,0.0
2025,D001943,767589,0.13363209767827766,0.0
2026,D001943,767590,0.03350137737612435,0.0
2027,D001943,767591,0.10921782630576654,0.0
2028,D001943,767592,0.04569708808262364,0.0
2029,D001943,767593,0.10286286880037501,0.0
2030,D001943,767595,0.08236434354633226,0.0
2031,D001943,767578,0.12228685883453294,0.0
2032,D001943,767598,0.03948461647161597,0.0
2033,D001943,767599,0.10286286880037501,0.0
2034,D001943,767600,0.01768588709954205,0.0
2035,D001943,767603,-0.0002569276865840378,0.0
2036,D001943,767605,0.030962475163252928,0.0
2037,D001943,767606,0.040591924259350196,0.0
2038,D001943,767609,0.030962475163252928,0.0
2039,D001943,767610,0.03418255063829158,0.0
2040,D001943,767579,0.10455901416061311,0.0
2041,D001943,767581,0.10362626260478168,0.0
2042,D001943,767585,0.02733387627352403,0.0
2043,D001943,338433,0.026038970930709872,1.0
2044,D001943,100033447,0.024378486985811642,0.0
2045,D001943,100033450,0.03625657771906447,0.0
2046,D001943,100033453,0.024378486985811642,0.0
2047,D001943,100033454,0.024102990500394904,0.0
2048,D001943,100033603,0.024378486985811642,0.0
2049,D001943,100033800,0.042247901282714134,0.0
2050,D001943,100033805,0.044379186623121,0.0
2051,D001943,100033806,0.022435783399207845,0.0
2052,D001943,100033807,0.01392639816828798,0.0
2053,D001943,100033814,0.024102990500394904,0.0
2054,D001943,100033816,0.024102990500394904,0.0
2055,D001943,100033445,0.022435783399207845,0.0
2056,D001943,100033413,0.03777547455071009,0.0
2057,D001943,100033427,0.015251146187591286,0.0
2058,D001943,100033428,0.02768004014574222,0.0
2059,D001943,100033414,0.016510967091767664,0.0
2060,D001943,100033431,0.030471310658318124,0.0
2061,D001943,100033432,0.05468835929138477,0.0
2062,D001943,100033435,0.03181359761467803,0.0
2063,D001943,100033436,0.03609799654070968,0.0
2064,D001943,100033821,0.018057324828184285,0.0
2065,D001943,100033415,0.032514344504700754,0.0
2066,D001943,692233,0.04210809652074097,0.0
2067,D001943,727676,0.040851651525094436,1.0
2068,D001943,100113378,0.016846331387135285,0.0
2069,D001943,100113392,-0.005353875236538904,0.0
2070,D001943,692057,-0.0067723365330242535,0.0
2071,D001943,100113379,0.03916422317297094,0.0
2072,D001943,101340252,0.014941538239220436,0.0
2073,D001943,100113384,0.030998666845855696,0.0
2074,D001943,101340251,0.0498976726149228,0.0
2075,D001943,100113380,0.0012643416430177796,0.0
2076,D001943,100113391,0.048616836669317834,0.0
2077,D001943,100113389,0.0009303961800756391,0.0
2078,D001943,100113393,0.004213470982704336,0.0
2079,D001943,26765,-0.010336643608569108,0.0
2080,D001943,692084,0.06333143002257517,0.0
2081,D001943,26822,0.03582597227726889,0.0
2082,D001943,85388,0.04777976785101032,0.0
2083,D001943,85389,0.012721004164869383,0.0
2084,D001943,85390,0.0931230589831347,0.0
2085,D001943,85391,0.04945128485225806,0.0
2086,D001943,6079,0.030425965877692196,0.0
2087,D001943,114599,0.08597066391807752,1.0
2088,D001943,595097,0.048093829786913296,0.0
2089,D001943,595098,0.1263254686041292,0.0
2090,D001943,595099,0.0729654879920177,0.0
2091,D001943,595100,0.06795720116556331,0.0
2092,D001943,692089,0.036323677831609884,0.0
2093,D001943,100113381,0.013214124949887,0.0
2094,D001943,677848,0.07912846495541878,0.0
2095,D001943,677849,0.034583283064024715,0.0
2096,D001943,677850,0.020410410794202243,0.0
2097,D001943,619567,0.0680527996660188,0.0
2098,D001943,6082,0.026529674293934605,0.0
2099,D001943,6083,-0.0002848050107008429,0.0
2100,D001943,9304,0.15246921697487492,1.0
2101,D001943,692091,-0.009596253156128002,0.0
2102,D001943,26820,0.08107952140751229,0.0
2103,D001943,9303,0.05338752450228974,0.0
2104,D001943,9302,0.08093687713537062,0.0
2105,D001943,9301,0.0494971115792487,0.0
2106,D001943,9300,-0.006219966101625259,0.0
2107,D001943,9299,0.0015991759738605109,0.0
2108,D001943,9298,-0.011182811968018099,0.0
2109,D001943,26819,-0.0051960447211687345,0.0
2110,D001943,26818,0.21975926126724307,0.0
2111,D001943,26817,-0.02170342270288746,0.0
2112,D001943,26816,0.033015834828709276,0.0
2113,D001943,84546,0.13057459430278504,0.0
2114,D001943,26815,0.014264559590084092,0.0
2115,D001943,26814,-0.0009693496909638691,0.0
2116,D001943,26813,0.050519921737105,0.0
2117,D001943,26812,0.0657178892378055,0.0
2118,D001943,94162,0.034846910934682784,0.0
2119,D001943,94163,0.024501766239406097,0.0
2120,D001943,780851,0.12737678507561662,1.0
2121,D001943,26851,0.06474115259218861,0.0
2122,D001943,780852,0.06474115259218861,0.0
2123,D001943,780853,0.08404691445944296,0.0
2124,D001943,780854,0.07472212473277903,0.0
2125,D001943,26843,0.01609001291647661,0.0
2126,D001943,26810,0.04541780406358655,0.0
2127,D001943,26809,0.05579479753473923,0.0
2128,D001943,26808,0.04908606430647124,0.0
2129,D001943,26807,0.10041868367914084,1.0
2130,D001943,26806,0.036228540215370905,1.0
2131,D001943,26805,-0.0040525342209695794,0.0
2132,D001943,26804,-0.023847273748691132,0.0
2133,D001943,692085,-0.011445343793297414,0.0
2134,D001943,94161,0.03899163193189187,0.0
2135,D001943,26802,0.04450287428976557,0.0
2136,D001943,26801,-0.005507918918154048,1.0
2137,D001943,26800,0.06792744536930977,0.0
2138,D001943,692087,0.10078505120780866,0.0
2139,D001943,26773,0.024035882983589073,0.0
2140,D001943,26772,0.022762279019931185,0.0
2141,D001943,692072,0.030053988239611105,0.0
2142,D001943,26799,0.04445215423517644,1.0
2143,D001943,692088,0.06283911723894703,0.0
2144,D001943,26798,0.015594071199240592,0.0
2145,D001943,26797,0.05317051327947274,0.0
2146,D001943,26796,-0.03954054518753452,0.0
2147,D001943,26795,0.04284069937459016,0.0
2148,D001943,26811,0.015398485286446235,0.0
2149,D001943,26793,0.0587667827846186,0.0
2150,D001943,26792,0.020086360892481094,0.0
2151,D001943,26791,-0.023815100334952505,0.0
2152,D001943,26790,-0.022696806482174606,0.0
