,Disease,RNA,Relation,True_y
4400,D007889,654322,0.0018902469868409644,0.0
4401,D007889,692073,0.02850666309672685,0.0
4402,D007889,677804,0.014649330358962627,0.0
4403,D007889,677824,0.053297863195071155,0.0
4404,D007889,677808,0.021573079118370288,0.0
4405,D007889,677809,0.0456003748385595,0.0
4406,D007889,677814,-0.022738451129740087,0.0
4407,D007889,594839,0.04001998853887839,0.0
4408,D007889,677817,0.028529453545641965,0.0
4409,D007889,619562,0.03496750149397,0.0
4410,D007889,677827,0.010909573142255727,0.0
4411,D007889,677842,-0.015109560194963867,0.0
4412,D007889,677832,-0.018490825277291137,0.0
4413,D007889,677836,0.015116263474686826,0.0
4414,D007889,677838,0.0022395707016082994,0.0
4415,D007889,26779,0.010283221159582434,0.0
4416,D007889,100124538,0.05645077008282752,0.0
4417,D007889,26775,0.028017987883188586,0.0
4418,D007889,6080,0.02714163345352841,0.0
4419,D007889,677823,0.02073524421921217,0.0
4420,D007889,677847,-0.037743748625633164,0.0
4421,D007889,677798,-0.016863747140215386,0.0
4422,D007889,652966,0.07599614509855383,0.0
4423,D007889,594837,-0.012799367805965047,0.0
4424,D007889,26771,-0.012256029940857572,0.0
4425,D007889,692234,0.0011168200777917745,0.0
4426,D007889,692235,0.0034541056946107195,0.0
4427,D007889,692200,-0.04372862324550589,0.0
4428,D007889,692227,0.010424453807942812,0.0
4429,D007889,692229,-0.033798336841162416,0.0
4430,D007889,100113382,0.03899573272758059,0.0
4431,D007889,692058,-0.020772288619970887,0.0
4432,D007889,692213,-0.036202646120302835,0.0
4433,D007889,692214,-0.004426509426145258,0.0
4434,D007889,692215,0.02276804237129859,0.0
4435,D007889,767561,0.06345277798681076,0.0
4436,D007889,767562,0.04014319922800551,0.0
4437,D007889,767563,0.0663134969733872,0.0
4438,D007889,767565,0.0118067265677472,1.0
4439,D007889,767566,0.004842349220641358,0.0
4440,D007889,767567,0.016359653506479513,0.0
4441,D007889,767568,0.06654767523363479,0.0
4442,D007889,767569,0.037333673506124765,0.0
4443,D007889,767577,0.11424443614987048,0.0
4444,D007889,767588,-0.008955805135567173,0.0
4445,D007889,767589,0.07291806134430635,0.0
4446,D007889,767590,0.023811840215007873,0.0
4447,D007889,767591,0.026794705269985043,0.0
4448,D007889,767592,0.005452719682961997,0.0
4449,D007889,767593,0.05296419476613532,0.0
