,Disease,RNA,Relation,True_y
1980,D001943,654322,0.031239325572863113,0.0
1981,D001943,692073,0.03530274150613068,0.0
1982,D001943,677804,0.024795465761909174,0.0
1983,D001943,677824,0.03512053334456197,0.0
1984,D001943,677808,0.025979214447052236,0.0
1985,D001943,677809,0.03319992396652084,0.0
1986,D001943,677814,0.03625468492018,0.0
1987,D001943,594839,0.0344333416514367,0.0
1988,D001943,677817,0.0331305370371765,0.0
1989,D001943,619562,0.025777959026683884,0.0
1990,D001943,677827,0.0324316680830347,0.0
1991,D001943,677842,0.015537349797163261,0.0
1992,D001943,677832,0.03283277908030011,0.0
1993,D001943,677836,0.037704310142573964,0.0
1994,D001943,677838,0.03563028027344507,0.0
1995,D001943,26779,0.037007241181174835,0.0
1996,D001943,100124538,0.02775136648658709,0.0
1997,D001943,26775,0.022745843000417286,0.0
1998,D001943,6080,0.0351740075742957,0.0
1999,D001943,677823,0.026461367558799773,0.0
2000,D001943,677847,0.03689473647665997,0.0
2001,D001943,677798,0.03557156245972717,0.0
2002,D001943,652966,0.029742045595197764,0.0
2003,D001943,594837,0.025124488911291543,0.0
2004,D001943,26771,0.03130823144751008,0.0
2005,D001943,692234,0.033291991631502836,0.0
2006,D001943,692235,0.032853658862186705,0.0
2007,D001943,692200,0.025185436611534866,0.0
2008,D001943,692227,0.022462834447696495,0.0
2009,D001943,692229,0.031044684545697115,0.0
2010,D001943,100113382,0.024653201832313232,0.0
2011,D001943,692058,0.019326548333140327,0.0
2012,D001943,692213,0.015534822086106063,0.0
2013,D001943,692214,0.027331043901123085,0.0
2014,D001943,692215,0.037934808092888156,0.0
2015,D001943,767561,0.01691192919390897,0.0
2016,D001943,767562,0.027294905459335557,0.0
2017,D001943,767563,0.020605556705019124,0.0
2018,D001943,767565,0.01990113367640379,0.0
2019,D001943,767566,0.026157375401607008,0.0
2020,D001943,767567,0.015441991576918727,0.0
2021,D001943,767568,0.03378311918782579,0.0
2022,D001943,767569,0.013955790379691845,0.0
2023,D001943,767577,0.02079847302388156,0.0
2024,D001943,767588,0.02019461777091767,0.0
2025,D001943,767589,0.022633162119731046,0.0
2026,D001943,767590,0.026767065890361333,0.0
2027,D001943,767591,0.023541066715096228,0.0
2028,D001943,767592,0.024483603912233358,0.0
2029,D001943,767593,0.02130101355376685,0.0
2030,D001943,767595,0.027295142393368547,0.0
2031,D001943,767578,0.02528827757647125,0.0
2032,D001943,767598,0.01776590957960176,0.0
2033,D001943,767599,0.021301013553763598,0.0
2034,D001943,767600,0.016473755991039205,0.0
2035,D001943,767603,0.021738436428750903,0.0
2036,D001943,767605,0.01656865933419366,0.0
2037,D001943,767606,0.021338390889941113,0.0
2038,D001943,767609,0.016568659334193787,0.0
2039,D001943,767610,0.019030419831477817,0.0
2040,D001943,767579,0.022041187409813028,0.0
2041,D001943,767581,0.022641633663481535,0.0
2042,D001943,767585,0.016537938309041364,0.0
2043,D001943,338433,0.03584625263187019,1.0
2044,D001943,100033447,0.035482487085763695,0.0
2045,D001943,100033450,0.035826279050418415,0.0
2046,D001943,100033453,0.035482487085761474,0.0
2047,D001943,100033454,0.03552075962886998,0.0
2048,D001943,100033603,0.035482487085764916,0.0
2049,D001943,100033800,0.03356778901903859,0.0
2050,D001943,100033805,0.03791928129424707,0.0
2051,D001943,100033806,0.033718717156129424,0.0
2052,D001943,100033807,0.03373323338910385,0.0
2053,D001943,100033814,0.03552075962887136,0.0
2054,D001943,100033816,0.03552075962887047,0.0
2055,D001943,100033445,0.03371871715612884,0.0
2056,D001943,100033413,0.03625084694256707,0.0
2057,D001943,100033427,0.03600111859288371,0.0
2058,D001943,100033428,0.03644366628799481,0.0
2059,D001943,100033414,0.028846781436730806,0.0
2060,D001943,100033431,0.036611004705037045,0.0
2061,D001943,100033432,0.03759651875950139,0.0
2062,D001943,100033435,0.037245262295984474,0.0
2063,D001943,100033436,0.03241132702692767,0.0
2064,D001943,100033821,0.03559878615853479,0.0
2065,D001943,100033415,0.03522340258252862,0.0
2066,D001943,692233,0.0268940202372243,0.0
2067,D001943,727676,0.026938124435887945,1.0
2068,D001943,100113378,0.021089507177848098,0.0
2069,D001943,100113392,0.015229448335668045,0.0
2070,D001943,692057,0.018335047115430835,0.0
2071,D001943,100113379,0.03785630448302285,0.0
2072,D001943,101340252,0.03166238282937822,0.0
2073,D001943,100113384,0.0276457612252589,0.0
2074,D001943,101340251,0.03263145750788566,0.0
2075,D001943,100113380,0.024360108272426656,0.0
2076,D001943,100113391,0.0286718943810359,0.0
2077,D001943,100113389,0.03183157212225531,0.0
2078,D001943,100113393,0.01835998893256116,0.0
2079,D001943,26765,0.014885092294362086,0.0
2080,D001943,692084,0.021786560376029808,0.0
2081,D001943,26822,0.02255466071686259,0.0
2082,D001943,85388,0.027220337108000196,0.0
2083,D001943,85389,0.027589175924464117,0.0
2084,D001943,85390,0.03186601521239964,0.0
2085,D001943,85391,0.027592579324302396,0.0
2086,D001943,6079,0.031948127414820206,0.0
2087,D001943,114599,0.02552554831699271,1.0
2088,D001943,595097,0.02855035702250475,0.0
2089,D001943,595098,0.017469688988788465,0.0
2090,D001943,595099,0.031654130779756734,0.0
2091,D001943,595100,0.028122940309360897,0.0
2092,D001943,692089,0.03424286721689377,0.0
2093,D001943,100113381,0.034556065820619306,0.0
2094,D001943,677848,0.030105456437059322,0.0
2095,D001943,677849,0.027922483771817143,0.0
2096,D001943,677850,0.023399864362899488,0.0
2097,D001943,619567,0.028604102468246892,0.0
2098,D001943,6082,0.02570832668171577,0.0
2099,D001943,6083,0.019304527976109487,0.0
2100,D001943,9304,0.03510054386514172,1.0
2101,D001943,692091,0.014631859107560465,0.0
2102,D001943,26820,0.03182615325596872,0.0
2103,D001943,9303,0.022615262092363524,0.0
2104,D001943,9302,0.0311690033218836,0.0
2105,D001943,9301,0.030549396714215603,0.0
2106,D001943,9300,0.02853902826109061,0.0
2107,D001943,9299,0.016837147401407668,0.0
2108,D001943,9298,0.019263977174109166,0.0
2109,D001943,26819,0.023150375512650527,0.0
2110,D001943,26818,0.024530732175784744,0.0
2111,D001943,26817,0.022735762097761368,0.0
2112,D001943,26816,0.022268848252907224,0.0
2113,D001943,84546,0.02893717410780785,0.0
2114,D001943,26815,0.017598187941108373,0.0
2115,D001943,26814,0.030521831328662274,0.0
2116,D001943,26813,0.028227788574382705,0.0
2117,D001943,26812,0.032050527827870795,0.0
2118,D001943,94162,0.029120019889717547,0.0
2119,D001943,94163,0.0360384398329895,0.0
2120,D001943,780851,0.039628314885369026,1.0
2121,D001943,26851,0.037920887211807086,0.0
2122,D001943,780852,0.037920887211805795,0.0
2123,D001943,780853,0.03835111293843828,0.0
2124,D001943,780854,0.03813922150237421,0.0
2125,D001943,26843,0.03274808421823992,0.0
2126,D001943,26810,0.019668077151435853,0.0
2127,D001943,26809,0.032387648337768304,0.0
2128,D001943,26808,0.03114736191355693,0.0
2129,D001943,26807,0.021450754602144337,1.0
2130,D001943,26806,0.02286318216644753,1.0
2131,D001943,26805,0.018106501750164865,0.0
2132,D001943,26804,0.019485751854218476,0.0
2133,D001943,692085,0.017964105727304162,0.0
2134,D001943,94161,0.031089921173907444,0.0
2135,D001943,26802,0.025983976912189247,0.0
2136,D001943,26801,0.01505760467014175,1.0
2137,D001943,26800,0.022784419050539136,0.0
2138,D001943,692087,0.01935000007441038,0.0
2139,D001943,26773,0.02639402512270901,0.0
2140,D001943,26772,0.02164851546273629,0.0
2141,D001943,692072,0.02335075566352739,0.0
2142,D001943,26799,0.020319621100800288,1.0
2143,D001943,692088,0.028342881788845375,0.0
2144,D001943,26798,0.01626003168345682,0.0
