,Disease,RNA,Relation,True_y
3520,D007154,654322,-1.1043417097394195e-06,0.0
3521,D007154,692073,-2.1945463778047295e-06,0.0
3522,D007154,677804,-1.4814455917344244e-06,0.0
3523,D007154,677824,-2.011051895608291e-06,0.0
3524,D007154,677808,-1.3930098124764032e-06,0.0
3525,D007154,677809,-1.996032966917801e-06,0.0
3526,D007154,677814,-1.7166452585833362e-06,0.0
3527,D007154,594839,-2.2987971386897443e-06,0.0
3528,D007154,677817,-1.5461447877212213e-06,0.0
3529,D007154,619562,-1.3857991608070276e-06,0.0
3530,D007154,677827,-1.8634307186742806e-06,0.0
3531,D007154,677842,-1.5339051388819295e-06,0.0
3532,D007154,677832,-1.4732507000329007e-06,0.0
3533,D007154,677836,-1.4091271234476385e-06,0.0
3534,D007154,677838,-1.6158315678942822e-06,0.0
3535,D007154,26779,-2.2832065872102974e-06,0.0
3536,D007154,100124538,-1.9687474527877356e-06,0.0
3537,D007154,26775,-5.062355164763164e-07,0.0
3538,D007154,6080,-2.278933950350876e-06,0.0
3539,D007154,677823,-2.0507179524547754e-06,0.0
3540,D007154,677847,-1.8453176116961029e-06,0.0
3541,D007154,677798,-2.1950455312792492e-06,0.0
3542,D007154,652966,-2.025321781519207e-06,0.0
3543,D007154,594837,-1.0292147794260872e-06,0.0
3544,D007154,26771,-1.3246938199358972e-06,0.0
3545,D007154,692234,-1.8041846398077525e-06,1.0
3546,D007154,692235,-1.8041846398077525e-06,0.0
3547,D007154,692200,-1.6775066536308214e-06,0.0
3548,D007154,692227,-1.4881200596014694e-06,1.0
3549,D007154,692229,-2.0183476821447204e-06,1.0
3550,D007154,100113382,-1.7344631549040442e-06,0.0
3551,D007154,692058,-1.0969613456056522e-06,1.0
3552,D007154,692213,-1.0359965001563143e-06,0.0
3553,D007154,692214,-1.4323306561228643e-06,1.0
3554,D007154,692215,-1.0567767684165124e-06,0.0
3555,D007154,767561,-4.432691730692436e-07,0.0
3556,D007154,767562,-1.3863021096256373e-06,0.0
3557,D007154,767563,-4.090251784312704e-08,0.0
3558,D007154,767565,-7.328806463880822e-07,0.0
3559,D007154,767566,-4.3153565704389355e-07,0.0
3560,D007154,767567,-1.4705177418873648e-07,0.0
3561,D007154,767568,-7.523999098571143e-07,0.0
3562,D007154,767569,-5.4541543388362194e-08,0.0
3563,D007154,767577,-9.24815720206858e-07,0.0
3564,D007154,767588,-3.3997054150690475e-07,0.0
3565,D007154,767589,-1.053713768637278e-06,0.0
3566,D007154,767590,-9.714956893171311e-07,0.0
3567,D007154,767591,-9.170290324654692e-07,0.0
3568,D007154,767592,-1.1489119583213663e-06,0.0
3569,D007154,767593,-8.063386423361319e-07,0.0
3570,D007154,767595,-5.054646485461467e-07,0.0
3571,D007154,767578,-6.472301390626007e-07,0.0
3572,D007154,767598,-1.1952482382327643e-06,0.0
3573,D007154,767599,-8.063386423361319e-07,0.0
3574,D007154,767600,-1.0125751652647216e-06,0.0
3575,D007154,767603,-1.3302452160190713e-06,0.0
3576,D007154,767605,-1.006671845420585e-06,0.0
3577,D007154,767606,-1.4188881547855361e-06,0.0
3578,D007154,767609,-1.006671845420585e-06,0.0
3579,D007154,767610,-1.3554050003187193e-06,0.0
3580,D007154,767579,-3.951840479979783e-07,0.0
3581,D007154,767581,-1.054315794945709e-06,0.0
3582,D007154,767585,-1.0400549954552492e-06,0.0
3583,D007154,338433,-1.8544116506428013e-06,0.0
3584,D007154,100033447,-1.6768824070989385e-06,0.0
3585,D007154,100033450,-1.826261179800473e-06,0.0
3586,D007154,100033453,-1.6768824070989385e-06,0.0
3587,D007154,100033454,-1.675748098540336e-06,0.0
3588,D007154,100033603,-1.6768824070989385e-06,0.0
3589,D007154,100033800,-1.6354914693844307e-06,0.0
3590,D007154,100033805,-2.1697871329318322e-06,0.0
3591,D007154,100033806,-1.7366201198976616e-06,0.0
3592,D007154,100033807,-1.7878626892647439e-06,0.0
3593,D007154,100033814,-1.675748098540336e-06,0.0
3594,D007154,100033816,-1.675748098540336e-06,0.0
3595,D007154,100033445,-1.7366201198976616e-06,0.0
3596,D007154,100033413,-1.311534399234391e-06,0.0
3597,D007154,100033427,-7.435475321288998e-07,0.0
3598,D007154,100033428,-1.0961337767853678e-06,0.0
3599,D007154,100033414,-8.452695266617959e-07,0.0
3600,D007154,100033431,-1.0883866720482705e-06,0.0
3601,D007154,100033432,-1.1968601312261513e-06,0.0
3602,D007154,100033435,-1.169659654054192e-06,0.0
3603,D007154,100033436,-9.479811307835574e-07,1.0
3604,D007154,100033821,-1.0886073393670891e-06,0.0
3605,D007154,100033415,-1.3872910489130246e-06,0.0
3606,D007154,692233,-1.678964051704147e-06,1.0
3607,D007154,727676,-1.0591676714028543e-06,0.0
3608,D007154,100113378,-1.7418787555106227e-06,0.0
3609,D007154,100113392,-1.9592189692644744e-07,1.0
3610,D007154,692057,-1.6290214772293323e-06,1.0
3611,D007154,100113379,-1.8670018215851429e-06,0.0
3612,D007154,101340252,-2.2815490577267048e-06,0.0
3613,D007154,100113384,-9.516960364328526e-07,0.0
3614,D007154,101340251,-2.432115995704921e-06,0.0
3615,D007154,100113380,-2.179956591180454e-06,0.0
3616,D007154,100113391,-1.882740332938242e-06,0.0
3617,D007154,100113389,-1.1353649602868883e-06,0.0
3618,D007154,100113393,-2.0297032045499315e-06,0.0
3619,D007154,26765,-1.781544569413925e-06,0.0
3620,D007154,692084,-1.2697800023047364e-06,0.0
3621,D007154,26822,-1.7429791706171187e-06,0.0
3622,D007154,85388,-1.0704531419311439e-06,0.0
3623,D007154,85389,-5.208101696102148e-07,0.0
3624,D007154,85390,-1.5117689801096524e-06,0.0
3625,D007154,85391,-1.042494064564574e-06,0.0
3626,D007154,6079,-2.1513291370739157e-06,0.0
3627,D007154,114599,-1.999988338428904e-06,0.0
3628,D007154,595097,-1.9751474772810973e-06,0.0
3629,D007154,595098,-1.096659248600362e-06,0.0
3630,D007154,595099,-8.621578447825472e-07,0.0
3631,D007154,595100,-1.4238164787619253e-06,0.0
3632,D007154,692089,-1.7248852372247152e-06,0.0
3633,D007154,100113381,-1.610410646864216e-06,1.0
3634,D007154,677848,-1.4809446877523462e-06,0.0
3635,D007154,677849,-1.5906662712671224e-06,0.0
3636,D007154,677850,-6.91953638154566e-07,0.0
3637,D007154,619567,-1.6934950669777692e-06,0.0
3638,D007154,6082,-1.4390403195186435e-06,1.0
3639,D007154,6083,-1.3438290984528937e-06,1.0
3640,D007154,9304,-3.08773132472799e-06,0.0
3641,D007154,692091,-1.2985523732055108e-06,1.0
3642,D007154,26820,-1.6656648911759298e-06,1.0
3643,D007154,9303,-9.404908414659889e-07,0.0
3644,D007154,9302,-1.6034570904209927e-06,0.0
3645,D007154,9301,-1.912178668744443e-06,0.0
3646,D007154,9300,-9.266813004814462e-07,0.0
3647,D007154,9299,-6.182829227437837e-07,1.0
3648,D007154,9298,-1.4555438049197562e-06,1.0
3649,D007154,26819,-1.3131708690405704e-06,1.0
3650,D007154,26818,-1.8235979464152344e-06,1.0
3651,D007154,26817,-1.4811264025883855e-06,1.0
3652,D007154,26816,-1.7845555297974008e-06,1.0
3653,D007154,84546,-1.8165414257758565e-06,0.0
3654,D007154,26815,-1.1180326308988804e-06,0.0
3655,D007154,26814,-1.3402036147952738e-06,0.0
3656,D007154,26813,-1.2086859808072933e-06,0.0
3657,D007154,26812,-1.891472723338276e-06,0.0
3658,D007154,94162,-1.883150243706185e-06,1.0
3659,D007154,94163,-1.6902416952750956e-06,0.0
3660,D007154,780851,-2.641201198139905e-06,0.0
3661,D007154,26851,-2.659358449020106e-06,0.0
3662,D007154,780852,-2.659358449020106e-06,0.0
3663,D007154,780853,-2.620655757227922e-06,0.0
3664,D007154,780854,-2.6192181668350643e-06,0.0
3665,D007154,26843,-2.138310390191827e-06,0.0
3666,D007154,26810,-1.9665105739647128e-06,0.0
3667,D007154,26809,-1.7385907847884968e-06,0.0
3668,D007154,26808,-1.6491607515052895e-06,0.0
3669,D007154,26807,-1.8520812181541093e-06,0.0
3670,D007154,26806,-1.7187108540510722e-06,0.0
3671,D007154,26805,-1.6709611745958367e-07,0.0
3672,D007154,26804,-7.528076815386846e-08,1.0
3673,D007154,692085,-2.490349982596543e-07,0.0
3674,D007154,94161,-1.5893676696264765e-06,0.0
3675,D007154,26802,-6.400052081862152e-07,1.0
3676,D007154,26801,-1.1823162088962265e-06,0.0
3677,D007154,26800,-2.269894723744437e-06,0.0
3678,D007154,692087,-1.866232697172857e-06,0.0
3679,D007154,26773,-1.113864267762758e-06,0.0
3680,D007154,26772,-7.463384318007739e-07,0.0
3681,D007154,692072,-1.327144620810674e-06,0.0
3682,D007154,26799,-7.7129129689754e-07,0.0
3683,D007154,692088,-1.6685943167629202e-06,0.0
3684,D007154,26798,-2.4579403794874616e-07,0.0
3685,D007154,26797,-1.0083576435260813e-06,1.0
3686,D007154,26796,-1.7957448762682936e-06,1.0
3687,D007154,26795,-6.428727093205404e-07,0.0
3688,D007154,26811,-2.1981623461765204e-06,1.0
3689,D007154,26793,-1.1099861571922628e-06,0.0
3690,D007154,26792,-9.042423153560635e-07,0.0
3691,D007154,26791,-1.6174374644014177e-06,0.0
3692,D007154,26790,-1.3879810083722528e-06,1.0
3693,D007154,100124516,-1.7431795802064928e-06,0.0
3694,D007154,26789,-2.2867417701151513e-06,1.0
3695,D007154,692090,-2.4188875958674573e-06,1.0
3696,D007154,692075,-1.5039431699356422e-06,0.0
3697,D007154,26788,-1.1779157318560659e-06,1.0
3698,D007154,26787,-1.8172274329384851e-06,0.0
3699,D007154,26786,-1.9134275873126326e-06,1.0
3700,D007154,692093,-1.980568987379195e-06,0.0
3701,D007154,26785,-1.5649734043797273e-06,0.0
3702,D007154,347686,-1.9141721625344387e-06,0.0
3703,D007154,692106,-1.5748117565320763e-06,0.0
3704,D007154,692107,-1.8593728649243266e-06,1.0
3705,D007154,692108,-1.7587955842955873e-06,1.0
3706,D007154,606500,-1.8693608049052495e-06,0.0
3707,D007154,692109,-1.1488598891937704e-06,0.0
3708,D007154,692076,-1.261975444868315e-06,0.0
3709,D007154,692110,-1.3995959549779195e-06,0.0
3710,D007154,692111,-1.3258986162365045e-06,1.0
3711,D007154,619564,-1.2296678050382095e-06,0.0
3712,D007154,8944,-9.120028897034892e-07,0.0
3713,D007154,619498,-2.3291128907367444e-06,0.0
3714,D007154,692195,-2.518372918536148e-06,0.0
3715,D007154,692196,-1.6127448789816142e-06,0.0
3716,D007154,692197,-1.91257739451271e-06,0.0
3717,D007154,692198,-2.056134582958561e-06,0.0
3718,D007154,26770,-1.4684626589575469e-06,0.0
3719,D007154,26774,-1.3790974740921962e-06,0.0
3720,D007154,26769,-1.6433364244781816e-06,0.0
3721,D007154,25826,-1.6821419891463755e-06,0.0
3722,D007154,116937,-1.9944265794761772e-06,0.0
3723,D007154,116938,-1.9693626604542094e-06,0.0
3724,D007154,692199,-1.091911823269999e-06,1.0
3725,D007154,641648,-1.8840380386798585e-06,0.0
3726,D007154,692202,-1.8071181831083313e-06,1.0
3727,D007154,692203,-1.6141637053716784e-06,0.0
3728,D007154,692204,-1.903230177807899e-06,1.0
3729,D007154,692205,-2.3067491034286235e-06,1.0
3730,D007154,692206,-1.3647949643825641e-06,0.0
3731,D007154,692208,-2.1803829966895526e-06,0.0
3732,D007154,692209,-1.2093143068254076e-06,0.0
3733,D007154,692210,-1.7565863980990135e-06,0.0
3734,D007154,692225,-1.1411092930241867e-06,1.0
3735,D007154,619571,-2.2569346588672496e-06,0.0
3736,D007154,692226,-2.2994496284678794e-06,0.0
3737,D007154,692223,-1.4737376386169105e-06,0.0
3738,D007154,692211,-1.3549141041929552e-06,0.0
3739,D007154,692212,-1.4843076866355575e-06,0.0
