,Disease,RNA,Relation,True_y
0,D008175,654322,0.0035158720236326095,0.0
1,D008175,692073,0.00889648645189215,0.0
2,D008175,677804,0.005508866446165205,0.0
3,D008175,677824,0.018408746423583436,0.0
4,D008175,677808,0.012673105521113141,0.0
5,D008175,677809,0.022567427894556708,0.0
6,D008175,677814,0.010992747381948572,0.0
7,D008175,594839,0.010957682669759414,0.0
8,D008175,677817,0.009578883789785404,0.0
9,D008175,619562,0.007951846075838258,0.0
10,D008175,677827,0.008850835473771917,0.0
11,D008175,677842,0.005829616520513315,0.0
12,D008175,677832,0.009886083705961148,0.0
13,D008175,677836,0.007335600929402459,0.0
14,D008175,677838,0.009083613873284394,0.0
15,D008175,26779,0.010770927178916492,0.0
16,D008175,100124538,0.015617689028944193,0.0
17,D008175,26775,0.00736748922127968,0.0
18,D008175,6080,0.016686672392039966,0.0
19,D008175,677823,0.012003093970261444,0.0
20,D008175,677847,0.012812266085089027,0.0
21,D008175,677798,0.012180360893038623,0.0
22,D008175,652966,0.011971955014553264,1.0
23,D008175,594837,0.01331606175072405,0.0
24,D008175,26771,0.012220054336522245,0.0
25,D008175,692234,0.022083855704899753,1.0
26,D008175,692235,0.020822872832985707,1.0
27,D008175,692200,0.007889274692144661,0.0
28,D008175,692227,0.011473393264672928,1.0
29,D008175,692229,0.012242577974147231,0.0
30,D008175,100113382,0.010646409258451738,1.0
31,D008175,692058,0.0077340226277964955,0.0
32,D008175,692213,0.00480764645488198,0.0
33,D008175,692214,0.0074047450990682,0.0
34,D008175,692215,0.01539970930353287,1.0
35,D008175,767561,0.012288126056901464,0.0
36,D008175,767562,0.010626826531102007,0.0
37,D008175,767563,0.009908514109047263,1.0
38,D008175,767565,0.014937311613041912,0.0
39,D008175,767566,0.010017392792722908,0.0
40,D008175,767567,0.00647280087579838,1.0
41,D008175,767568,0.017558424959945803,1.0
42,D008175,767569,0.005755729197653751,1.0
43,D008175,767577,0.020136037286736665,1.0
44,D008175,767588,0.010224971267089007,0.0
45,D008175,767589,0.01805995247386895,0.0
46,D008175,767590,0.012330698381087711,1.0
47,D008175,767591,0.01654746944780819,0.0
48,D008175,767592,0.012694135013611198,0.0
49,D008175,767593,0.015257963031865537,1.0
50,D008175,767595,0.01695840981127934,1.0
51,D008175,767578,0.01687225337641056,0.0
52,D008175,767598,0.0099484379895447,0.0
53,D008175,767599,0.015257963031865569,1.0
54,D008175,767600,0.007323510182234649,0.0
55,D008175,767603,0.010270709143695496,0.0
56,D008175,767605,0.008980797500223958,0.0
57,D008175,767606,0.011106474339295597,0.0
58,D008175,767609,0.00898079750022403,0.0
59,D008175,767610,0.009620677078829482,0.0
60,D008175,767579,0.015278521673347055,1.0
61,D008175,767581,0.015410186898800082,0.0
62,D008175,767585,0.009421146737695908,0.0
63,D008175,338433,0.010647031335612452,1.0
64,D008175,100033447,0.002672678600946951,0.0
65,D008175,100033450,0.009819857875651788,0.0
66,D008175,100033453,0.002672678600946836,0.0
67,D008175,100033454,0.0026826396472430843,0.0
68,D008175,100033603,0.0026726786009467624,0.0
69,D008175,100033800,0.0058989048886403765,0.0
70,D008175,100033805,0.014988442856684412,0.0
71,D008175,100033806,0.0022979901359468043,0.0
72,D008175,100033807,0.00354780106779071,0.0
73,D008175,100033814,0.002682639647243061,0.0
74,D008175,100033816,0.0026826396472431086,0.0
75,D008175,100033445,0.0022979901359467727,0.0
76,D008175,100033413,0.0059918476811178,0.0
77,D008175,100033427,0.00597058923677902,0.0
78,D008175,100033428,0.0069883073654768545,0.0
79,D008175,100033414,0.0028263905394339157,0.0
80,D008175,100033431,0.007180471614307044,0.0
81,D008175,100033432,0.008226401969890686,0.0
82,D008175,100033435,0.01224104647162227,0.0
83,D008175,100033436,0.013754234686940571,0.0
84,D008175,100033821,0.0056967991123578875,0.0
85,D008175,100033415,0.0060830619471201304,0.0
86,D008175,692233,0.022034006059943843,0.0
87,D008175,727676,0.018799979982481913,0.0
88,D008175,100113378,0.008579389758792334,0.0
89,D008175,100113392,0.008136122786728242,1.0
90,D008175,692057,0.01084042866297543,0.0
91,D008175,100113379,0.019600806828176033,1.0
92,D008175,101340252,0.019727093495486757,0.0
93,D008175,100113384,0.006108743772979617,0.0
94,D008175,101340251,0.01341353330725117,0.0
95,D008175,100113380,0.011410352910611307,0.0
96,D008175,100113391,0.020569926423294603,0.0
97,D008175,100113389,0.009306895833937082,0.0
98,D008175,100113393,0.00926665868482312,0.0
99,D008175,26765,0.00782657077564538,0.0
100,D008175,692084,0.019757779975236044,1.0
101,D008175,26822,0.00977485550179575,0.0
102,D008175,85388,0.009382401329321562,0.0
103,D008175,85389,0.009847496902383752,0.0
104,D008175,85390,0.021277961791852203,1.0
105,D008175,85391,0.010624619502801608,0.0
106,D008175,6079,0.008955256727142792,0.0
107,D008175,114599,0.0278038953030513,0.0
108,D008175,595097,0.010536168782653281,1.0
109,D008175,595098,0.011855019576874784,0.0
110,D008175,595099,0.008341935830904378,1.0
111,D008175,595100,0.011368229924287881,0.0
112,D008175,692089,0.013318777759786692,0.0
113,D008175,100113381,0.014069463352469062,1.0
114,D008175,677848,0.01769567666529906,0.0
115,D008175,677849,0.010078805922463192,0.0
116,D008175,677850,0.007318754697106347,1.0
117,D008175,619567,0.01698681636017638,0.0
118,D008175,6082,0.007372522213893555,0.0
119,D008175,6083,0.01161395151819617,0.0
120,D008175,9304,0.03266654741673002,0.0
121,D008175,692091,0.008837728616107928,0.0
122,D008175,26820,0.014609612924746352,0.0
123,D008175,9303,0.011904932865902353,1.0
124,D008175,9302,0.008307732002292546,0.0
125,D008175,9301,0.012111877393619637,1.0
126,D008175,9300,0.008325355844119888,1.0
127,D008175,9299,0.006609852882937634,1.0
128,D008175,9298,0.008905090453609158,0.0
129,D008175,26819,0.011048021565079759,0.0
130,D008175,26818,0.034627608110704235,1.0
131,D008175,26817,0.009563564009743324,0.0
132,D008175,26816,0.013650669047120173,0.0
133,D008175,84546,0.01550505576371334,0.0
134,D008175,26815,0.008092182182025873,1.0
135,D008175,26814,0.003310128043101564,0.0
136,D008175,26813,0.01914379985906582,0.0
137,D008175,26812,0.020720624553239822,1.0
