,Disease,RNA,Relation,True_y
440,D013274,654322,0.03121810670431658,0.0
441,D013274,692073,0.033707782025851465,1.0
442,D013274,677804,0.02391505127795942,1.0
443,D013274,677824,0.032925549055885794,1.0
444,D013274,677808,0.025466617329005396,0.0
445,D013274,677809,0.03183846527411116,1.0
446,D013274,677814,0.03531382875583525,1.0
447,D013274,594839,0.03372308708515886,0.0
448,D013274,677817,0.03273750137039619,0.0
449,D013274,619562,0.02556467360521026,0.0
450,D013274,677827,0.032104122792897885,0.0
451,D013274,677842,0.014170470411077683,1.0
452,D013274,677832,0.03234396670418298,0.0
453,D013274,677836,0.03656772014709518,1.0
454,D013274,677838,0.03467548465886858,1.0
455,D013274,26779,0.036391101946569464,0.0
456,D013274,100124538,0.026664974072943153,0.0
457,D013274,26775,0.02253476520034178,0.0
458,D013274,6080,0.032965315349719304,1.0
459,D013274,677823,0.025662327741466057,0.0
460,D013274,677847,0.03618709437192975,0.0
461,D013274,677798,0.03417176500307867,1.0
462,D013274,652966,0.02940869170643396,1.0
463,D013274,594837,0.02448073811455658,1.0
464,D013274,26771,0.03145872096188722,1.0
465,D013274,692234,0.03412205789726376,0.0
466,D013274,692235,0.03295161292483288,0.0
467,D013274,692200,0.023877028395122298,1.0
468,D013274,692227,0.022490419925768446,1.0
469,D013274,692229,0.030417694183396272,1.0
470,D013274,100113382,0.024655221403814608,1.0
471,D013274,692058,0.019121852931977913,1.0
472,D013274,692213,0.014364756711622968,1.0
473,D013274,692214,0.026819138920140546,1.0
474,D013274,692215,0.037697893747369676,0.0
475,D013274,767561,0.017177978481337994,0.0
476,D013274,767562,0.02647891574447278,0.0
477,D013274,767563,0.020517315145508086,1.0
478,D013274,767565,0.02035038114708731,0.0
479,D013274,767566,0.025322001417430413,1.0
480,D013274,767567,0.01567041155304189,1.0
481,D013274,767568,0.03472766341694933,1.0
482,D013274,767569,0.015253788430422896,0.0
483,D013274,767577,0.021883936685865565,1.0
484,D013274,767588,0.019710083358007145,0.0
485,D013274,767589,0.0213607015862788,0.0
486,D013274,767590,0.027084901305652172,1.0
487,D013274,767591,0.021155383205067005,1.0
488,D013274,767592,0.02288495153263946,1.0
489,D013274,767593,0.01977085178312768,1.0
490,D013274,767595,0.026528279919480775,1.0
491,D013274,767578,0.024114523078888214,0.0
492,D013274,767598,0.015245780016361635,1.0
493,D013274,767599,0.01977085178312784,1.0
494,D013274,767600,0.015038656494642366,1.0
495,D013274,767603,0.0201177336592804,1.0
496,D013274,767605,0.01412768536653971,1.0
497,D013274,767606,0.019967731530489457,1.0
498,D013274,767609,0.01412768536653931,1.0
499,D013274,767610,0.01671089031073312,1.0
500,D013274,767579,0.02082244472126956,1.0
501,D013274,767581,0.020278289348159277,1.0
502,D013274,767585,0.013964146131519105,1.0
503,D013274,338433,0.03718375044028696,0.0
504,D013274,100033447,0.03584399814017161,0.0
505,D013274,100033450,0.03635222905838484,0.0
506,D013274,100033453,0.035843998140171,0.0
507,D013274,100033454,0.035879390471865884,0.0
508,D013274,100033603,0.03584399814017253,0.0
509,D013274,100033800,0.03365982579823386,0.0
510,D013274,100033805,0.038078537189206625,0.0
511,D013274,100033806,0.03417004281104863,0.0
512,D013274,100033807,0.03388246836464973,0.0
513,D013274,100033814,0.035879390471866446,0.0
514,D013274,100033816,0.03587939047186582,0.0
515,D013274,100033445,0.034170042811049774,0.0
516,D013274,100033413,0.03513970373276763,1.0
517,D013274,100033427,0.03589895128787394,0.0
518,D013274,100033428,0.03518519502794808,1.0
519,D013274,100033414,0.027736182629217405,1.0
520,D013274,100033431,0.0353613575886514,1.0
521,D013274,100033432,0.0369178075967173,1.0
522,D013274,100033435,0.03765519821660604,0.0
523,D013274,100033436,0.03136972135791579,1.0
524,D013274,100033821,0.03541407875632713,0.0
525,D013274,100033415,0.03404269217884941,1.0
526,D013274,692233,0.026120090602620865,1.0
527,D013274,727676,0.026633406801254214,0.0
528,D013274,100113378,0.019141140573940167,1.0
529,D013274,100113392,0.016465485728982297,0.0
530,D013274,692057,0.017016079796219545,1.0
531,D013274,100113379,0.037967025852610456,0.0
532,D013274,101340252,0.030723834903047517,1.0
533,D013274,100113384,0.02644322743892092,1.0
534,D013274,101340251,0.030807789508564335,1.0
535,D013274,100113380,0.02217811293192939,1.0
536,D013274,100113391,0.02761882031945491,1.0
537,D013274,100113389,0.030234313188115862,1.0
538,D013274,100113393,0.015972737769112393,1.0
539,D013274,26765,0.012553989927398305,1.0
540,D013274,692084,0.021512715420779482,1.0
541,D013274,26822,0.02103034514346642,1.0
542,D013274,85388,0.0260299536625671,1.0
543,D013274,85389,0.025646792830097263,1.0
544,D013274,85390,0.03167460495454627,1.0
545,D013274,85391,0.025655917102796175,1.0
546,D013274,6079,0.03195683934581729,1.0
547,D013274,114599,0.024707068439994064,1.0
548,D013274,595097,0.028611982656035123,1.0
549,D013274,595098,0.015351378643890478,1.0
550,D013274,595099,0.03114679805807996,1.0
551,D013274,595100,0.026343096536571645,1.0
552,D013274,692089,0.032448341698831026,1.0
553,D013274,100113381,0.03574831257386876,1.0
554,D013274,677848,0.029288051557942694,1.0
555,D013274,677849,0.02636364157340452,1.0
556,D013274,677850,0.023520476424209007,1.0
557,D013274,619567,0.027878867587658847,1.0
558,D013274,6082,0.0253357076811749,1.0
559,D013274,6083,0.018003283595806052,1.0
560,D013274,9304,0.03454722197225792,1.0
561,D013274,692091,0.01533973501314056,0.0
562,D013274,26820,0.031235624786331483,1.0
563,D013274,9303,0.021667187343753443,1.0
564,D013274,9302,0.029779114171873948,1.0
565,D013274,9301,0.02980577638622925,1.0
566,D013274,9300,0.027904008591870522,1.0
567,D013274,9299,0.018149518443143327,0.0
568,D013274,9298,0.018169900824612107,1.0
569,D013274,26819,0.023485437477059223,0.0
570,D013274,26818,0.025306947524410234,1.0
571,D013274,26817,0.021660404935576243,1.0
572,D013274,26816,0.02185818498551685,1.0
573,D013274,84546,0.0271100485067313,1.0
574,D013274,26815,0.01710239737371767,1.0
575,D013274,26814,0.0300760427883663,1.0
576,D013274,26813,0.02779382626683566,0.0
577,D013274,26812,0.03279555935113316,1.0
578,D013274,94162,0.028753391094887358,1.0
579,D013274,94163,0.035505111914363174,1.0
580,D013274,780851,0.04004328856542314,1.0
581,D013274,26851,0.03647114692193627,1.0
582,D013274,780852,0.036471146921938445,1.0
583,D013274,780853,0.03692238622746975,1.0
584,D013274,780854,0.03750188262211441,1.0
585,D013274,26843,0.032011335562663175,1.0
586,D013274,26810,0.01845640429317208,1.0
587,D013274,26809,0.03177973203877377,1.0
588,D013274,26808,0.03021148120148271,1.0
589,D013274,26807,0.020237530046599235,1.0
590,D013274,26806,0.02260823872804084,1.0
591,D013274,26805,0.01602708751512914,1.0
592,D013274,26804,0.019378300649284905,0.0
593,D013274,692085,0.015931059406883396,1.0
594,D013274,94161,0.030449372761180135,1.0
595,D013274,26802,0.025356299445257323,1.0
596,D013274,26801,0.013394557945743284,1.0
597,D013274,26800,0.020728772802134577,1.0
598,D013274,692087,0.01996019430038779,1.0
599,D013274,26773,0.02536884696017634,1.0
600,D013274,26772,0.020613593055596825,1.0
601,D013274,692072,0.02270306265800757,1.0
602,D013274,26799,0.02040208271758557,1.0
603,D013274,692088,0.02856597069598007,0.0
604,D013274,26798,0.01577324123420526,1.0
605,D013274,26797,0.026269335648719867,1.0
606,D013274,26796,0.020135812811915774,1.0
607,D013274,26795,0.018271908351312253,1.0
608,D013274,26811,0.022961641626063036,1.0
609,D013274,26793,0.022739146535759622,1.0
610,D013274,26792,0.026478747573897315,1.0
611,D013274,26791,0.02353989110607862,1.0
612,D013274,26790,0.030661622524495828,1.0
613,D013274,100124516,0.03230159641309581,1.0
614,D013274,26789,0.029151962687294256,1.0
615,D013274,692090,0.024972808345590555,1.0
616,D013274,692075,0.023493509819543117,1.0
617,D013274,26788,0.03201257846177691,1.0
618,D013274,26787,0.01705234781643101,1.0
619,D013274,26786,0.030687485934922574,1.0
620,D013274,692093,0.028131522139863245,1.0
621,D013274,26785,0.03319124972514979,1.0
622,D013274,347686,0.019424886563627404,0.0
623,D013274,692106,0.026433174014161828,1.0
624,D013274,692107,0.028552770075593023,1.0
625,D013274,692108,0.025495737127334314,1.0
626,D013274,606500,0.02379581480954059,0.0
627,D013274,692109,0.02150987072791959,0.0
628,D013274,692076,0.01814641999762637,1.0
629,D013274,692110,0.01861249100248365,1.0
630,D013274,692111,0.027424310084548965,0.0
631,D013274,619564,0.02776951778244135,1.0
632,D013274,8944,0.027821765404806957,1.0
