,Disease,RNA,Relation,True_y
1320,D014901,654322,0.002329815648835662,1.0
1321,D014901,692073,0.0029346084414042352,0.0
1322,D014901,677804,-0.0011714586235944333,1.0
1323,D014901,677824,0.0029300489904975115,0.0
1324,D014901,677808,0.004985989518856844,1.0
1325,D014901,677809,0.0035137627800874683,0.0
1326,D014901,677814,0.0010194284055985144,1.0
1327,D014901,594839,-0.001401954564881235,1.0
1328,D014901,677817,-0.004134125057961703,1.0
1329,D014901,619562,0.00371878128358606,1.0
1330,D014901,677827,0.007563867221549329,1.0
1331,D014901,677842,0.001106947364813927,1.0
1332,D014901,677832,-0.002228343253744783,1.0
1333,D014901,677836,0.003554288015733305,0.0
1334,D014901,677838,0.00600923013393573,1.0
1335,D014901,26779,0.0068034147678832264,1.0
1336,D014901,100124538,-0.00845577641613723,0.0
1337,D014901,26775,0.0009316272655368808,1.0
1338,D014901,6080,-0.004767508719675826,0.0
1339,D014901,677823,0.002425409838866594,1.0
1340,D014901,677847,0.011172110449018327,1.0
1341,D014901,677798,-0.002502000849549343,1.0
1342,D014901,652966,-0.006241667342630957,1.0
1343,D014901,594837,-0.0013505176916171065,0.0
1344,D014901,26771,0.00805069896013735,0.0
1345,D014901,692234,-0.01012397790916755,0.0
1346,D014901,692235,-0.010424813473933845,0.0
1347,D014901,692200,0.0003186351333040368,1.0
1348,D014901,692227,0.017318196727657074,0.0
1349,D014901,692229,0.006328090636998187,0.0
1350,D014901,100113382,0.004417095307350285,0.0
1351,D014901,692058,0.0005540150563327754,1.0
1352,D014901,692213,0.009011654100461652,0.0
1353,D014901,692214,0.0067301218892196375,0.0
1354,D014901,692215,0.005953906101000729,0.0
1355,D014901,767561,0.0005601373271125093,0.0
1356,D014901,767562,0.004104811509656057,0.0
1357,D014901,767563,-0.0015336885310393634,0.0
1358,D014901,767565,-0.005781623401170249,0.0
1359,D014901,767566,-0.007439989751195511,0.0
1360,D014901,767567,0.0003178540638191524,0.0
1361,D014901,767568,0.0006924356777283332,0.0
1362,D014901,767569,-0.0017225282907824208,0.0
1363,D014901,767577,-0.004127932676378728,0.0
1364,D014901,767588,0.0061760869193738955,0.0
1365,D014901,767589,0.0029402779802865184,0.0
1366,D014901,767590,0.0034481861263263407,1.0
1367,D014901,767591,4.780027280527385e-05,0.0
1368,D014901,767592,0.0002692631066172806,1.0
1369,D014901,767593,-0.001937598380497664,0.0
1370,D014901,767595,-0.0021703749083528787,0.0
1371,D014901,767578,-0.0025165248392904106,0.0
1372,D014901,767598,-0.0001998165172827371,0.0
1373,D014901,767599,-0.001937598380497664,0.0
1374,D014901,767600,0.0012456891528399607,0.0
1375,D014901,767603,0.0030529059755442854,0.0
1376,D014901,767605,0.0017220596985001715,0.0
1377,D014901,767606,0.009019795250096333,0.0
1378,D014901,767609,0.0017220596985001715,0.0
1379,D014901,767610,0.002902920148286342,0.0
1380,D014901,767579,-0.005626189170239455,0.0
1381,D014901,767581,-0.0011489389441763785,0.0
1382,D014901,767585,0.00035340728467728167,0.0
1383,D014901,338433,0.009972957723271614,0.0
1384,D014901,100033447,0.007869151231096909,0.0
1385,D014901,100033450,0.006968878667702394,0.0
1386,D014901,100033453,0.007869151231096909,0.0
1387,D014901,100033454,0.007886615316012159,0.0
1388,D014901,100033603,0.007869151231096909,0.0
1389,D014901,100033800,0.004856837208177544,0.0
1390,D014901,100033805,0.008732796143782563,0.0
1391,D014901,100033806,0.00517961580195242,0.0
1392,D014901,100033807,0.011096664275297331,0.0
1393,D014901,100033814,0.007886615316012159,0.0
1394,D014901,100033816,0.007886615316012159,0.0
1395,D014901,100033445,0.00517961580195242,0.0
1396,D014901,100033413,0.005491596870083902,0.0
1397,D014901,100033427,0.004857758770002114,0.0
1398,D014901,100033428,0.004987129620115827,0.0
1399,D014901,100033414,0.0069906764770484315,0.0
1400,D014901,100033431,0.005077640774149074,0.0
1401,D014901,100033432,0.005787499284793553,0.0
1402,D014901,100033435,0.004361605272612409,0.0
1403,D014901,100033436,0.006722864536380933,0.0
1404,D014901,100033821,0.010700886119993815,0.0
1405,D014901,100033415,0.004351767401691944,0.0
1406,D014901,692233,0.0038714770980164447,0.0
1407,D014901,727676,-0.0035526045012384657,0.0
1408,D014901,100113378,-0.00488550835284005,0.0
1409,D014901,100113392,0.000879814135879716,0.0
1410,D014901,692057,-0.007959065029169238,0.0
1411,D014901,100113379,0.006364132630441072,0.0
1412,D014901,101340252,0.008922460285868935,0.0
1413,D014901,100113384,0.0012388148597733816,0.0
1414,D014901,101340251,-0.001682550698527969,0.0
1415,D014901,100113380,0.0030646900734502443,0.0
1416,D014901,100113391,-0.003081643830424333,0.0
1417,D014901,100113389,0.002058612153216752,0.0
1418,D014901,100113393,-0.007291374537235852,0.0
1419,D014901,26765,-0.006159707719736432,0.0
1420,D014901,692084,-0.00038172837578164453,0.0
1421,D014901,26822,-0.00823200365139281,1.0
1422,D014901,85388,-0.0027692861671019687,1.0
1423,D014901,85389,0.015189093051234757,0.0
1424,D014901,85390,0.0021784289614857986,0.0
1425,D014901,85391,0.0013841393924505833,0.0
1426,D014901,6079,0.002111623870745833,1.0
1427,D014901,114599,0.004911579831947285,0.0
1428,D014901,595097,0.00513941432598825,1.0
1429,D014901,595098,-0.0012171925575974714,0.0
1430,D014901,595099,-0.002656849890666093,0.0
1431,D014901,595100,-0.00670338920591637,0.0
1432,D014901,692089,0.00283925669804288,0.0
1433,D014901,100113381,-0.0011175864578043871,0.0
