,Disease,RNA,Relation,True_y
3520,D007154,654322,3.980324803453258e-15,0.0
3521,D007154,692073,-1.9543167282594143e-15,0.0
3522,D007154,677804,2.2971632099771726e-15,0.0
3523,D007154,677824,2.2457315000371637e-15,0.0
3524,D007154,677808,-1.9119521834581495e-15,0.0
3525,D007154,677809,4.60353354804456e-16,0.0
3526,D007154,677814,-1.066742588647856e-15,0.0
3527,D007154,594839,-2.8977136623391036e-15,0.0
3528,D007154,677817,-2.0095930129167097e-15,0.0
3529,D007154,619562,-4.629459632355203e-17,0.0
3530,D007154,677827,1.0244698746697322e-15,0.0
3531,D007154,677842,-1.849487090399891e-15,0.0
3532,D007154,677832,1.278363354101875e-15,0.0
3533,D007154,677836,-6.080642652976967e-17,0.0
3534,D007154,677838,1.4759981502777777e-16,0.0
3535,D007154,26779,-3.160124960443493e-16,0.0
3536,D007154,100124538,-1.7669014001001748e-15,0.0
3537,D007154,26775,-1.675289715311422e-15,0.0
3538,D007154,6080,-1.00998026115638e-15,0.0
3539,D007154,677823,-1.349551135856061e-15,0.0
3540,D007154,677847,9.908788267065034e-16,0.0
3541,D007154,677798,-4.0932384350591826e-17,0.0
3542,D007154,652966,6.270491073476997e-16,0.0
3543,D007154,594837,-1.8091137999879449e-16,0.0
3544,D007154,26771,8.973702260327976e-16,0.0
3545,D007154,692234,-2.9334408077828374e-15,1.0
3546,D007154,692235,1.136682137676378e-15,0.0
3547,D007154,692200,-2.062404013352488e-16,0.0
3548,D007154,692227,1.8932552736516265e-16,1.0
3549,D007154,692229,-6.313654076445175e-16,1.0
3550,D007154,100113382,-1.025833782340557e-15,0.0
3551,D007154,692058,-3.1221903674638843e-15,1.0
3552,D007154,692213,3.067532833413425e-16,0.0
3553,D007154,692214,-2.1200768016528104e-15,1.0
3554,D007154,692215,2.5435259423912982e-15,0.0
3555,D007154,767561,-4.797268796588104e-16,0.0
3556,D007154,767562,-1.5112564160379286e-17,0.0
3557,D007154,767563,-1.4724643329240201e-15,0.0
3558,D007154,767565,-8.867551572626755e-17,0.0
3559,D007154,767566,8.371400945880511e-16,0.0
3560,D007154,767567,1.15220653924427e-15,0.0
3561,D007154,767568,1.5294935324814697e-15,0.0
3562,D007154,767569,2.544911910859618e-15,0.0
3563,D007154,767577,-1.457308915226119e-15,0.0
3564,D007154,767588,-6.755067018847368e-16,0.0
3565,D007154,767589,2.0699390939766372e-15,0.0
3566,D007154,767590,7.962576250210774e-16,0.0
3567,D007154,767591,8.161030297465191e-16,0.0
3568,D007154,767592,-1.2827117283406823e-15,0.0
3569,D007154,767593,1.7810250028311813e-15,0.0
3570,D007154,767595,-4.4241374492396404e-15,0.0
3571,D007154,767578,2.359979260664253e-16,0.0
3572,D007154,767598,-2.5293067456663286e-15,0.0
3573,D007154,767599,1.5371447926583395e-16,0.0
3574,D007154,767600,6.138079513945396e-16,0.0
3575,D007154,767603,-1.3703490316139477e-16,0.0
3576,D007154,767605,1.735331909428187e-15,0.0
3577,D007154,767606,-6.412864680048332e-16,0.0
3578,D007154,767609,-2.087436250118864e-16,0.0
3579,D007154,767610,6.11194310094032e-16,0.0
3580,D007154,767579,-3.614092503116944e-16,0.0
3581,D007154,767581,8.858172289074861e-16,0.0
3582,D007154,767585,1.5487083918837164e-15,0.0
3583,D007154,338433,2.786477483812835e-16,0.0
3584,D007154,100033447,6.736957806955773e-16,0.0
3585,D007154,100033450,-2.2544323495948562e-15,0.0
3586,D007154,100033453,4.2023691909289857e-16,0.0
3587,D007154,100033454,6.046083207097516e-16,0.0
3588,D007154,100033603,-8.124740378701077e-16,0.0
3589,D007154,100033800,-2.0246695361299465e-15,0.0
3590,D007154,100033805,-1.9079752718518375e-15,0.0
3591,D007154,100033806,1.3713100093979548e-15,0.0
3592,D007154,100033807,2.89976537671466e-15,0.0
3593,D007154,100033814,-2.352504315240362e-15,0.0
3594,D007154,100033816,-2.0254727972937417e-17,0.0
3595,D007154,100033445,1.2946273199079516e-15,0.0
3596,D007154,100033413,2.242353903552097e-16,0.0
3597,D007154,100033427,4.1365466951382924e-16,0.0
3598,D007154,100033428,-6.163362678770481e-16,0.0
3599,D007154,100033414,-1.0812408962327561e-15,0.0
3600,D007154,100033431,2.4384306140185414e-15,0.0
3601,D007154,100033432,-4.737197042822388e-16,0.0
3602,D007154,100033435,-1.536079559131576e-15,0.0
3603,D007154,100033436,1.868990661591559e-15,1.0
3604,D007154,100033821,1.6205309553083588e-15,0.0
3605,D007154,100033415,8.865704154659118e-16,0.0
3606,D007154,692233,1.3603596696730222e-16,1.0
3607,D007154,727676,3.453192849016527e-16,0.0
3608,D007154,100113378,5.421567399477089e-16,0.0
3609,D007154,100113392,2.3822905014471417e-16,1.0
3610,D007154,692057,9.484038739416657e-16,1.0
3611,D007154,100113379,-9.286345929065032e-16,0.0
3612,D007154,101340252,-4.893449638355565e-16,0.0
3613,D007154,100113384,1.605425920523024e-15,0.0
3614,D007154,101340251,-1.329663266881425e-15,0.0
3615,D007154,100113380,-1.2595940368937934e-15,0.0
3616,D007154,100113391,-5.784301425481663e-16,0.0
3617,D007154,100113389,-4.119540390974163e-16,0.0
3618,D007154,100113393,-2.0929551200372552e-15,0.0
3619,D007154,26765,-7.592519205171902e-17,0.0
3620,D007154,692084,-7.893289898800747e-16,0.0
3621,D007154,26822,-2.756637242103102e-15,0.0
3622,D007154,85388,1.1602203525709416e-15,0.0
