,Disease,RNA,Relation,True_y
0,D008175,654322,0.023754694215897355,0.0
1,D008175,692073,0.02697495945600952,0.0
2,D008175,677804,0.020799691477223874,0.0
3,D008175,677824,0.02688228175659134,0.0
4,D008175,677808,0.01957962401279079,0.0
5,D008175,677809,0.025525151926731843,0.0
6,D008175,677814,0.02756325908293501,0.0
7,D008175,594839,0.026319832117369428,0.0
8,D008175,677817,0.02517481873175246,0.0
9,D008175,619562,0.02117204329662104,0.0
10,D008175,677827,0.024913094056454123,0.0
11,D008175,677842,0.012790660167133382,0.0
12,D008175,677832,0.02495706870113669,0.0
13,D008175,677836,0.028552880972156996,0.0
14,D008175,677838,0.02716925661171868,0.0
15,D008175,26779,0.027893878263957783,0.0
16,D008175,100124538,0.02084746222115986,0.0
17,D008175,26775,0.017284871722617973,0.0
18,D008175,6080,0.026603925810537617,0.0
19,D008175,677823,0.02041192083346731,0.0
20,D008175,677847,0.02817516434140764,0.0
21,D008175,677798,0.02732290486081229,0.0
22,D008175,652966,0.023212178419625508,1.0
23,D008175,594837,0.019245149994417076,0.0
24,D008175,26771,0.02368393578968326,0.0
25,D008175,692234,0.02556977438134328,1.0
26,D008175,692235,0.02488756277331685,1.0
27,D008175,692200,0.020283404508067843,0.0
28,D008175,692227,0.017230753385561914,1.0
29,D008175,692229,0.02490062683370863,0.0
30,D008175,100113382,0.01904644151121601,1.0
31,D008175,692058,0.01615393709256921,0.0
32,D008175,692213,0.01240131447653816,0.0
33,D008175,692214,0.021008578967716282,0.0
34,D008175,692215,0.02766704176261242,1.0
35,D008175,767561,0.012994621347386739,0.0
36,D008175,767562,0.021084195774917554,0.0
37,D008175,767563,0.015594314302806282,1.0
38,D008175,767565,0.01584252151079813,0.0
39,D008175,767566,0.01983719105231078,0.0
40,D008175,767567,0.01181879241563853,1.0
41,D008175,767568,0.025968953629014246,1.0
42,D008175,767569,0.01015176905107669,1.0
43,D008175,767577,0.016308592343519106,1.0
44,D008175,767588,0.015076959951522657,0.0
45,D008175,767589,0.016737647966606307,0.0
46,D008175,767590,0.020017231093969273,1.0
47,D008175,767591,0.017748808247259225,0.0
48,D008175,767592,0.018824668189741912,0.0
49,D008175,767593,0.0154614627161349,1.0
50,D008175,767595,0.019973577480334077,1.0
51,D008175,767578,0.018713927770721197,0.0
52,D008175,767598,0.013569453795363201,0.0
53,D008175,767599,0.015461462716132773,1.0
54,D008175,767600,0.012929588326108889,0.0
55,D008175,767603,0.01666037104345362,0.0
56,D008175,767605,0.013026217187555263,0.0
57,D008175,767606,0.016718597854201798,0.0
58,D008175,767609,0.0130262171875525,0.0
59,D008175,767610,0.014595905107832822,0.0
60,D008175,767579,0.01597934978645899,1.0
61,D008175,767581,0.01732851510794908,0.0
62,D008175,767585,0.01263426443772158,0.0
63,D008175,338433,0.0298514120531878,1.0
64,D008175,100033447,0.029729067915307765,0.0
65,D008175,100033450,0.030030483140859307,0.0
66,D008175,100033453,0.029729067915308285,0.0
67,D008175,100033454,0.029758399492725823,0.0
68,D008175,100033603,0.02972906791530862,0.0
69,D008175,100033800,0.0280565716922333,0.0
70,D008175,100033805,0.030079330513013862,0.0
71,D008175,100033806,0.0284278299950256,0.0
72,D008175,100033807,0.027670698798880122,0.0
73,D008175,100033814,0.029758399492727957,0.0
74,D008175,100033816,0.029758399492727086,0.0
