,Disease,RNA,Relation,True_y
220,D020786,654322,0.0031943472354890876,0.0
221,D020786,692073,0.004758169107045987,0.0
222,D020786,677804,0.0031736127282365333,0.0
223,D020786,677824,0.006337275392370679,0.0
224,D020786,677808,0.005376385621071424,0.0
225,D020786,677809,0.009971418150299866,0.0
226,D020786,677814,0.004732004941443531,0.0
227,D020786,594839,0.006633752397187585,0.0
228,D020786,677817,0.005479498959096094,0.0
229,D020786,619562,0.004321534803164345,0.0
230,D020786,677827,0.004600867634176405,0.0
231,D020786,677842,0.0030089273324286213,0.0
232,D020786,677832,0.005027851035620085,0.0
233,D020786,677836,0.003263580306096898,0.0
234,D020786,677838,0.004330906337352088,0.0
235,D020786,26779,0.006291701961660503,0.0
236,D020786,100124538,0.006804632794594347,0.0
237,D020786,26775,0.0039818515668867994,0.0
238,D020786,6080,0.006513275107837808,0.0
239,D020786,677823,0.006170296136988701,0.0
240,D020786,677847,0.006800243841150397,0.0
241,D020786,677798,0.006379697961563238,0.0
242,D020786,652966,0.008335028220022904,0.0
243,D020786,594837,0.005685376502952224,0.0
244,D020786,26771,0.005795433971910281,1.0
245,D020786,692234,0.009508121392741185,0.0
246,D020786,692235,0.010063942689731655,0.0
247,D020786,692200,0.004427249843902328,0.0
248,D020786,692227,0.005319619276367493,0.0
249,D020786,692229,0.004327142948545817,0.0
250,D020786,100113382,0.006334258217555242,1.0
251,D020786,692058,0.0025181891577412195,0.0
252,D020786,692213,0.003069801120203147,1.0
253,D020786,692214,0.0019416316863593616,0.0
254,D020786,692215,0.007515872600682616,0.0
255,D020786,767561,0.005857034091016174,0.0
256,D020786,767562,0.005425858395181766,0.0
257,D020786,767563,0.005296418335006903,1.0
258,D020786,767565,0.007024684773242671,0.0
259,D020786,767566,0.0042398708266790965,1.0
260,D020786,767567,0.004544485691258487,1.0
261,D020786,767568,0.009213724170126357,1.0
262,D020786,767569,0.004480726731053735,1.0
263,D020786,767577,0.00945578301815135,1.0
264,D020786,767588,0.0037450963277506294,0.0
265,D020786,767589,0.005331343831744134,0.0
266,D020786,767590,0.005824273958600251,1.0
267,D020786,767591,0.004285820276714232,0.0
268,D020786,767592,0.004255998396639193,0.0
269,D020786,767593,0.004650732989280917,0.0
270,D020786,767595,0.008095281253792887,0.0
271,D020786,767578,0.005650143054255886,0.0
272,D020786,767598,0.0016772383757829722,0.0
273,D020786,767599,0.004650732989280957,0.0
274,D020786,767600,0.0011509051503413403,1.0
275,D020786,767603,0.002346174252841373,1.0
276,D020786,767605,0.001669154436839168,0.0
277,D020786,767606,0.003674572263177419,1.0
278,D020786,767609,0.001669154436839181,0.0
279,D020786,767610,0.0023149117161156345,0.0
280,D020786,767579,0.006364633608563149,0.0
281,D020786,767581,0.003674799717489909,0.0
282,D020786,767585,0.001275659495695946,0.0
283,D020786,338433,0.006442600388798448,0.0
284,D020786,100033447,0.0025044025204942638,1.0
285,D020786,100033450,0.005084004249377503,0.0
286,D020786,100033453,0.002504402520494272,1.0
287,D020786,100033454,0.00251150808186296,1.0
288,D020786,100033603,0.0025044025204942633,1.0
289,D020786,100033800,0.003439814438956232,1.0
290,D020786,100033805,0.006557783038863348,0.0
291,D020786,100033806,0.0023001929026265364,1.0
292,D020786,100033807,0.0027499069582522144,1.0
293,D020786,100033814,0.0025115080818629964,1.0
294,D020786,100033816,0.0025115080818630194,1.0
295,D020786,100033445,0.0023001929026265694,1.0
296,D020786,100033413,0.0012554208437202364,0.0
297,D020786,100033427,0.0024488473288524974,1.0
298,D020786,100033428,0.001739088557174672,0.0
299,D020786,100033414,0.0003992167230368903,0.0
300,D020786,100033431,0.0018755205093361409,0.0
301,D020786,100033432,0.002270759160614317,1.0
302,D020786,100033435,0.004373491543981157,1.0
303,D020786,100033436,0.0029067916752274314,0.0
304,D020786,100033821,0.0021027670985775044,1.0
305,D020786,100033415,0.0012408662899146858,0.0
306,D020786,692233,0.006830242926507495,0.0
307,D020786,727676,0.006961168578007908,0.0
308,D020786,100113378,0.004322220695518029,0.0
309,D020786,100113392,0.003841587983070642,0.0
310,D020786,692057,0.0031524988734689414,0.0
311,D020786,100113379,0.010152738373569727,0.0
312,D020786,101340252,0.00816252806403611,0.0
313,D020786,100113384,0.001573577558054038,0.0
314,D020786,101340251,0.006037091514507879,0.0
315,D020786,100113380,0.005726905851415402,0.0
316,D020786,100113391,0.008836624529981602,0.0
317,D020786,100113389,0.004220632443163869,0.0
318,D020786,100113393,0.004131123365932498,0.0
319,D020786,26765,0.0030374128454438865,0.0
320,D020786,692084,0.008605062353004393,0.0
321,D020786,26822,0.0040637443524970136,0.0
322,D020786,85388,0.003955294096602641,0.0
323,D020786,85389,0.0036719235412060788,0.0
324,D020786,85390,0.009491438298221343,0.0
325,D020786,85391,0.0038845360008132506,0.0
326,D020786,6079,0.0057843034018635695,1.0
327,D020786,114599,0.009560757436160788,0.0
328,D020786,595097,0.008060577293668023,0.0
329,D020786,595098,0.002427495962339168,0.0
330,D020786,595099,0.00400476279890292,0.0
331,D020786,595100,0.0038806638582757863,0.0
332,D020786,692089,0.006268468605613205,0.0
333,D020786,100113381,0.006838363556493446,0.0
334,D020786,677848,0.006976761612874362,0.0
335,D020786,677849,0.004220336286989052,0.0
336,D020786,677850,0.005486153551629045,0.0
337,D020786,619567,0.007318565189625852,0.0
338,D020786,6082,0.0016733942629765278,0.0
339,D020786,6083,0.0036314478940853556,0.0
340,D020786,9304,0.011691754775969166,0.0
341,D020786,692091,0.0029354230030394154,0.0
342,D020786,26820,0.004282676681959672,0.0
343,D020786,9303,0.006227898194044039,0.0
344,D020786,9302,0.0026061458529230723,0.0
345,D020786,9301,0.005830401367509425,0.0
346,D020786,9300,0.005785466877184037,0.0
347,D020786,9299,0.0026371435225811604,0.0
348,D020786,9298,0.0020780875086778513,0.0
349,D020786,26819,0.0033638439825199105,1.0
350,D020786,26818,0.010219960947196308,0.0
351,D020786,26817,0.0034387825309154106,0.0
352,D020786,26816,0.004468762915865343,0.0
353,D020786,84546,0.005528512492113016,0.0
354,D020786,26815,0.006138030387681301,0.0
355,D020786,26814,0.0023733372613745475,1.0
356,D020786,26813,0.00819494774258259,0.0
357,D020786,26812,0.010905371807027383,1.0
358,D020786,94162,0.0026173639273691135,0.0
359,D020786,94163,0.00631548920314042,0.0
360,D020786,780851,0.01111041336814714,0.0
361,D020786,26851,0.006036279811493617,0.0
362,D020786,780852,0.00603627981149368,0.0
363,D020786,780853,0.005954440264608998,0.0
364,D020786,780854,0.007639992002793638,0.0
365,D020786,26843,0.007433214146829022,0.0
366,D020786,26810,0.005455001472002546,0.0
367,D020786,26809,0.0025563792575932862,1.0
368,D020786,26808,0.0035539273479752763,1.0
369,D020786,26807,0.006973579265808386,0.0
370,D020786,26806,0.009219560656891473,0.0
371,D020786,26805,0.0023113358863256833,0.0
372,D020786,26804,0.0027902696049574116,0.0
373,D020786,692085,0.0024904844926011156,0.0
374,D020786,94161,0.005514595203291665,0.0
375,D020786,26802,0.002899584514416055,0.0
376,D020786,26801,0.005338476603362192,0.0
377,D020786,26800,0.005632536681711018,0.0
378,D020786,692087,0.009900152275624225,0.0
379,D020786,26773,0.006442870587078778,0.0
380,D020786,26772,0.006388595212575567,0.0
381,D020786,692072,0.004553072228574249,0.0
382,D020786,26799,0.0037741135783314517,0.0
383,D020786,692088,0.005923857106378893,0.0
384,D020786,26798,0.0029456745624579055,0.0
385,D020786,26797,0.0031737710869265707,1.0
386,D020786,26796,0.002813640923820737,0.0
387,D020786,26795,0.006033758249843245,0.0
388,D020786,26811,0.0038821967869812493,0.0
389,D020786,26793,0.005105027471872392,0.0
390,D020786,26792,0.002508671122353211,0.0
391,D020786,26791,0.0034242438306478053,0.0
392,D020786,26790,0.003748265655673693,0.0
393,D020786,100124516,0.0043664592991168715,0.0
394,D020786,26789,0.006949768668168748,1.0
395,D020786,692090,0.00701183267164889,0.0
396,D020786,692075,0.0025399030809507756,1.0
397,D020786,26788,0.005147501654485543,1.0
398,D020786,26787,0.003542629373032618,1.0
399,D020786,26786,0.00504997797588122,0.0
400,D020786,692093,0.005533596408019927,0.0
401,D020786,26785,0.005447606162810642,0.0
402,D020786,347686,0.007573442428661191,1.0
403,D020786,692106,0.0035403167215202584,0.0
404,D020786,692107,0.009145639391075952,0.0
