,Disease,RNA,Relation,True_y
0,D008175,654322,0.4238518334356115,0.0
1,D008175,692073,0.4587139330671688,0.0
2,D008175,677804,0.38767961087587927,0.0
3,D008175,677824,0.4449983418211932,0.0
4,D008175,677808,0.3455015199118766,0.0
5,D008175,677809,0.46429596381730676,0.0
6,D008175,677814,0.5007142463198359,0.0
7,D008175,594839,0.4461067527514796,0.0
8,D008175,677817,0.43922928860133537,0.0
9,D008175,619562,0.34661126546401927,0.0
10,D008175,677827,0.4350389170636221,0.0
11,D008175,677842,0.2878223065734635,0.0
12,D008175,677832,0.435442280347288,0.0
13,D008175,677836,0.48889938928128607,0.0
14,D008175,677838,0.4915583942879147,0.0
15,D008175,26779,0.4806479458120934,0.0
16,D008175,100124538,0.34029256444162936,0.0
17,D008175,26775,0.3135960871735669,0.0
18,D008175,6080,0.44677610359263303,0.0
19,D008175,677823,0.34259379357608916,0.0
20,D008175,677847,0.4769474447184556,0.0
21,D008175,677798,0.4834663698338508,0.0
22,D008175,652966,0.46884922749568586,1.0
23,D008175,594837,0.3997236130489116,0.0
24,D008175,26771,0.4856624018856811,0.0
25,D008175,692234,0.5165853289870251,1.0
26,D008175,692235,0.4729924072852668,1.0
27,D008175,692200,0.3834687122045963,0.0
28,D008175,692227,0.4071606509689066,1.0
29,D008175,692229,0.4569308603411576,0.0
30,D008175,100113382,0.422787275278728,1.0
31,D008175,692058,0.3653297616016976,0.0
32,D008175,692213,0.296078616502118,0.0
33,D008175,692214,0.42369448843369173,0.0
34,D008175,692215,0.5135342192269681,1.0
35,D008175,767561,0.2508785450891393,0.0
36,D008175,767562,0.3350177945198246,0.0
37,D008175,767563,0.38189964667815995,1.0
38,D008175,767565,0.3072744740668343,0.0
39,D008175,767566,0.4113863005487953,0.0
40,D008175,767567,0.33823549773267836,1.0
41,D008175,767568,0.5416539078400043,1.0
42,D008175,767569,0.26793943854397284,1.0
43,D008175,767577,0.4267327315348875,1.0
44,D008175,767588,0.2451948618857347,0.0
45,D008175,767589,0.259669873200878,0.0
46,D008175,767590,0.46516283660616115,1.0
47,D008175,767591,0.3287387299331017,0.0
48,D008175,767592,0.37273600807606616,0.0
49,D008175,767593,0.3470906798679604,1.0
50,D008175,767595,0.4292828601090273,1.0
51,D008175,767578,0.2945319224163443,0.0
52,D008175,767598,0.2718173200994075,0.0
53,D008175,767599,0.3470906798679602,1.0
54,D008175,767600,0.2988813070304526,0.0
55,D008175,767603,0.3460870286848883,0.0
56,D008175,767605,0.2598520907906363,0.0
57,D008175,767606,0.347123200202574,0.0
58,D008175,767609,0.2598520907906344,0.0
59,D008175,767610,0.28856498932441865,0.0
60,D008175,767579,0.3594432713600141,1.0
61,D008175,767581,0.3201436440360526,0.0
62,D008175,767585,0.2573013417556921,0.0
63,D008175,338433,0.5168266499807893,1.0
64,D008175,100033447,0.4691368837134762,0.0
65,D008175,100033450,0.4841869612785184,0.0
66,D008175,100033453,0.4691368837134804,0.0
67,D008175,100033454,0.4695513120543534,0.0
68,D008175,100033603,0.4691368837134786,0.0
69,D008175,100033800,0.44035449308804026,0.0
70,D008175,100033805,0.5074711897866466,0.0
71,D008175,100033806,0.45030425285474707,0.0
72,D008175,100033807,0.44503525110278996,0.0
73,D008175,100033814,0.46955131205435235,0.0
74,D008175,100033816,0.4695513120543513,0.0
75,D008175,100033445,0.4503042528547475,0.0
76,D008175,100033413,0.4771512625870941,0.0
77,D008175,100033427,0.4783426642313787,0.0
78,D008175,100033428,0.4768816564701006,0.0
79,D008175,100033414,0.4033295581790286,0.0
80,D008175,100033431,0.47882792097745386,0.0
81,D008175,100033432,0.5159096195786057,0.0
82,D008175,100033435,0.5276070645053091,0.0
83,D008175,100033436,0.462186326009545,0.0
84,D008175,100033821,0.4665309285187438,0.0
85,D008175,100033415,0.4658478319993799,0.0
86,D008175,692233,0.42724086926231625,0.0
87,D008175,727676,0.3440402469776745,0.0
88,D008175,100113378,0.31033416350575405,0.0
89,D008175,100113392,0.29026495948983,1.0
90,D008175,692057,0.3229917137065803,0.0
91,D008175,100113379,0.5351744949265003,1.0
92,D008175,101340252,0.4587917929255608,0.0
93,D008175,100113384,0.3944016921651262,0.0
94,D008175,101340251,0.42703634612609676,0.0
95,D008175,100113380,0.33961608813906957,0.0
96,D008175,100113391,0.4326620745888744,0.0
97,D008175,100113389,0.42856396361744675,0.0
98,D008175,100113393,0.27933820277032273,0.0
99,D008175,26765,0.24588023948336224,0.0
100,D008175,692084,0.3886097670052304,1.0
101,D008175,26822,0.35375472637827804,0.0
102,D008175,85388,0.4088637322285793,0.0
103,D008175,85389,0.3796423649785561,0.0
104,D008175,85390,0.49105711709501754,1.0
105,D008175,85391,0.37866507221992063,0.0
106,D008175,6079,0.4884709365677993,0.0
107,D008175,114599,0.3938820494333732,0.0
108,D008175,595097,0.47051744950807883,1.0
109,D008175,595098,0.27530924116225414,0.0
110,D008175,595099,0.46463556479494567,1.0
111,D008175,595100,0.3844507623872905,0.0
112,D008175,692089,0.44680222191903485,0.0
113,D008175,100113381,0.5547170523411202,1.0
114,D008175,677848,0.44088062908789566,0.0
115,D008175,677849,0.38806855354407666,0.0
116,D008175,677850,0.411749508102766,1.0
117,D008175,619567,0.43019585797510207,0.0
118,D008175,6082,0.41146181502660883,0.0
119,D008175,6083,0.3316257035423362,0.0
120,D008175,9304,0.4948311671327472,0.0
121,D008175,692091,0.25997788820176326,0.0
122,D008175,26820,0.46488329621316404,0.0
123,D008175,9303,0.3682012788598495,1.0
124,D008175,9302,0.42238873713743175,0.0
125,D008175,9301,0.44916475350450225,1.0
126,D008175,9300,0.43196115658485057,1.0
127,D008175,9299,0.31003091489875284,1.0
128,D008175,9298,0.33583965125256837,0.0
129,D008175,26819,0.35746014756058,0.0
130,D008175,26818,0.4541121460411226,1.0
131,D008175,26817,0.36835421098275684,0.0
132,D008175,26816,0.3973340033693592,0.0
133,D008175,84546,0.39084786346781447,0.0
134,D008175,26815,0.33945511845290943,1.0
135,D008175,26814,0.4487651927007923,0.0
136,D008175,26813,0.37701750845055926,0.0
137,D008175,26812,0.5233219945680829,1.0
138,D008175,94162,0.44245974093172596,0.0
139,D008175,94163,0.5052484091539144,1.0
140,D008175,780851,0.5757850325765245,0.0
141,D008175,26851,0.4865894903625014,0.0
142,D008175,780852,0.486589490362502,0.0
143,D008175,780853,0.4916219077042015,0.0
144,D008175,780854,0.5245734260271673,1.0
145,D008175,26843,0.46943219393570035,0.0
146,D008175,26810,0.3342457310373179,0.0
147,D008175,26809,0.4665287803958431,0.0
148,D008175,26808,0.45010988972793686,0.0
149,D008175,26807,0.3417386952197069,0.0
150,D008175,26806,0.3888838006630251,0.0
151,D008175,26805,0.28127095040197925,0.0
152,D008175,26804,0.27809492027126614,0.0
153,D008175,692085,0.2811329979423366,0.0
154,D008175,94161,0.45674220998256343,1.0
155,D008175,26802,0.4100747179873484,0.0
156,D008175,26801,0.2654544018128957,0.0
157,D008175,26800,0.3227004650382208,0.0
158,D008175,692087,0.39204579818134744,1.0
159,D008175,26773,0.40597850762639864,1.0
160,D008175,26772,0.3594915022720576,1.0
161,D008175,692072,0.3841925648348355,1.0
162,D008175,26799,0.36076489511986765,0.0
163,D008175,692088,0.38634500438414915,0.0
164,D008175,26798,0.31643349411535165,1.0
165,D008175,26797,0.45693256475103894,0.0
166,D008175,26796,0.3509426752122918,0.0
167,D008175,26795,0.3494543673076368,1.0
168,D008175,26811,0.3808082293165803,0.0
169,D008175,26793,0.36369274926310013,0.0
170,D008175,26792,0.3868525895050258,0.0
171,D008175,26791,0.3548571118145224,0.0
172,D008175,26790,0.45674863775106495,0.0
173,D008175,100124516,0.4461506821832076,0.0
174,D008175,26789,0.4768659498291177,0.0
175,D008175,692090,0.42716366287752094,1.0
176,D008175,692075,0.38270718731279857,0.0
177,D008175,26788,0.5164533122391117,1.0
178,D008175,26787,0.32144885789472494,0.0
179,D008175,26786,0.47964758202426716,0.0
180,D008175,692093,0.40106043838487615,0.0
181,D008175,26785,0.4857725503562178,1.0
182,D008175,347686,0.3119252446989087,0.0
183,D008175,692106,0.3820845458147947,0.0
184,D008175,692107,0.48296289222412,1.0
185,D008175,692108,0.4028041201387663,0.0
186,D008175,606500,0.34552983170932305,0.0
187,D008175,692109,0.29767132960144627,0.0
188,D008175,692076,0.32510730589396086,0.0
189,D008175,692110,0.3054735336691049,0.0
190,D008175,692111,0.405839711644681,0.0
191,D008175,619564,0.45603019508919374,1.0
192,D008175,8944,0.447977119204241,1.0
193,D008175,619498,0.319349974464634,0.0
194,D008175,692195,0.4892710331698079,1.0
195,D008175,692196,0.45637157647192317,1.0
196,D008175,692197,0.4182087862502628,1.0
197,D008175,692198,0.5352154468472754,1.0
198,D008175,26770,0.5454777550800507,1.0
199,D008175,26774,0.2968427885851075,0.0
200,D008175,26769,0.38135425544346613,0.0
201,D008175,25826,0.467625759141972,0.0
202,D008175,116937,0.3580446253401426,0.0
203,D008175,116938,0.4019498239722845,0.0
204,D008175,692199,0.3163822196631789,0.0
205,D008175,641648,0.38420406524677553,0.0
206,D008175,692202,0.410544298093697,1.0
207,D008175,692203,0.27111857576032683,1.0
208,D008175,692204,0.3813608641058305,0.0
209,D008175,692205,0.6130243973930212,1.0
210,D008175,692206,0.5222357564663165,0.0
211,D008175,692208,0.4423039312237801,0.0
212,D008175,692209,0.37275646132499274,0.0
213,D008175,692210,0.3757782435046939,0.0
214,D008175,692225,0.4119428186476903,0.0
215,D008175,619571,0.3834622200161242,0.0
216,D008175,692226,0.2633034688774475,0.0
217,D008175,692223,0.4870912396275346,0.0
218,D008175,692211,0.3823766623791004,1.0
219,D008175,692212,0.4317180279874241,1.0
220,D020786,654322,0.35302324304556987,0.0
221,D020786,692073,0.3739671903602332,0.0
222,D020786,677804,0.3602018263394787,0.0
223,D020786,677824,0.33912063518692875,0.0
224,D020786,677808,0.23104824318559503,0.0
225,D020786,677809,0.32176455209908594,0.0
226,D020786,677814,0.3974097478749676,0.0
227,D020786,594839,0.3259898705530115,0.0
228,D020786,677817,0.3269021555907797,0.0
229,D020786,619562,0.31730338703923194,0.0
230,D020786,677827,0.3486504335712757,0.0
231,D020786,677842,0.20536212924705657,0.0
232,D020786,677832,0.3245828290785923,0.0
233,D020786,677836,0.43392092634598833,0.0
234,D020786,677838,0.4020063409865353,0.0
235,D020786,26779,0.3686061935824926,0.0
236,D020786,100124538,0.2202801965687475,0.0
237,D020786,26775,0.22227709762428077,0.0
238,D020786,6080,0.31869101900201396,0.0
239,D020786,677823,0.23038368408987925,0.0
240,D020786,677847,0.35994983246003615,0.0
241,D020786,677798,0.3602370719828235,0.0
242,D020786,652966,0.32782102282872294,0.0
243,D020786,594837,0.3048897564737585,0.0
244,D020786,26771,0.39676845505242997,1.0
245,D020786,692234,0.39414738550569756,0.0
246,D020786,692235,0.36579499851047537,0.0
247,D020786,692200,0.2817636953080297,0.0
248,D020786,692227,0.28737285676044116,0.0
249,D020786,692229,0.39583837304094927,0.0
250,D020786,100113382,0.325636773154881,1.0
251,D020786,692058,0.275204285057382,0.0
252,D020786,692213,0.20282930391240064,1.0
253,D020786,692214,0.34153326266856976,0.0
254,D020786,692215,0.41332183104591413,0.0
255,D020786,767561,0.19254819946035528,0.0
256,D020786,767562,0.2772065732401092,0.0
257,D020786,767563,0.29634023336386683,1.0
258,D020786,767565,0.25692048768816356,0.0
259,D020786,767566,0.3076628644651572,1.0
260,D020786,767567,0.261867466984099,1.0
261,D020786,767568,0.467205211216728,1.0
262,D020786,767569,0.22523901986409584,1.0
263,D020786,767577,0.3348716677576736,1.0
264,D020786,767588,0.20582815193045412,0.0
265,D020786,767589,0.19976528642303087,0.0
266,D020786,767590,0.35556838748339603,1.0
267,D020786,767591,0.24501903636534278,0.0
268,D020786,767592,0.2825907086777636,0.0
269,D020786,767593,0.27913072843216435,0.0
270,D020786,767595,0.29929000630164626,0.0
271,D020786,767578,0.23277663061469275,0.0
272,D020786,767598,0.23412747400173461,0.0
273,D020786,767599,0.2791307284321637,0.0
274,D020786,767600,0.26771318704309643,1.0
275,D020786,767603,0.28824264144057077,1.0
276,D020786,767605,0.2336115356923592,0.0
277,D020786,767606,0.282047944746419,1.0
278,D020786,767609,0.23361153569236565,0.0
279,D020786,767610,0.23982697025584981,0.0
280,D020786,767579,0.25468482213388677,0.0
281,D020786,767581,0.26982820385584916,0.0
282,D020786,767585,0.22893009947800952,0.0
283,D020786,338433,0.6065732831500195,0.0
284,D020786,100033447,0.5745496153713975,1.0
285,D020786,100033450,0.5800194860721918,0.0
286,D020786,100033453,0.5745496153713954,1.0
287,D020786,100033454,0.5748755455621493,1.0
288,D020786,100033603,0.5745496153713949,1.0
289,D020786,100033800,0.5210426801342888,1.0
290,D020786,100033805,0.51797122267776,0.0
291,D020786,100033806,0.5505817224543879,1.0
292,D020786,100033807,0.5075681046206795,1.0
293,D020786,100033814,0.5748755455621475,1.0
294,D020786,100033816,0.5748755455621506,1.0
295,D020786,100033445,0.5505817224543879,1.0
296,D020786,100033413,0.4522053149741704,0.0
297,D020786,100033427,0.41942593066188627,1.0
298,D020786,100033428,0.4245266485028617,0.0
299,D020786,100033414,0.37596836600900074,0.0
300,D020786,100033431,0.42550377687952456,0.0
301,D020786,100033432,0.4551256844772096,1.0
302,D020786,100033435,0.4709780510262216,1.0
303,D020786,100033436,0.37537822866191245,0.0
304,D020786,100033821,0.4303916861809852,1.0
305,D020786,100033415,0.4369772957615635,0.0
306,D020786,692233,0.2853617943924506,0.0
307,D020786,727676,0.2692850559667047,0.0
308,D020786,100113378,0.2562924424837476,0.0
309,D020786,100113392,0.2027549937399274,0.0
310,D020786,692057,0.20061954437763005,0.0
311,D020786,100113379,0.3957846245273311,0.0
312,D020786,101340252,0.3390454228189426,0.0
313,D020786,100113384,0.3444105914599339,0.0
314,D020786,101340251,0.35835137121280636,0.0
315,D020786,100113380,0.2419497250796876,0.0
316,D020786,100113391,0.28341641723690336,0.0
317,D020786,100113389,0.3308625534283795,0.0
318,D020786,100113393,0.16966224855495532,0.0
319,D020786,26765,0.14968710703680116,0.0
320,D020786,692084,0.2887991639630295,0.0
321,D020786,26822,0.23168190333085353,0.0
322,D020786,85388,0.2829627255671765,0.0
323,D020786,85389,0.26626562915794066,0.0
324,D020786,85390,0.3611759485955325,0.0
325,D020786,85391,0.2723297235769747,0.0
326,D020786,6079,0.4437590104088704,1.0
327,D020786,114599,0.3149153387116484,0.0
328,D020786,595097,0.33615257943413995,0.0
329,D020786,595098,0.2119014781053043,0.0
330,D020786,595099,0.37727688175433205,0.0
331,D020786,595100,0.3037923698103806,0.0
332,D020786,692089,0.3490687018642667,0.0
333,D020786,100113381,0.45816875852614125,0.0
334,D020786,677848,0.3708197595751807,0.0
335,D020786,677849,0.3080875461429804,0.0
336,D020786,677850,0.35221657502733494,0.0
337,D020786,619567,0.36129885415996577,0.0
338,D020786,6082,0.3459396146983267,0.0
339,D020786,6083,0.2133555723008232,0.0
340,D020786,9304,0.43005636245518747,0.0
341,D020786,692091,0.16929641272705476,0.0
342,D020786,26820,0.398642740551297,0.0
343,D020786,9303,0.3063035471076392,0.0
344,D020786,9302,0.3786897421459846,0.0
345,D020786,9301,0.37127122569873805,0.0
346,D020786,9300,0.3551005809561496,0.0
347,D020786,9299,0.2442376180171511,0.0
348,D020786,9298,0.22594955930009542,0.0
349,D020786,26819,0.27106580637617217,1.0
350,D020786,26818,0.3600422122325621,0.0
351,D020786,26817,0.2584643763721408,0.0
352,D020786,26816,0.25747821354766615,0.0
353,D020786,84546,0.2982071755056775,0.0
354,D020786,26815,0.2425762826715327,0.0
355,D020786,26814,0.416691094405932,1.0
356,D020786,26813,0.2911724839662912,0.0
357,D020786,26812,0.41743043743477143,1.0
358,D020786,94162,0.42974625291526675,0.0
359,D020786,94163,0.44207481043259034,0.0
360,D020786,780851,0.5432668756996515,0.0
361,D020786,26851,0.47680467376200864,0.0
362,D020786,780852,0.4768046737620028,0.0
363,D020786,780853,0.48365897630523524,0.0
364,D020786,780854,0.5042346478628983,0.0
365,D020786,26843,0.41615482880963917,0.0
366,D020786,26810,0.2571875350939329,0.0
367,D020786,26809,0.41627635362739374,1.0
368,D020786,26808,0.3666757723979248,1.0
369,D020786,26807,0.2442309106818823,0.0
370,D020786,26806,0.29292970773990956,0.0
371,D020786,26805,0.21454809461086652,0.0
372,D020786,26804,0.2110582979371943,0.0
373,D020786,692085,0.21815531642772162,0.0
374,D020786,94161,0.370993705371619,0.0
375,D020786,26802,0.3308532337059293,0.0
376,D020786,26801,0.16787969249438947,0.0
377,D020786,26800,0.26562126525329155,0.0
378,D020786,692087,0.3048491945792708,0.0
379,D020786,26773,0.2762295158455278,0.0
380,D020786,26772,0.23558698732104666,0.0
381,D020786,692072,0.30328643573458425,0.0
382,D020786,26799,0.34990923586560896,0.0
383,D020786,692088,0.36817967833894527,0.0
384,D020786,26798,0.24534212752159262,0.0
385,D020786,26797,0.36741485263286994,1.0
386,D020786,26796,0.2574259158220211,0.0
387,D020786,26795,0.28948236396922244,0.0
388,D020786,26811,0.2914011130657168,0.0
389,D020786,26793,0.24390720333233246,0.0
390,D020786,26792,0.35782835576579897,0.0
391,D020786,26791,0.2557910337349543,0.0
392,D020786,26790,0.32142561785354185,0.0
393,D020786,100124516,0.3518339457955041,0.0
394,D020786,26789,0.40019040363067643,1.0
395,D020786,692090,0.32634337759685395,0.0
396,D020786,692075,0.3229637175235961,1.0
397,D020786,26788,0.4040981798434016,1.0
398,D020786,26787,0.26340192214459557,1.0
399,D020786,26786,0.41203979692068043,0.0
400,D020786,692093,0.3604265907476702,0.0
401,D020786,26785,0.3821322960371326,0.0
402,D020786,347686,0.24497507026600066,1.0
403,D020786,692106,0.3071267564348016,0.0
404,D020786,692107,0.3828787763234236,0.0
405,D020786,692108,0.2900858850749076,0.0
406,D020786,606500,0.27325560148557104,1.0
407,D020786,692109,0.2230021981932852,1.0
408,D020786,692076,0.2297923674121032,0.0
409,D020786,692110,0.23636198563669256,0.0
410,D020786,692111,0.2804469986617058,0.0
411,D020786,619564,0.39375006346850033,0.0
412,D020786,8944,0.36366407143615176,0.0
413,D020786,619498,0.21967415626504716,0.0
414,D020786,692195,0.4045656848780604,0.0
415,D020786,692196,0.356441298057072,0.0
416,D020786,692197,0.3469104447784833,0.0
417,D020786,692198,0.3867169069463153,0.0
418,D020786,26770,0.45488502313943935,0.0
419,D020786,26774,0.19193746510648768,0.0
420,D020786,26769,0.3063611190095614,0.0
421,D020786,25826,0.3201947224086865,0.0
422,D020786,116937,0.30261642657695165,0.0
423,D020786,116938,0.3392129101872504,1.0
424,D020786,692199,0.2076549427709362,0.0
425,D020786,641648,0.330244385097043,0.0
426,D020786,692202,0.28747096602120736,0.0
427,D020786,692203,0.1870578224826414,0.0
428,D020786,692204,0.25925139133723285,0.0
429,D020786,692205,0.48504815577608895,0.0
430,D020786,692206,0.4348069325755318,1.0
431,D020786,692208,0.38322555008028414,0.0
432,D020786,692209,0.32194162914250535,0.0
433,D020786,692210,0.3354502390408131,1.0
434,D020786,692225,0.2858982741406081,0.0
435,D020786,619571,0.26219390032922796,0.0
436,D020786,692226,0.17452795645586416,0.0
437,D020786,692223,0.4319194993737996,0.0
438,D020786,692211,0.30489457345454307,0.0
439,D020786,692212,0.33191984113383816,0.0
440,D013274,654322,0.6796243017582045,0.0
441,D013274,692073,0.7379586981805814,1.0
442,D013274,677804,0.6176645116387838,1.0
443,D013274,677824,0.7177017838533922,1.0
444,D013274,677808,0.5570424611465175,0.0
445,D013274,677809,0.7468352317728171,1.0
446,D013274,677814,0.8027560499121511,1.0
447,D013274,594839,0.7198835872974967,0.0
448,D013274,677817,0.70726395616428,0.0
449,D013274,619562,0.5566425653738646,0.0
450,D013274,677827,0.6986978084839204,0.0
451,D013274,677842,0.4577036504501133,1.0
452,D013274,677832,0.7009208033183418,0.0
453,D013274,677836,0.784480726017497,1.0
454,D013274,677838,0.7875950302279342,1.0
455,D013274,26779,0.773749385672174,0.0
456,D013274,100124538,0.5515441282477445,0.0
457,D013274,26775,0.5041250855054908,0.0
458,D013274,6080,0.7211727454019905,1.0
459,D013274,677823,0.5539221839472168,0.0
460,D013274,677847,0.7689355635809382,0.0
461,D013274,677798,0.7775881347506524,1.0
462,D013274,652966,0.7509646463876756,1.0
463,D013274,594837,0.6371975180140037,1.0
464,D013274,26771,0.7735586984000287,1.0
465,D013274,692234,0.8254603344863172,0.0
466,D013274,692235,0.7580586871243209,0.0
467,D013274,692200,0.614871534321651,1.0
468,D013274,692227,0.6472734631417707,1.0
469,D013274,692229,0.7305831210686369,1.0
470,D013274,100113382,0.6724598464074234,1.0
471,D013274,692058,0.5802608109262095,1.0
472,D013274,692213,0.47021128027604703,1.0
473,D013274,692214,0.6755772002340789,1.0
474,D013274,692215,0.8228710723095476,0.0
475,D013274,767561,0.4014973194177403,0.0
476,D013274,767562,0.5404484913125689,0.0
477,D013274,767563,0.6043867406307357,1.0
478,D013274,767565,0.4901752131063773,0.0
479,D013274,767566,0.6557875707859907,1.0
480,D013274,767567,0.5324932602294064,1.0
481,D013274,767568,0.8607174920004944,1.0
