,Disease,RNA,Relation,True_y
1320,D014901,654322,0.001703585399752361,1.0
1321,D014901,692073,0.0022141569205790515,0.0
1322,D014901,677804,0.001579840768070941,1.0
1323,D014901,677824,0.0021199893857377613,0.0
1324,D014901,677808,0.0014051128637609218,1.0
1325,D014901,677809,0.002068040106088671,0.0
1326,D014901,677814,0.0020775833325923313,1.0
1327,D014901,594839,0.0017069266129642188,1.0
1328,D014901,677817,0.0015551624789171886,1.0
1329,D014901,619562,0.0013444748783196635,1.0
1330,D014901,677827,0.0018238321750846304,1.0
1331,D014901,677842,0.0012616704348052672,1.0
1332,D014901,677832,0.001458548451446446,1.0
1333,D014901,677836,0.002278559679600758,0.0
1334,D014901,677838,0.0022494646397765604,1.0
1335,D014901,26779,0.0018424396310611547,1.0
1336,D014901,100124538,0.0015562319508955803,0.0
1337,D014901,26775,0.001299738099419111,1.0
1338,D014901,6080,0.0022188046323683066,0.0
1339,D014901,677823,0.0016837392360092708,1.0
1340,D014901,677847,0.0018363071885283602,1.0
1341,D014901,677798,0.0020441795005380326,1.0
1342,D014901,652966,0.002113626875846614,1.0
1343,D014901,594837,0.001730355904173946,0.0
1344,D014901,26771,0.002703734741833125,0.0
1345,D014901,692234,0.0020934091404917685,0.0
1346,D014901,692235,0.0017665212285488956,0.0
1347,D014901,692200,0.001643878749898992,1.0
1348,D014901,692227,0.0022374963307155563,0.0
1349,D014901,692229,0.002329113310330937,0.0
1350,D014901,100113382,0.0026710460565637067,0.0
1351,D014901,692058,0.0016084602134469475,1.0
1352,D014901,692213,0.0019658589747045168,0.0
1353,D014901,692214,0.0020594333674944917,0.0
1354,D014901,692215,0.002412483790671125,0.0
1355,D014901,767561,0.0011660556649508744,0.0
1356,D014901,767562,0.0015700499514260365,0.0
1357,D014901,767563,0.0025700681900226396,0.0
1358,D014901,767565,0.001209063154333145,0.0
1359,D014901,767566,0.002502723083421531,0.0
1360,D014901,767567,0.0022360022599514353,0.0
1361,D014901,767568,0.0030491547631997344,0.0
1362,D014901,767569,0.0019565093653629703,0.0
1363,D014901,767577,0.0024464782407416143,0.0
1364,D014901,767588,0.0011945884716194205,0.0
1365,D014901,767589,0.001373317484903245,0.0
1366,D014901,767590,0.0026879291718838847,1.0
1367,D014901,767591,0.0015624972084676714,0.0
1368,D014901,767592,0.0016049099338135476,1.0
1369,D014901,767593,0.0017917610457071765,0.0
1370,D014901,767595,0.002105965114778924,0.0
1371,D014901,767578,0.0014884542139822952,0.0
1372,D014901,767598,0.0014443163067143373,0.0
1373,D014901,767599,0.0017917610457071752,0.0
1374,D014901,767600,0.0019806821707776434,0.0
1375,D014901,767603,0.002167306059839559,0.0
1376,D014901,767605,0.0011928044996222212,0.0
1377,D014901,767606,0.002310540865446823,0.0
1378,D014901,767609,0.0011928044996222312,0.0
1379,D014901,767610,0.0015356322634527935,0.0
1380,D014901,767579,0.0017245303754667026,0.0
1381,D014901,767581,0.0015421476628871527,0.0
1382,D014901,767585,0.0014126741041152228,0.0
1383,D014901,338433,0.0024880215697171324,0.0
1384,D014901,100033447,0.0025356138873315675,0.0
1385,D014901,100033450,0.0021422889395121027,0.0
1386,D014901,100033453,0.0025356138873316157,0.0
1387,D014901,100033454,0.002537452880558996,0.0
1388,D014901,100033603,0.0025356138873315844,0.0
1389,D014901,100033800,0.0024644009962599203,0.0
1390,D014901,100033805,0.002082528924087913,0.0
1391,D014901,100033806,0.0023865960217684954,0.0
1392,D014901,100033807,0.0024843177302121596,0.0
1393,D014901,100033814,0.002537452880559007,0.0
1394,D014901,100033816,0.002537452880559018,0.0
1395,D014901,100033445,0.0023865960217684945,0.0
1396,D014901,100033413,0.002327038999965265,0.0
1397,D014901,100033427,0.0026472213104933155,0.0
1398,D014901,100033428,0.002446956590472211,0.0
1399,D014901,100033414,0.0019926762827339613,0.0
1400,D014901,100033431,0.00242259407428045,0.0
1401,D014901,100033432,0.0029978615233722285,0.0
1402,D014901,100033435,0.002762016613203971,0.0
1403,D014901,100033436,0.0025573278447013764,0.0
1404,D014901,100033821,0.0025459349397212562,0.0
1405,D014901,100033415,0.0022903865840255434,0.0
1406,D014901,692233,0.0023196669688213423,0.0
1407,D014901,727676,0.0014547345680167982,0.0
1408,D014901,100113378,0.0014275438171087737,0.0
1409,D014901,100113392,0.0013879925476064825,0.0
1410,D014901,692057,0.0015408771245738427,0.0
1411,D014901,100113379,0.0021672860824176934,0.0
1412,D014901,101340252,0.0020714774605500906,0.0
