,Disease,RNA,Relation,True_y
4180,D006333,654322,0.001644033723453319,0.0
4181,D006333,692073,0.0017632015526702432,0.0
4182,D006333,677804,0.0016604788544629877,0.0
4183,D006333,677824,0.0014995730959757253,0.0
4184,D006333,677808,0.0007654135267548001,0.0
4185,D006333,677809,0.0010505522842926703,0.0
4186,D006333,677814,0.0017014714121264137,0.0
4187,D006333,594839,0.0013158530053344747,0.0
4188,D006333,677817,0.0013268704689929035,0.0
4189,D006333,619562,0.0016153087624926833,0.0
4190,D006333,677827,0.0015541626037006,0.0
4191,D006333,677842,0.0004446405991940304,0.0
4192,D006333,677832,0.0013206371944161745,0.0
4193,D006333,677836,0.0022670352048355024,0.0
4194,D006333,677838,0.0017978363424489292,0.0
4195,D006333,26779,0.0016112287654898062,0.0
4196,D006333,100124538,0.0007879206519321484,0.0
4197,D006333,26775,0.0007839454060156658,0.0
4198,D006333,6080,0.0012794358700604965,0.0
4199,D006333,677823,0.0007950403511267648,0.0
4200,D006333,677847,0.0015343147339220839,0.0
4201,D006333,677798,0.0014118845584971665,0.0
4202,D006333,652966,0.0008807615171823879,0.0
4203,D006333,594837,0.0010354116550033623,0.0
4204,D006333,26771,0.0015852441980451458,0.0
4205,D006333,692234,0.0013561722594956523,0.0
4206,D006333,692235,0.0014164658792838914,0.0
4207,D006333,692200,0.0009014352952135931,0.0
4208,D006333,692227,0.0006343004086478432,0.0
4209,D006333,692229,0.0017678795922650198,0.0
4210,D006333,100113382,0.001010631589722369,0.0
4211,D006333,692058,0.0006924596236556524,0.0
4212,D006333,692213,0.0003568496501381432,0.0
4213,D006333,692214,0.001324939499904314,0.0
4214,D006333,692215,0.0018540093415867628,1.0
4215,D006333,767561,0.0007157379212707111,0.0
4216,D006333,767562,0.0013958219246451432,1.0
4217,D006333,767563,0.0008597460052227594,0.0
4218,D006333,767565,0.0010459318078902182,0.0
4219,D006333,767566,0.0010173858505509192,1.0
4220,D006333,767567,0.0006103615782951407,0.0
4221,D006333,767568,0.001943934076463875,1.0
4222,D006333,767569,0.0007578693408378769,0.0
4223,D006333,767577,0.0008822368867814061,1.0
4224,D006333,767588,0.0010819482010681813,0.0
4225,D006333,767589,0.0010199865155372466,0.0
4226,D006333,767590,0.0010902786036753906,0.0
4227,D006333,767591,0.0009400105336719409,0.0
4228,D006333,767592,0.0009974340098575134,0.0
4229,D006333,767593,0.0010326008164369097,0.0
4230,D006333,767595,0.000833632383219135,0.0
4231,D006333,767578,0.0012013582204940005,0.0
4232,D006333,767598,0.0010289695556143057,0.0
4233,D006333,767599,0.0010326008164375639,0.0
4234,D006333,767600,0.0010803474710888298,0.0
4235,D006333,767603,0.001157671268093338,0.0
4236,D006333,767605,0.0010565039254085168,0.0
4237,D006333,767606,0.0010518709551972543,0.0
4238,D006333,767609,0.0010565039254091194,0.0
4239,D006333,767610,0.0010047214975829157,0.0
4240,D006333,767579,0.0006995301003808903,0.0
4241,D006333,767581,0.001227516768487696,0.0
4242,D006333,767585,0.0010384714464561808,0.0
4243,D006333,338433,0.003700634701558839,0.0
4244,D006333,100033447,0.003742514636940035,0.0
4245,D006333,100033450,0.0036867305410059493,0.0
4246,D006333,100033453,0.00374251463694407,0.0
4247,D006333,100033454,0.003744294229352026,0.0
4248,D006333,100033603,0.0037425146369412473,0.0
4249,D006333,100033800,0.0033323498370655793,0.0
4250,D006333,100033805,0.002973947141930641,0.0
4251,D006333,100033806,0.0035612574972468535,0.0
4252,D006333,100033807,0.0031727130013356093,0.0
4253,D006333,100033814,0.0037442942293492575,0.0
4254,D006333,100033816,0.003744294229349374,0.0
4255,D006333,100033445,0.0035612574972454206,0.0
4256,D006333,100033413,0.0025068792395441675,0.0
4257,D006333,100033427,0.0021498410063889523,0.0
4258,D006333,100033428,0.0022403394080770787,0.0
4259,D006333,100033414,0.001965724632648683,0.0
4260,D006333,100033431,0.0022419538726830023,0.0
4261,D006333,100033432,0.0022817490501851802,0.0
4262,D006333,100033435,0.0023294511627860656,0.0
4263,D006333,100033436,0.0016213055648129284,0.0
