,Disease,RNA,Relation,True_y
3520,D007154,654322,-5.882197346390168e-16,0.0
3521,D007154,692073,1.1945573730685978e-15,0.0
3522,D007154,677804,1.277773311322043e-15,0.0
3523,D007154,677824,-2.464603555456166e-15,0.0
3524,D007154,677808,-6.750354994338193e-16,0.0
3525,D007154,677809,1.2364380167590224e-15,0.0
3526,D007154,677814,4.2945626530701063e-16,0.0
3527,D007154,594839,3.1005557904882426e-15,0.0
3528,D007154,677817,-1.8506201806001205e-15,0.0
3529,D007154,619562,-1.2238691869589847e-15,0.0
3530,D007154,677827,-1.6140676992794868e-15,0.0
3531,D007154,677842,4.0346680077183444e-16,0.0
3532,D007154,677832,1.5594108956465702e-15,0.0
3533,D007154,677836,7.936566501871259e-16,0.0
3534,D007154,677838,-7.525106069601568e-16,0.0
3535,D007154,26779,-8.628505162746554e-16,0.0
3536,D007154,100124538,-1.1277634486325325e-15,0.0
3537,D007154,26775,1.1065641738403078e-16,0.0
3538,D007154,6080,3.1992492172601877e-15,0.0
3539,D007154,677823,9.076782306732095e-17,0.0
3540,D007154,677847,-4.877283312532264e-16,0.0
3541,D007154,677798,1.6405107270417386e-15,0.0
3542,D007154,652966,1.2182926489884052e-15,0.0
3543,D007154,594837,-4.2765534905374057e-17,0.0
3544,D007154,26771,-2.038405559719886e-16,0.0
3545,D007154,692234,-6.002931730514803e-16,1.0
3546,D007154,692235,-2.2449457751056777e-15,0.0
3547,D007154,692200,8.018225188285193e-16,0.0
3548,D007154,692227,2.0992090949589727e-17,1.0
3549,D007154,692229,3.781319446749531e-16,1.0
3550,D007154,100113382,-1.2885007284017763e-16,0.0
3551,D007154,692058,-1.6328613836209564e-15,1.0
3552,D007154,692213,3.102447889192252e-16,0.0
3553,D007154,692214,5.391647260166361e-16,1.0
3554,D007154,692215,2.6629905013652573e-15,0.0
3555,D007154,767561,4.047583746592255e-16,0.0
3556,D007154,767562,-2.271820902580631e-18,0.0
3557,D007154,767563,2.5936339548084906e-15,0.0
3558,D007154,767565,1.5235615562939661e-15,0.0
3559,D007154,767566,-1.0789423563290191e-15,0.0
3560,D007154,767567,-5.518301495296056e-16,0.0
3561,D007154,767568,-9.476136947302736e-16,0.0
3562,D007154,767569,9.69031607083011e-17,0.0
3563,D007154,767577,-2.854917596931806e-15,0.0
3564,D007154,767588,8.50406834713969e-16,0.0
3565,D007154,767589,6.677086364149524e-16,0.0
3566,D007154,767590,3.002659069747499e-15,0.0
3567,D007154,767591,1.39321196989284e-15,0.0
3568,D007154,767592,-1.3110665010660732e-15,0.0
3569,D007154,767593,-8.675637783685334e-16,0.0
3570,D007154,767595,2.1797407510175332e-15,0.0
3571,D007154,767578,2.235648484176124e-15,0.0
3572,D007154,767598,-9.971713823205426e-16,0.0
3573,D007154,767599,-1.9197526317521196e-15,0.0
3574,D007154,767600,6.816461190960883e-16,0.0
3575,D007154,767603,-4.4065612782778256e-18,0.0
3576,D007154,767605,-2.00733606499506e-15,0.0
3577,D007154,767606,-1.620268671459001e-15,0.0
