,Disease,RNA,Relation,True_y
4180,D006333,654322,0.001506329636670144,0.0
4181,D006333,692073,0.0015138445888021933,0.0
4182,D006333,677804,0.0013185331908819064,0.0
4183,D006333,677824,0.0011817409765655386,0.0
4184,D006333,677808,0.0007881219304520806,0.0
4185,D006333,677809,0.0010624275842356118,0.0
4186,D006333,677814,0.0012110945402909173,0.0
4187,D006333,594839,0.0009534227222051479,0.0
4188,D006333,677817,0.0006709835097270311,0.0
4189,D006333,619562,0.0014183465378930086,0.0
4190,D006333,677827,0.0017928319047394888,0.0
4191,D006333,677842,0.0007299608965591385,0.0
4192,D006333,677832,0.0007031775041719942,0.0
4193,D006333,677836,0.001484021957616304,0.0
4194,D006333,677838,0.0016960156298949404,0.0
4195,D006333,26779,0.0013105384804774274,0.0
4196,D006333,100124538,0.0009455807140522085,0.0
4197,D006333,26775,0.0010834279385573053,0.0
4198,D006333,6080,0.0012926325975534702,0.0
4199,D006333,677823,0.0015334444655144522,0.0
4200,D006333,677847,0.0011851226465560603,0.0
4201,D006333,677798,0.0011331759474537948,0.0
4202,D006333,652966,0.0007884510204207863,0.0
4203,D006333,594837,0.0011050224472099047,0.0
4204,D006333,26771,0.00296601417544323,0.0
4205,D006333,692234,0.0007865812374380928,0.0
4206,D006333,692235,0.0006842827303564403,0.0
4207,D006333,692200,0.0007941042375631451,0.0
4208,D006333,692227,0.0012197785005967775,0.0
4209,D006333,692229,0.0018544311191911783,0.0
4210,D006333,100113382,0.0027961447665692052,0.0
4211,D006333,692058,0.0007426274086198193,0.0
4212,D006333,692213,0.002400128628672998,0.0
4213,D006333,692214,0.0010304498882363518,0.0
4214,D006333,692215,0.0016478754276537328,1.0
4215,D006333,767561,0.001385809807195145,0.0
4216,D006333,767562,0.001479544878673539,1.0
4217,D006333,767563,0.0030795474645444855,0.0
4218,D006333,767565,0.001155998045781754,0.0
4219,D006333,767566,0.002759942594229952,1.0
4220,D006333,767567,0.002661073169281285,0.0
4221,D006333,767568,0.003021544622252027,1.0
4222,D006333,767569,0.00305466513654329,0.0
4223,D006333,767577,0.002722938408268129,1.0
4224,D006333,767588,0.0012278490580469982,0.0
4225,D006333,767589,0.0014505319040012772,0.0
4226,D006333,767590,0.0030165436320281026,0.0
4227,D006333,767591,0.0007818498862455345,0.0
4228,D006333,767592,0.0011383475752553005,0.0
4229,D006333,767593,0.001483373394310733,0.0
4230,D006333,767595,0.0009755389255257477,0.0
4231,D006333,767578,0.001546344407784621,0.0
4232,D006333,767598,0.001733027510472422,0.0
4233,D006333,767599,0.001483373394310725,0.0
4234,D006333,767600,0.003160100093057436,0.0
4235,D006333,767603,0.003054779364301982,0.0
4236,D006333,767605,0.0011930579043045474,0.0
4237,D006333,767606,0.003146586628417304,0.0
4238,D006333,767609,0.0011930579043045444,0.0
4239,D006333,767610,0.0017284445355807412,0.0
4240,D006333,767579,0.0007255479975117218,0.0
4241,D006333,767581,0.0012024311667157696,0.0
4242,D006333,767585,0.001778688445809736,0.0
4243,D006333,338433,0.0032930165119701604,0.0
4244,D006333,100033447,0.004467716047894736,0.0
4245,D006333,100033450,0.003358811645974098,0.0
4246,D006333,100033453,0.00446771604789478,0.0
4247,D006333,100033454,0.004470935070450852,0.0
4248,D006333,100033603,0.004467716047894779,0.0
4249,D006333,100033800,0.004320812616317568,0.0
4250,D006333,100033805,0.0024566913265377122,0.0
4251,D006333,100033806,0.004120519417284361,0.0
4252,D006333,100033807,0.004172322015026464,0.0
4253,D006333,100033814,0.004470935070450897,0.0
4254,D006333,100033816,0.004470935070450891,0.0
4255,D006333,100033445,0.004120519417284343,0.0
4256,D006333,100033413,0.002126170915709964,0.0
4257,D006333,100033427,0.00355775641906402,0.0
4258,D006333,100033428,0.0023684161884605028,0.0
4259,D006333,100033414,0.0016224321826707239,0.0
4260,D006333,100033431,0.0022885105480590032,0.0
4261,D006333,100033432,0.0035758111234528624,0.0
4262,D006333,100033435,0.0036993023838155243,0.0
4263,D006333,100033436,0.0019887162055885832,0.0
4264,D006333,100033821,0.0033266633879809127,0.0
4265,D006333,100033415,0.002073398033914947,0.0
4266,D006333,692233,0.001077209512555887,0.0
4267,D006333,727676,0.0008302679295308039,0.0
4268,D006333,100113378,0.00086657385259054,0.0
4269,D006333,100113392,0.0006060666718712563,0.0
4270,D006333,692057,0.00034623222045956003,0.0
4271,D006333,100113379,0.0011347428554383072,0.0
4272,D006333,101340252,0.001225306753908962,0.0
4273,D006333,100113384,0.001130053111767673,0.0
4274,D006333,101340251,0.0012380023847480067,0.0
4275,D006333,100113380,0.0013504948356560572,0.0
4276,D006333,100113391,0.0007356534229973934,0.0
4277,D006333,100113389,0.0012755717925687002,0.0
4278,D006333,100113393,0.00015798355724519166,0.0
4279,D006333,26765,6.503123970702996e-05,0.0
4280,D006333,692084,0.0010480516028587468,0.0
4281,D006333,26822,6.94933841270195e-05,0.0
4282,D006333,85388,0.0005620026677860298,0.0
4283,D006333,85389,0.001113476217342353,0.0
4284,D006333,85390,0.0008884682144582848,0.0
4285,D006333,85391,0.0006602781756869674,0.0
4286,D006333,6079,0.003002957858892434,0.0
4287,D006333,114599,0.0007422555419827028,0.0
4288,D006333,595097,0.0009497550581358807,0.0
4289,D006333,595098,0.0007448802047876264,0.0
4290,D006333,595099,0.0011575705978920723,0.0
4291,D006333,595100,0.0012044929392614006,0.0
4292,D006333,692089,0.002015074630481036,0.0
