,Disease,RNA,Relation,True_y
0,D008175,654322,0.056024023371621344,0.0
1,D008175,692073,0.176039440716306,0.0
2,D008175,677804,0.13298871569724868,0.0
3,D008175,677824,0.2655213035499203,0.0
4,D008175,677808,0.11212083123519309,0.0
5,D008175,677809,0.30760414839840083,0.0
6,D008175,677814,0.2041872515266512,0.0
7,D008175,594839,0.10308424539311531,0.0
8,D008175,677817,0.09760881265663268,0.0
9,D008175,619562,0.06634346283460885,0.0
10,D008175,677827,0.07537762301228958,0.0
11,D008175,677842,0.11011800369415763,0.0
12,D008175,677832,0.10517617197563198,0.0
13,D008175,677836,0.19273520648482706,0.0
14,D008175,677838,0.1746717002977473,0.0
15,D008175,26779,0.10470388250561294,0.0
16,D008175,100124538,0.13312360863272005,0.0
17,D008175,26775,0.09220942653291903,0.0
18,D008175,6080,0.234515724740476,0.0
19,D008175,677823,0.07951634755792515,0.0
20,D008175,677847,0.1214789530982976,0.0
21,D008175,677798,0.19459549026312878,0.0
22,D008175,652966,0.3610843910301763,1.0
23,D008175,594837,0.2569813549848163,0.0
24,D008175,26771,0.24372861229284074,0.0
25,D008175,692234,0.4815096617704665,1.0
26,D008175,692235,0.45867693941619303,1.0
27,D008175,692200,0.13856945857814887,0.0
28,D008175,692227,0.40995846945778025,1.0
29,D008175,692229,0.19208588996052428,0.0
30,D008175,100113382,0.40216980624140286,1.0
31,D008175,692058,0.1297128273690749,0.0
32,D008175,692213,0.1450633924959832,0.0
33,D008175,692214,0.18500709769510906,0.0
34,D008175,692215,0.44060268185547036,1.0
35,D008175,767561,0.14875312406954122,0.0
36,D008175,767562,0.15148657509260507,0.0
37,D008175,767563,0.47020692807687314,1.0
38,D008175,767565,0.20578723936205123,0.0
39,D008175,767566,0.2668944271277697,0.0
40,D008175,767567,0.414551815939722,1.0
41,D008175,767568,0.5732785724471905,1.0
42,D008175,767569,0.32564692761699415,1.0
43,D008175,767577,0.5237314582808771,1.0
44,D008175,767588,0.10047026008085552,0.0
45,D008175,767589,0.19405978999210516,0.0
46,D008175,767590,0.4634736450124212,1.0
47,D008175,767591,0.28875376472453645,0.0
48,D008175,767592,0.2453634503582762,0.0
49,D008175,767593,0.47884475328296117,1.0
50,D008175,767595,0.5184142041718238,1.0
51,D008175,767578,0.20379039423410686,0.0
52,D008175,767598,0.19454828229178298,0.0
53,D008175,767599,0.4788447532829597,1.0
54,D008175,767600,0.18584234540765138,0.0
55,D008175,767603,0.21128489041707685,0.0
56,D008175,767605,0.19219039586888229,0.0
57,D008175,767606,0.19539734465110087,0.0
58,D008175,767609,0.19219039586888248,0.0
59,D008175,767610,0.18508281860374254,0.0
60,D008175,767579,0.49815063291711614,1.0
61,D008175,767581,0.2876203356110656,0.0
62,D008175,767585,0.19441544201779562,0.0
63,D008175,338433,0.3334998949918997,1.0
64,D008175,100033447,0.11380590647017158,0.0
65,D008175,100033450,0.1927976062880445,0.0
66,D008175,100033453,0.11380590647017497,0.0
67,D008175,100033454,0.11402681038965468,0.0
68,D008175,100033603,0.11380590647017584,0.0
69,D008175,100033800,0.13631740459621813,0.0
70,D008175,100033805,0.20446022804655237,0.0
71,D008175,100033806,0.09441920735004634,0.0
72,D008175,100033807,0.0937590749377387,0.0
73,D008175,100033814,0.11402681038965402,0.0
74,D008175,100033816,0.11402681038965512,0.0
75,D008175,100033445,0.09441920735004658,0.0
76,D008175,100033413,0.18995770239289483,0.0
77,D008175,100033427,0.1325810373753571,0.0
78,D008175,100033428,0.201614501624142,0.0
79,D008175,100033414,0.15729970985644237,0.0
80,D008175,100033431,0.20563561987692136,0.0
81,D008175,100033432,0.22069686398079663,0.0
82,D008175,100033435,0.20964136889105361,0.0
83,D008175,100033436,0.29507340185244146,0.0
84,D008175,100033821,0.12413575302647689,0.0
85,D008175,100033415,0.18499023105262502,0.0
86,D008175,692233,0.237008662707325,0.0
87,D008175,727676,0.11649379598475298,0.0
88,D008175,100113378,0.14723572910651028,0.0
89,D008175,100113392,0.33141858614572756,1.0
90,D008175,692057,0.19017416432748568,0.0
91,D008175,100113379,0.44518101016554884,1.0
92,D008175,101340252,0.28837433321416717,0.0
93,D008175,100113384,0.16251544378227284,0.0
94,D008175,101340251,0.19839025204678748,0.0
95,D008175,100113380,0.15899152655736426,0.0
96,D008175,100113391,0.2628635134977557,0.0
97,D008175,100113389,0.22644576146258094,0.0
98,D008175,100113393,0.16290905688294155,0.0
99,D008175,26765,0.16156347551468903,0.0
100,D008175,692084,0.48913810887581644,1.0
101,D008175,26822,0.17231877518276723,0.0
102,D008175,85388,0.18535150256585992,0.0
103,D008175,85389,0.2251460287690632,0.0
104,D008175,85390,0.5328724085355876,1.0
105,D008175,85391,0.22446059504915927,0.0
106,D008175,6079,0.14753860336966812,0.0
107,D008175,114599,0.18540648950609173,0.0
108,D008175,595097,0.3718732009026561,1.0
109,D008175,595098,0.20819517749351196,0.0
110,D008175,595099,0.40164122999360846,1.0
111,D008175,595100,0.1918832288390303,0.0
112,D008175,692089,0.23714410492336566,0.0
113,D008175,100113381,0.4825216681056701,1.0
114,D008175,677848,0.3058242288428461,0.0
115,D008175,677849,0.17715844000090436,0.0
116,D008175,677850,0.41093031859281964,1.0
117,D008175,619567,0.2596376159429594,0.0
118,D008175,6082,0.185428870235047,0.0
119,D008175,6083,0.17201999411626018,0.0
120,D008175,9304,0.21494564774252467,0.0
121,D008175,692091,0.077822250053038,0.0
122,D008175,26820,0.2472947055642527,0.0
123,D008175,9303,0.45615474804080053,1.0
124,D008175,9302,0.17106861859887534,0.0
125,D008175,9301,0.4119973991725495,1.0
126,D008175,9300,0.41452928022722885,1.0
127,D008175,9299,0.2996331000764517,1.0
128,D008175,9298,0.18569038867917462,0.0
129,D008175,26819,0.13273660672188164,0.0
130,D008175,26818,0.5384672240604467,1.0
131,D008175,26817,0.17047377913440093,0.0
132,D008175,26816,0.18500398000334867,0.0
133,D008175,84546,0.20114386498222253,0.0
134,D008175,26815,0.3806303692685642,1.0
135,D008175,26814,0.14503540586447516,0.0
136,D008175,26813,0.239839860376835,0.0
137,D008175,26812,0.529938722126005,1.0
138,D008175,94162,0.17878882108000554,0.0
139,D008175,94163,0.4220023801016394,1.0
140,D008175,780851,0.17346570275302003,0.0
141,D008175,26851,0.18188997641494958,0.0
142,D008175,780852,0.1818899764149508,0.0
143,D008175,780853,0.1939987559679771,0.0
144,D008175,780854,0.39142037012735253,1.0
145,D008175,26843,0.2571341765284577,0.0
146,D008175,26810,0.2293263426491569,0.0
147,D008175,26809,0.19558943027080536,0.0
148,D008175,26808,0.23057758734846445,0.0
149,D008175,26807,0.18997053620177448,0.0
150,D008175,26806,0.23837169706932723,0.0
151,D008175,26805,0.17935826360759471,0.0
152,D008175,26804,0.13067450314090995,0.0
153,D008175,692085,0.18357548995225842,0.0
154,D008175,94161,0.4209254028181769,1.0
155,D008175,26802,0.2658394157953645,0.0
156,D008175,26801,0.17171400558227287,0.0
157,D008175,26800,0.152748695092011,0.0
158,D008175,692087,0.45592586714524597,1.0
159,D008175,26773,0.4501605732516554,1.0
160,D008175,26772,0.4479220880710601,1.0
161,D008175,692072,0.3678249182209116,1.0
162,D008175,26799,0.12373292254759921,0.0
163,D008175,692088,0.13665881574205407,0.0
164,D008175,26798,0.39360424539997046,1.0
165,D008175,26797,0.21483041301525696,0.0
166,D008175,26796,0.16735851904556218,0.0
167,D008175,26795,0.4398950580601543,1.0
168,D008175,26811,0.1751586368328598,0.0
169,D008175,26793,0.2108944012380095,0.0
170,D008175,26792,0.19632514531986156,0.0
171,D008175,26791,0.15565778181234768,0.0
172,D008175,26790,0.20971332177365282,0.0
173,D008175,100124516,0.19927721366135098,0.0
174,D008175,26789,0.21325794260444542,0.0
175,D008175,692090,0.39433638763142165,1.0
176,D008175,692075,0.15316976836405788,0.0
177,D008175,26788,0.4267759693210635,1.0
178,D008175,26787,0.1353691561690344,0.0
179,D008175,26786,0.20789330156649727,0.0
180,D008175,692093,0.21734410785856106,0.0
181,D008175,26785,0.39402854950980404,1.0
182,D008175,347686,0.1250576908785625,0.0
183,D008175,692106,0.18387926355349055,0.0
184,D008175,692107,0.5795942385648102,1.0
185,D008175,692108,0.23522629938957115,0.0
186,D008175,606500,0.10438058059444741,0.0
187,D008175,692109,0.09207951216157334,0.0
188,D008175,692076,0.15802868096411365,0.0
189,D008175,692110,0.19854182204747192,0.0
190,D008175,692111,0.1228615534866032,0.0
191,D008175,619564,0.4236902133313405,1.0
192,D008175,8944,0.40711944108891307,1.0
193,D008175,619498,0.18193566062193767,0.0
194,D008175,692195,0.47261477795972656,1.0
195,D008175,692196,0.5886672505010349,1.0
196,D008175,692197,0.40454278528621956,1.0
197,D008175,692198,0.5364661377435164,1.0
198,D008175,26770,0.35965805538001994,1.0
199,D008175,26774,0.14066256683856515,0.0
200,D008175,26769,0.2618051925130632,0.0
201,D008175,25826,0.32473550674602214,0.0
202,D008175,116937,0.1916769985242665,0.0
203,D008175,116938,0.18787543591814648,0.0
204,D008175,692199,0.185832953698713,0.0
205,D008175,641648,0.19323123785798008,0.0
206,D008175,692202,0.5077232300541183,1.0
207,D008175,692203,0.3491434836031787,1.0
208,D008175,692204,0.31775501805751355,0.0
209,D008175,692205,0.4902231701004839,1.0
210,D008175,692206,0.1470459977249976,0.0
211,D008175,692208,0.20982410062478463,0.0
212,D008175,692209,0.2311491725585063,0.0
213,D008175,692210,0.2148662547008387,0.0
214,D008175,692225,0.2170649229381599,0.0
215,D008175,619571,0.2505759096843796,0.0
216,D008175,692226,0.11658297070839457,0.0
217,D008175,692223,0.17054574450539672,0.0
218,D008175,692211,0.38222894771256977,1.0
219,D008175,692212,0.43205687489953326,1.0
220,D020786,654322,0.18124777779648404,0.0
221,D020786,692073,0.19225434969666821,0.0
222,D020786,677804,0.18432941512497059,0.0
223,D020786,677824,0.1461124836718785,0.0
224,D020786,677808,0.056377236361774385,0.0
225,D020786,677809,0.10324370373787534,0.0
226,D020786,677814,0.1687990564431962,0.0
227,D020786,594839,0.09240186116339298,0.0
228,D020786,677817,0.08853195006641609,0.0
229,D020786,619562,0.16570637255661008,0.0
230,D020786,677827,0.1819589359327189,0.0
231,D020786,677842,0.04875634384425476,0.0
232,D020786,677832,0.09270234676413003,0.0
233,D020786,677836,0.2492983524475624,0.0
234,D020786,677838,0.20698397175934344,0.0
235,D020786,26779,0.14628929070843422,0.0
236,D020786,100124538,0.06443820647059612,0.0
237,D020786,26775,0.08791179407908377,0.0
238,D020786,6080,0.12977438447720133,0.0
239,D020786,677823,0.08623671350868688,0.0
240,D020786,677847,0.12643238560127323,0.0
241,D020786,677798,0.12132852692546889,0.0
242,D020786,652966,0.06419140618823291,0.0
243,D020786,594837,0.14502777939927042,0.0
244,D020786,26771,0.3179718318790408,1.0
245,D020786,692234,0.13133473149849306,0.0
246,D020786,692235,0.13135548169223177,0.0
247,D020786,692200,0.06885546626628665,0.0
248,D020786,692227,0.10786131107621802,0.0
249,D020786,692229,0.21942339380328996,0.0
250,D020786,100113382,0.25789872181500556,1.0
251,D020786,692058,0.06686236021233785,0.0
252,D020786,692213,0.17453384871218516,1.0
253,D020786,692214,0.15378597057202872,0.0
254,D020786,692215,0.24682944461261647,0.0
255,D020786,767561,0.1265849084330613,0.0
256,D020786,767562,0.17615818995814175,0.0
257,D020786,767563,0.28645121904626814,1.0
258,D020786,767565,0.13974328712981998,0.0
259,D020786,767566,0.2685874799257562,1.0
260,D020786,767567,0.24464985493736635,1.0
261,D020786,767568,0.38306021897391235,1.0
262,D020786,767569,0.2698184083190259,1.0
263,D020786,767577,0.2822304056780123,1.0
264,D020786,767588,0.13944769729312673,0.0
265,D020786,767589,0.1450545479442119,0.0
266,D020786,767590,0.2890345435478675,1.0
267,D020786,767591,0.11159590434221296,0.0
268,D020786,767592,0.12690675621835107,0.0
269,D020786,767593,0.19057428506102023,0.0
270,D020786,767595,0.11944518739495741,0.0
271,D020786,767578,0.1645108467107298,0.0
272,D020786,767598,0.19425906384175431,0.0
273,D020786,767599,0.19057428506102206,0.0
274,D020786,767600,0.30979292107536255,1.0
275,D020786,767603,0.29793408186629977,1.0
276,D020786,767605,0.162094871111587,0.0
277,D020786,767606,0.28269862226069875,1.0
278,D020786,767609,0.16209487111158716,0.0
279,D020786,767610,0.18445586993439758,0.0
280,D020786,767579,0.10502233677780037,0.0
281,D020786,767581,0.1703493774160905,0.0
282,D020786,767585,0.20142018204921336,0.0
283,D020786,338433,0.4904993194568859,0.0
284,D020786,100033447,0.5802670008821414,1.0
285,D020786,100033450,0.4974338383595589,0.0
286,D020786,100033453,0.5802670008821447,1.0
287,D020786,100033454,0.5805702711786032,1.0
288,D020786,100033603,0.5802670008821447,1.0
289,D020786,100033800,0.5337821445471074,1.0
290,D020786,100033805,0.372645152640215,0.0
291,D020786,100033806,0.5438574284072333,1.0
292,D020786,100033807,0.5089141195383389,1.0
293,D020786,100033814,0.5805702711786029,1.0
294,D020786,100033816,0.5805702711786036,1.0
295,D020786,100033445,0.5438574284072301,1.0
296,D020786,100033413,0.3318947952549768,0.0
297,D020786,100033427,0.396217558626232,1.0
298,D020786,100033428,0.32250785380626384,0.0
299,D020786,100033414,0.2630759963571335,0.0
300,D020786,100033431,0.31770451598768434,0.0
301,D020786,100033432,0.418819948124984,1.0
302,D020786,100033435,0.4309166961069779,1.0
303,D020786,100033436,0.24053836111342802,0.0
304,D020786,100033821,0.3949000235324366,1.0
305,D020786,100033415,0.3180746176380053,0.0
306,D020786,692233,0.0708629826021196,0.0
307,D020786,727676,0.09890156158539423,0.0
308,D020786,100113378,0.10794182450856066,0.0
309,D020786,100113392,0.06298964294758483,0.0
310,D020786,692057,0.011716843736675071,0.0
311,D020786,100113379,0.16677952895844983,0.0
312,D020786,101340252,0.14349306997414055,0.0
313,D020786,100113384,0.195667038336095,0.0
314,D020786,101340251,0.16502893625858192,0.0
315,D020786,100113380,0.10022962509556527,0.0
316,D020786,100113391,0.06373047764085746,0.0
317,D020786,100113389,0.16663647020908254,0.0
318,D020786,100113393,0.0022469003840962856,0.0
319,D020786,26765,0.006051333601867288,0.0
320,D020786,692084,0.12202557768903666,0.0
321,D020786,26822,0.007157672582943345,0.0
322,D020786,85388,0.06305935858450129,0.0
323,D020786,85389,0.1170002142636426,0.0
324,D020786,85390,0.1395919896559525,0.0
325,D020786,85391,0.0945389260195018,0.0
326,D020786,6079,0.3174595432258086,1.0
327,D020786,114599,0.08812622052425337,0.0
328,D020786,595097,0.08826565094868202,0.0
329,D020786,595098,0.10511008598301963,0.0
330,D020786,595099,0.199882768526063,0.0
331,D020786,595100,0.1566285965349718,0.0
332,D020786,692089,0.20957357151749384,0.0
333,D020786,100113381,0.1975985732009645,0.0
334,D020786,677848,0.2167652144746497,0.0
335,D020786,677849,0.14953940754531875,0.0
336,D020786,677850,0.19034259233076373,0.0
337,D020786,619567,0.1366121864715592,0.0
338,D020786,6082,0.1268979404495042,0.0
339,D020786,6083,0.020290215752107345,0.0
340,D020786,9304,0.19281249782239812,0.0
341,D020786,692091,0.018031621565171428,0.0
342,D020786,26820,0.18780306430100638,0.0
343,D020786,9303,0.1584794277397411,0.0
344,D020786,9302,0.20197274593138276,0.0
345,D020786,9301,0.196456004601678,0.0
346,D020786,9300,0.19628007352836357,0.0
347,D020786,9299,0.09781724709483447,0.0
348,D020786,9298,0.047230108318118476,0.0
349,D020786,26819,0.22821588456406156,1.0
350,D020786,26818,0.13103615713227668,0.0
351,D020786,26817,0.08473677947267011,0.0
352,D020786,26816,0.015860770956831367,0.0
353,D020786,84546,0.10393951874616157,0.0
354,D020786,26815,0.12199512236000579,0.0
355,D020786,26814,0.3672556896573743,1.0
356,D020786,26813,0.161488251452835,0.0
357,D020786,26812,0.279886064010735,1.0
358,D020786,94162,0.23618696270906225,0.0
359,D020786,94163,0.24762472103724706,0.0
360,D020786,780851,0.25933192375415004,0.0
361,D020786,26851,0.29084317756503186,0.0
362,D020786,780852,0.2908431775650307,0.0
363,D020786,780853,0.2992721373188437,0.0
