,Disease,RNA,Relation,True_y
3080,D010051,654322,0.020574835152019723,0.0
3081,D010051,692073,0.02340372023394191,0.0
3082,D010051,677804,0.01756245230641636,0.0
3083,D010051,677824,0.023373044435470745,0.0
3084,D010051,677808,0.01692881744828475,0.0
3085,D010051,677809,0.021922420931228332,0.0
3086,D010051,677814,0.023865184543218947,0.0
3087,D010051,594839,0.022758537614065072,0.0
3088,D010051,677817,0.021775617916259433,0.0
3089,D010051,619562,0.018120551569875208,0.0
3090,D010051,677827,0.02151601523935132,0.0
3091,D010051,677842,0.010563927918895854,0.0
3092,D010051,677832,0.021586470582320536,0.0
3093,D010051,677836,0.02490787565294218,0.0
3094,D010051,677838,0.023516289132017476,0.0
3095,D010051,26779,0.024228346074023258,0.0
3096,D010051,100124538,0.01807741007257406,0.0
3097,D010051,26775,0.014904288222081237,0.0
3098,D010051,6080,0.023118967107184883,0.0
3099,D010051,677823,0.0175860334755283,0.0
3100,D010051,677847,0.024399054258916888,0.0
3101,D010051,677798,0.023586618630401984,0.0
3102,D010051,652966,0.020069215508251213,0.0
3103,D010051,594837,0.016396415332190915,0.0
3104,D010051,26771,0.02033737161292909,0.0
3105,D010051,692234,0.02234673491036831,0.0
3106,D010051,692235,0.022013718856584288,0.0
3107,D010051,692200,0.017140698348097647,0.0
3108,D010051,692227,0.01495629302649553,0.0
3109,D010051,692229,0.021253186116983794,0.0
3110,D010051,100113382,0.01659849175733406,0.0
3111,D010051,692058,0.013291230375562683,0.0
3112,D010051,692213,0.01027291622052999,0.0
3113,D010051,692214,0.01795526767564139,0.0
3114,D010051,692215,0.024735009459131402,0.0
3115,D010051,767561,0.01116182253015698,0.0
3116,D010051,767562,0.018339496862635477,0.0
3117,D010051,767563,0.013744274342792285,0.0
3118,D010051,767565,0.013526311029632344,0.0
3119,D010051,767566,0.01701614803862616,0.0
3120,D010051,767567,0.010369862399387475,0.0
3121,D010051,767568,0.02265619937083058,0.0
3122,D010051,767569,0.009462132586509039,0.0
3123,D010051,767577,0.01400663900443002,0.0
3124,D010051,767588,0.013031679926070738,1.0
3125,D010051,767589,0.014589310106656022,1.0
3126,D010051,767590,0.017519923257895673,0.0
3127,D010051,767591,0.01542449222299027,0.0
3128,D010051,767592,0.016176487400269127,0.0
3129,D010051,767593,0.013993426838642308,0.0
3130,D010051,767595,0.01772052705737022,0.0
3131,D010051,767578,0.01633119616206858,1.0
3132,D010051,767598,0.011716244889578308,0.0
3133,D010051,767599,0.013993426838640417,0.0
3134,D010051,767600,0.010973041561983622,0.0
3135,D010051,767603,0.014310480279159866,0.0
3136,D010051,767605,0.011178956776859534,0.0
3137,D010051,767606,0.014237790955257297,0.0
3138,D010051,767609,0.011178956776859188,0.0
3139,D010051,767610,0.012561917030860695,0.0
3140,D010051,767579,0.014356721498359993,0.0
3141,D010051,767581,0.015068081429538575,0.0
3142,D010051,767585,0.010924411497680926,0.0
3143,D010051,338433,0.026203000315462716,0.0
3144,D010051,100033447,0.025671080427276956,0.0
3145,D010051,100033450,0.025874146945376583,0.0
3146,D010051,100033453,0.02567108042727722,0.0
3147,D010051,100033454,0.025696743190507763,0.0
3148,D010051,100033603,0.025671080427277445,0.0
3149,D010051,100033800,0.024233402912106433,0.0
3150,D010051,100033805,0.026049613620210757,0.0
3151,D010051,100033806,0.02448843848657859,0.0
3152,D010051,100033807,0.023922011595552746,0.0
3153,D010051,100033814,0.025696743190507892,0.0
3154,D010051,100033816,0.025696743190509172,0.0
3155,D010051,100033445,0.02448843848657923,0.0
3156,D010051,100033413,0.02370068517676409,0.0
3157,D010051,100033427,0.02306863758747256,0.0
3158,D010051,100033428,0.023403316750156732,0.0
3159,D010051,100033414,0.018693958324843572,0.0
3160,D010051,100033431,0.023516686599309923,0.0
3161,D010051,100033432,0.02420951660308094,0.0
3162,D010051,100033435,0.02399725031317313,0.0
3163,D010051,100033436,0.021073124116161933,0.0
3164,D010051,100033821,0.023224373843295062,0.0
3165,D010051,100033415,0.023021926026505983,0.0
3166,D010051,692233,0.01766335684370178,0.0
3167,D010051,727676,0.018248419210936378,0.0
3168,D010051,100113378,0.014538092798218168,0.0
3169,D010051,100113392,0.010106612510279927,0.0
3170,D010051,692057,0.012131085592725292,0.0
3171,D010051,100113379,0.02441341200640567,0.0
3172,D010051,101340252,0.020760209988241504,0.0
3173,D010051,100113384,0.017894881358357824,0.0
3174,D010051,101340251,0.022224091703036148,0.0
3175,D010051,100113380,0.016397493376636197,0.0
3176,D010051,100113391,0.018582108994385164,0.0
3177,D010051,100113389,0.02077851393066008,0.0
3178,D010051,100113393,0.01208241230407476,0.0
3179,D010051,26765,0.009685047819140369,0.0
3180,D010051,692084,0.014710097176612424,0.0
3181,D010051,26822,0.014807710399382721,0.0
3182,D010051,85388,0.017670403730474397,0.0
3183,D010051,85389,0.017745384333315073,0.0
3184,D010051,85390,0.020828488661823148,0.0
3185,D010051,85391,0.01791606301385771,0.0
3186,D010051,6079,0.022496628484504164,0.0
3187,D010051,114599,0.017656659497951144,0.0
3188,D010051,595097,0.018910493841346916,0.0
3189,D010051,595098,0.01134251036426669,0.0
3190,D010051,595099,0.02044195604631073,0.0
3191,D010051,595100,0.01834317365542372,0.0
3192,D010051,692089,0.02257729675673599,0.0
3193,D010051,100113381,0.022890310406609743,0.0
3194,D010051,677848,0.01982698157776427,0.0
3195,D010051,677849,0.018389538115789222,0.0
3196,D010051,677850,0.01600624136258496,0.0
3197,D010051,619567,0.019489068014251702,0.0
3198,D010051,6082,0.017120106192711256,0.0
3199,D010051,6083,0.012862872053792274,0.0
3200,D010051,9304,0.02431782061688403,0.0
3201,D010051,692091,0.009824114339737393,0.0
3202,D010051,26820,0.02166461536468805,0.0
3203,D010051,9303,0.015513482768570942,0.0
3204,D010051,9302,0.02061613524520425,0.0
3205,D010051,9301,0.020159324698851063,0.0
3206,D010051,9300,0.018931557058947494,0.0
3207,D010051,9299,0.011247748927836709,0.0
3208,D010051,9298,0.012649982867650594,0.0
3209,D010051,26819,0.01566533868140596,0.0
3210,D010051,26818,0.016737802354114206,0.0
3211,D010051,26817,0.015100991958359674,0.0
3212,D010051,26816,0.014712186385453956,0.0
3213,D010051,84546,0.01902102546958379,0.0
3214,D010051,26815,0.011897643691413641,0.0
3215,D010051,26814,0.02055158129157352,0.0
