,Disease,RNA,Relation,True_y
0,D008175,654322,-0.07687980641891048,0.0
1,D008175,692073,-0.06724073759219396,0.0
2,D008175,677804,0.02215620203697815,0.0
3,D008175,677824,0.11186161446586002,0.0
4,D008175,677808,0.14115819549126896,0.0
5,D008175,677809,-0.02191915659055317,0.0
6,D008175,677814,0.0276791998273378,0.0
7,D008175,594839,-0.009735903663598982,0.0
8,D008175,677817,-0.07252903892060732,0.0
9,D008175,619562,0.02268071869062388,0.0
10,D008175,677827,0.00014927412778436783,0.0
11,D008175,677842,0.013622915653909605,0.0
12,D008175,677832,0.0010713905919377412,0.0
13,D008175,677836,-0.10748964779210432,0.0
14,D008175,677838,0.00019301276356509516,0.0
15,D008175,26779,-0.08355087186109168,0.0
16,D008175,100124538,0.041865315746228524,0.0
17,D008175,26775,-0.027096950256478125,0.0
18,D008175,6080,-0.0032326277833739396,0.0
19,D008175,677823,0.024118246160489548,0.0
20,D008175,677847,-0.024891991444343606,0.0
21,D008175,677798,-0.017537630583646525,0.0
22,D008175,652966,-0.018083283072046628,1.0
23,D008175,594837,-0.05632069537090514,0.0
24,D008175,26771,-0.06354278099351365,0.0
25,D008175,692234,0.12100948684495566,1.0
26,D008175,692235,0.12590268982994401,1.0
27,D008175,692200,0.0595636987350034,0.0
28,D008175,692227,-0.042045520659067234,1.0
29,D008175,692229,0.048974913401217,0.0
30,D008175,100113382,0.07435579361748068,1.0
31,D008175,692058,0.0647065852663709,0.0
32,D008175,692213,-0.05419552840275147,0.0
33,D008175,692214,-0.05574156386817912,0.0
34,D008175,692215,0.08631367614071735,1.0
35,D008175,767561,-0.0671041495818458,0.0
36,D008175,767562,-0.04147536361175409,0.0
37,D008175,767563,-0.011300597100056101,1.0
38,D008175,767565,0.06286083314597654,0.0
39,D008175,767566,0.006093557040755677,0.0
40,D008175,767567,-0.014095632285476355,1.0
41,D008175,767568,-0.0066526948324664575,1.0
42,D008175,767569,-0.05705522051079644,1.0
43,D008175,767577,0.08895656297634505,1.0
44,D008175,767588,0.0014451077910093558,0.0
45,D008175,767589,0.13126126757158726,0.0
46,D008175,767590,0.07440707890663936,1.0
47,D008175,767591,0.21578202799958354,0.0
48,D008175,767592,0.08913715961487448,0.0
49,D008175,767593,0.16423978519371818,1.0
50,D008175,767595,0.04630716644001251,1.0
51,D008175,767578,0.05143895339421464,0.0
52,D008175,767598,0.04305722415330834,0.0
53,D008175,767599,0.16423978519371818,1.0
54,D008175,767600,0.03666183325997885,0.0
55,D008175,767603,0.052334127485077944,0.0
56,D008175,767605,0.05267612102788084,0.0
57,D008175,767606,0.062059868545348146,0.0
58,D008175,767609,0.05267612102788084,0.0
59,D008175,767610,0.020122323150219574,0.0
60,D008175,767579,0.09579938840504967,1.0
61,D008175,767581,0.2095499959042352,0.0
62,D008175,767585,0.039250922375119054,0.0
63,D008175,338433,0.06925017973140454,1.0
64,D008175,100033447,0.04415999165911701,0.0
65,D008175,100033450,0.047699874497269666,0.0
66,D008175,100033453,0.04415999165911701,0.0
67,D008175,100033454,0.04340437838031197,0.0
68,D008175,100033603,0.04415999165911701,0.0
69,D008175,100033800,0.062369130601062084,0.0
70,D008175,100033805,0.05914960395586023,0.0
71,D008175,100033806,0.049850780193486516,0.0
72,D008175,100033807,0.017055779813915956,0.0
73,D008175,100033814,0.04340437838031197,0.0
74,D008175,100033816,0.04340437838031197,0.0
75,D008175,100033445,0.049850780193486516,0.0
76,D008175,100033413,0.0035830986467132444,0.0
77,D008175,100033427,-0.08757032281295124,0.0
78,D008175,100033428,-0.06857028419244368,0.0
79,D008175,100033414,-0.047061065196612586,0.0
80,D008175,100033431,-0.062225273386442646,0.0
81,D008175,100033432,6.962747739408182e-05,0.0
82,D008175,100033435,-0.0598037120743154,0.0
83,D008175,100033436,0.046267165602320116,0.0
84,D008175,100033821,-0.03327382475631177,0.0
85,D008175,100033415,0.0018938561894657538,0.0
86,D008175,692233,0.029948432654671456,0.0
87,D008175,727676,0.02552421079587456,0.0
88,D008175,100113378,-0.03691315695402611,0.0
89,D008175,100113392,-0.01288620984754383,1.0
90,D008175,692057,-0.018327255859417572,0.0
91,D008175,100113379,-0.04442507628585311,1.0
92,D008175,101340252,-0.04547030888787985,0.0
93,D008175,100113384,-0.009600448241278476,0.0
94,D008175,101340251,0.07432830283020798,0.0
95,D008175,100113380,-0.018804693971912034,0.0
96,D008175,100113391,0.0125052126476605,0.0
97,D008175,100113389,-0.06658497063609657,0.0
98,D008175,100113393,-0.021212256865105965,0.0
99,D008175,26765,-0.00672183576728809,0.0
100,D008175,692084,0.08590613106488355,1.0
101,D008175,26822,0.04256608467779904,0.0
102,D008175,85388,0.0030496360750666748,0.0
103,D008175,85389,-0.030930468592214634,0.0
104,D008175,85390,0.02606327196660018,1.0
105,D008175,85391,0.01664252426098891,0.0
106,D008175,6079,0.03732872301176733,0.0
107,D008175,114599,0.12544424553472242,0.0
108,D008175,595097,-0.008943246443781885,1.0
109,D008175,595098,0.19036832253024213,0.0
110,D008175,595099,0.05835083000583448,1.0
111,D008175,595100,0.10502376003992714,0.0
112,D008175,692089,-0.03960582425307385,0.0
113,D008175,100113381,-0.1149828004812203,1.0
114,D008175,677848,-0.009705085213074567,0.0
115,D008175,677849,0.028095687653424264,0.0
116,D008175,677850,0.019973971389537416,1.0
117,D008175,619567,0.0005943694414161584,0.0
118,D008175,6082,-0.03767003354366254,0.0
119,D008175,6083,-0.05005342973326164,0.0
120,D008175,9304,0.14246677589493129,0.0
121,D008175,692091,0.049669827659966144,0.0
122,D008175,26820,-0.001344923050642498,0.0
123,D008175,9303,0.09643950132188225,1.0
124,D008175,9302,0.020441563837286673,0.0
125,D008175,9301,0.10476990024237252,1.0
126,D008175,9300,-0.11231702022955067,1.0
127,D008175,9299,-0.015524038851541975,1.0
128,D008175,9298,-0.021261849250746298,0.0
129,D008175,26819,0.025619004238572454,0.0
130,D008175,26818,0.5762832485507601,1.0
131,D008175,26817,-0.0922901544922711,0.0
132,D008175,26816,0.011365467283054204,0.0
133,D008175,84546,0.070105002947499,0.0
134,D008175,26815,-0.023424370645163783,1.0
135,D008175,26814,-0.06764160405275813,0.0
136,D008175,26813,-0.025266926048660307,0.0
137,D008175,26812,-0.0012527299461827521,1.0
138,D008175,94162,0.01126496384716702,0.0
139,D008175,94163,-0.05529450379090019,1.0
140,D008175,780851,0.032840687203118474,0.0
141,D008175,26851,-0.02815271944605384,0.0
142,D008175,780852,-0.02815271944605384,0.0
143,D008175,780853,0.007794808956736527,0.0
144,D008175,780854,-0.015154757773862822,1.0
145,D008175,26843,-0.03345374852780383,0.0
146,D008175,26810,0.07571958002849802,0.0
147,D008175,26809,0.07714567741019882,0.0
148,D008175,26808,0.10141368695245134,0.0
149,D008175,26807,0.09793397847240741,0.0
150,D008175,26806,0.07749602721628526,0.0
151,D008175,26805,0.07755184299447719,0.0
152,D008175,26804,0.045996885242975974,0.0
153,D008175,692085,0.03649941534572178,0.0
154,D008175,94161,0.02981776541931129,1.0
155,D008175,26802,-0.08841672291447318,0.0
156,D008175,26801,0.006733163362675678,0.0
157,D008175,26800,0.04584298118206052,0.0
158,D008175,692087,0.1020623871775849,1.0
159,D008175,26773,0.021430118050375063,1.0
160,D008175,26772,-0.02388618733316828,1.0
161,D008175,692072,-0.0440509344128853,1.0
162,D008175,26799,0.025364433353542243,0.0
163,D008175,692088,-0.034743923106310505,0.0
164,D008175,26798,-0.025423457456480347,1.0
165,D008175,26797,0.0028283822183297587,0.0
166,D008175,26796,-0.03344832723954673,0.0
167,D008175,26795,0.04190974064227486,1.0
168,D008175,26811,-0.0089589045333854,0.0
169,D008175,26793,0.07137741634993319,0.0
170,D008175,26792,-0.022603329653309176,0.0
171,D008175,26791,-0.09089602863740479,0.0
172,D008175,26790,-0.08143312896091237,0.0
173,D008175,100124516,-0.06654478782675945,0.0
174,D008175,26789,0.1611414297404582,0.0
175,D008175,692090,0.05034796688721406,1.0
176,D008175,692075,0.03960148457326128,0.0
177,D008175,26788,-0.09190720576804398,1.0
178,D008175,26787,0.0271611753370671,0.0
179,D008175,26786,0.019664542812857087,0.0
180,D008175,692093,0.023715952121340818,0.0
181,D008175,26785,0.021389866543017416,1.0
182,D008175,347686,-0.007240405083842419,0.0
183,D008175,692106,-0.06657185419641048,0.0
184,D008175,692107,0.3431900937475224,1.0
185,D008175,692108,0.09927479222622013,0.0
186,D008175,606500,0.06684097374326531,0.0
187,D008175,692109,-0.08906627889931903,0.0
188,D008175,692076,0.02375862020165486,0.0
189,D008175,692110,0.12118572000421327,0.0
190,D008175,692111,0.04739701345425159,0.0
191,D008175,619564,-0.07043896445028872,1.0
192,D008175,8944,-0.010036062958799842,1.0
193,D008175,619498,-0.004747203642525995,0.0
194,D008175,692195,0.02910959677061692,1.0
195,D008175,692196,0.2657958294252163,1.0
196,D008175,692197,-0.07456417811098358,1.0
197,D008175,692198,0.28906113247729337,1.0
198,D008175,26770,-0.06385545419861996,1.0
199,D008175,26774,-0.0676303426566359,0.0
200,D008175,26769,-0.009440558654274058,0.0
201,D008175,25826,0.062051179198607136,0.0
202,D008175,116937,0.08436146163833519,0.0
203,D008175,116938,0.11985273089253665,0.0
204,D008175,692199,-0.04341680318651624,0.0
205,D008175,641648,-0.014916083452809049,0.0
206,D008175,692202,0.08932041651731795,1.0
207,D008175,692203,0.06261912446867388,1.0
208,D008175,692204,0.058729357034549776,0.0
209,D008175,692205,0.10381449745485147,1.0
210,D008175,692206,-0.08983623374183375,0.0
211,D008175,692208,-0.07136421884846367,0.0
212,D008175,692209,-0.03913692919235795,0.0
213,D008175,692210,0.15621185377811367,0.0
214,D008175,692225,0.04331229900781541,0.0
215,D008175,619571,0.04189215055328224,0.0
216,D008175,692226,0.02519604755492853,0.0
217,D008175,692223,-0.01770461950108875,0.0
218,D008175,692211,0.11565431001183485,1.0
219,D008175,692212,0.024424896478167812,1.0
