,Disease,RNA,Relation,True_y
1320,D014901,654322,0.0010066063552895388,1.0
1321,D014901,692073,0.0010792107558636771,0.0
1322,D014901,677804,0.0009534618712324889,1.0
1323,D014901,677824,0.0009573457724653923,0.0
1324,D014901,677808,0.0005720854085335394,1.0
1325,D014901,677809,0.0007443214699236053,0.0
1326,D014901,677814,0.0010701676356144115,1.0
1327,D014901,594839,0.0008883067761560596,1.0
1328,D014901,677817,0.0008820211261076297,1.0
1329,D014901,619562,0.0009432497483925006,1.0
1330,D014901,677827,0.0009741825017313454,1.0
1331,D014901,677842,0.00034132537689038865,1.0
1332,D014901,677832,0.0008751856175572307,1.0
1333,D014901,677836,0.0013233091839843965,0.0
1334,D014901,677838,0.001107922975434157,1.0
1335,D014901,26779,0.001039999937427134,1.0
1336,D014901,100124538,0.0005833371340044089,0.0
1337,D014901,26775,0.0005535268771852637,1.0
1338,D014901,6080,0.0008618942425664733,0.0
1339,D014901,677823,0.0005889095104136899,1.0
1340,D014901,677847,0.001004299701379163,1.0
1341,D014901,677798,0.0009368393018949219,1.0
1342,D014901,652966,0.0006515959727009257,1.0
1343,D014901,594837,0.000670198737432598,0.0
1344,D014901,26771,0.0009671678877134343,0.0
1345,D014901,692234,0.0008777442585439088,0.0
1346,D014901,692235,0.0009006282940298023,0.0
1347,D014901,692200,0.000624127100836676,1.0
1348,D014901,692227,0.000467624886585855,0.0
1349,D014901,692229,0.0010434137952403488,0.0
1350,D014901,100113382,0.0006526779087477126,0.0
1351,D014901,692058,0.0004810778742519682,1.0
1352,D014901,692213,0.0002888193811183196,0.0
1353,D014901,692214,0.0008181062201189534,0.0
1354,D014901,692215,0.001139174123126428,0.0
1355,D014901,767561,0.00045900744393901835,0.0
1356,D014901,767562,0.0008467097183258267,0.0
1357,D014901,767563,0.0005489930709230215,0.0
1358,D014901,767565,0.0006281643156431409,0.0
1359,D014901,767566,0.0006707809857122939,0.0
1360,D014901,767567,0.00039661950116899413,0.0
1361,D014901,767568,0.0011420318934770375,0.0
1362,D014901,767569,0.0004496946027466098,0.0
1363,D014901,767577,0.000560167585926895,0.0
1364,D014901,767588,0.0006477901419534057,0.0
1365,D014901,767589,0.000636137394920412,0.0
1366,D014901,767590,0.0007146992954659122,1.0
1367,D014901,767591,0.0006098936113213693,0.0
1368,D014901,767592,0.0006560926190371092,1.0
1369,D014901,767593,0.0006261603317081344,0.0
1370,D014901,767595,0.0005959099241087414,0.0
1371,D014901,767578,0.0007407022390955549,0.0
1372,D014901,767598,0.0005978552225013214,0.0
1373,D014901,767599,0.0006261603317035319,0.0
1374,D014901,767600,0.0006099633839106158,0.0
1375,D014901,767603,0.000688863799425248,0.0
1376,D014901,767605,0.0006004896827288481,0.0
1377,D014901,767606,0.000640866534082199,0.0
1378,D014901,767609,0.0006004896827289445,0.0
1379,D014901,767610,0.0005996000102878893,0.0
1380,D014901,767579,0.0004902434397771214,0.0
1381,D014901,767581,0.0007271946200876071,0.0
1382,D014901,767585,0.0005911964601576023,0.0
1383,D014901,338433,0.001937209464110745,0.0
1384,D014901,100033447,0.001950090438990971,0.0
1385,D014901,100033450,0.0019278379717591445,0.0
1386,D014901,100033453,0.001950090438991217,0.0
1387,D014901,100033454,0.0019511785581836812,0.0
1388,D014901,100033603,0.0019500904389897077,0.0
1389,D014901,100033800,0.0017514998275676612,0.0
1390,D014901,100033805,0.0016332034608187575,0.0
1391,D014901,100033806,0.0018559360280372866,0.0
1392,D014901,100033807,0.0016845942692008012,0.0
1393,D014901,100033814,0.0019511785581845578,0.0
1394,D014901,100033816,0.0019511785581826208,0.0
1395,D014901,100033445,0.0018559360280387756,0.0
1396,D014901,100033413,0.0014145551501511364,0.0
1397,D014901,100033427,0.001255549486224911,0.0
1398,D014901,100033428,0.0012982941690724908,0.0
1399,D014901,100033414,0.001114855817174386,0.0
1400,D014901,100033431,0.0013003845402841602,0.0
1401,D014901,100033432,0.001325642069744266,0.0
1402,D014901,100033435,0.0013436414076888488,0.0
1403,D014901,100033436,0.000988165269442297,0.0
1404,D014901,100033821,0.0013331654101067713,0.0
1405,D014901,100033415,0.0013544624592983592,0.0
1406,D014901,692233,0.0005239094606791516,0.0
1407,D014901,727676,0.0007833228420650632,0.0
1408,D014901,100113378,0.0006474031211070811,0.0
1409,D014901,100113392,0.0002994994102163233,0.0
1410,D014901,692057,0.0002596587472802148,0.0
1411,D014901,100113379,0.0009754217611682632,0.0
1412,D014901,101340252,0.0008033046916488107,0.0
1413,D014901,100113384,0.000962535618731934,0.0
1414,D014901,101340251,0.0010334617022125458,0.0
1415,D014901,100113380,0.0005729092586526375,0.0
1416,D014901,100113391,0.0005530356989515218,0.0
1417,D014901,100113389,0.000890498758661119,0.0
1418,D014901,100113393,0.0002853328396076654,0.0
1419,D014901,26765,0.00021537504302119584,0.0
1420,D014901,692084,0.0005206894049034943,0.0
1421,D014901,26822,0.00043385489926847263,1.0
1422,D014901,85388,0.00061126027133483,1.0
1423,D014901,85389,0.0006478288636742314,0.0
1424,D014901,85390,0.000788758505626318,0.0
1425,D014901,85391,0.000677219133107751,0.0
1426,D014901,6079,0.0011755621771349406,1.0
1427,D014901,114599,0.0007512307001085796,0.0
1428,D014901,595097,0.0006561006415248987,1.0
1429,D014901,595098,0.0004750998153135945,0.0
1430,D014901,595099,0.0009684629231200893,0.0
1431,D014901,595100,0.0008186499185090108,0.0
1432,D014901,692089,0.0009759241693754855,0.0
1433,D014901,100113381,0.0010807976235428255,0.0
1434,D014901,677848,0.0009736130188101175,0.0
1435,D014901,677849,0.0008162104054374108,0.0
1436,D014901,677850,0.0007899709370586695,1.0
1437,D014901,619567,0.0009113952848405955,0.0
1438,D014901,6082,0.0008319883682979506,0.0
1439,D014901,6083,0.00031539130253335453,0.0
1440,D014901,9304,0.0011924157400812522,0.0
1441,D014901,692091,0.0002527926473651717,1.0
1442,D014901,26820,0.001051492004044187,0.0
1443,D014901,9303,0.000703916930946928,0.0
1444,D014901,9302,0.0011172852844121026,0.0
1445,D014901,9301,0.0009568205261879573,0.0
1446,D014901,9300,0.0008825911679597438,0.0
1447,D014901,9299,0.00046701091675794616,0.0
1448,D014901,9298,0.0003601874652789408,0.0
1449,D014901,26819,0.0006012272791998887,0.0
1450,D014901,26818,0.0006824646593618876,0.0
1451,D014901,26817,0.0004933951007581746,0.0
1452,D014901,26816,0.0003739591022786831,1.0
1453,D014901,84546,0.0007909355195633133,0.0
1454,D014901,26815,0.0003658856020077147,0.0
1455,D014901,26814,0.0011669786965978102,0.0
1456,D014901,26813,0.0007813789884427397,0.0
1457,D014901,26812,0.0009254426169513942,0.0
1458,D014901,94162,0.0011878636230178417,0.0
1459,D014901,94163,0.001234849652196569,0.0
1460,D014901,780851,0.00154616979863256,1.0
1461,D014901,26851,0.0015066710616845808,0.0
1462,D014901,780852,0.0015066710616840821,0.0
1463,D014901,780853,0.0015335704388987309,0.0
1464,D014901,780854,0.001494496493220406,0.0
1465,D014901,26843,0.001135760972914224,0.0
1466,D014901,26810,0.000525014564181479,0.0
1467,D014901,26809,0.0011645998176403752,0.0
1468,D014901,26808,0.0009559419166502918,0.0
1469,D014901,26807,0.0005073834781753807,0.0
1470,D014901,26806,0.0005944854524994698,0.0
1471,D014901,26805,0.0004767866949466695,0.0
1472,D014901,26804,0.0005136248057099978,0.0
1473,D014901,692085,0.0004881591286562733,0.0
1474,D014901,94161,0.0009404330983417854,0.0
1475,D014901,26802,0.0007767125788392237,0.0
1476,D014901,26801,0.00024011501857990628,0.0
1477,D014901,26800,0.0007017291914134716,0.0
1478,D014901,692087,0.0005077931235897384,0.0
1479,D014901,26773,0.0005540435808688981,0.0
1480,D014901,26772,0.00039062623737529925,0.0
1481,D014901,692072,0.0006627338989594728,0.0
1482,D014901,26799,0.0008945323391202685,0.0
1483,D014901,692088,0.0011122683423291425,0.0
1484,D014901,26798,0.0004354635226573256,0.0
1485,D014901,26797,0.0007526809968422442,0.0
1486,D014901,26796,0.0005053515213828976,0.0
1487,D014901,26795,0.0005788999867683046,0.0
1488,D014901,26811,0.0006332997897891999,0.0
1489,D014901,26793,0.0005011767056832486,0.0
1490,D014901,26792,0.0010517161452186364,0.0
1491,D014901,26791,0.0006269685088489942,0.0
1492,D014901,26790,0.0007369783783873871,0.0
1493,D014901,100124516,0.0009847734606590296,0.0
1494,D014901,26789,0.000917336480524587,0.0
1495,D014901,692090,0.0006418733941071474,0.0
1496,D014901,692075,0.0007976269552437046,0.0
1497,D014901,26788,0.0008656599389669118,0.0
1498,D014901,26787,0.0005447275082675433,0.0
1499,D014901,26786,0.0010244235095064006,1.0
1500,D014901,692093,0.0010484315916088726,0.0
1501,D014901,26785,0.0009747900237296314,0.0
1502,D014901,347686,0.0005154122920486195,0.0
1503,D014901,692106,0.0008513525353898283,0.0
1504,D014901,692107,0.0007838081099384374,0.0
1505,D014901,692108,0.0006286233947927467,0.0
1506,D014901,606500,0.0006847140041252289,0.0
1507,D014901,692109,0.0005710378990694432,0.0
1508,D014901,692076,0.00043638682098709664,1.0
1509,D014901,692110,0.0005768611644844184,0.0
1510,D014901,692111,0.0006060143052020069,1.0
1511,D014901,619564,0.0009326212638618038,0.0
1512,D014901,8944,0.000846198202344054,0.0
1513,D014901,619498,0.0004472519179814681,0.0
1514,D014901,692195,0.0009603697555335653,0.0
1515,D014901,692196,0.0007439538702201693,0.0
1516,D014901,692197,0.0007227438516673836,0.0
1517,D014901,692198,0.0007915295746705417,0.0
1518,D014901,26770,0.001182374331958301,1.0
1519,D014901,26774,0.00037063072114488203,0.0
1520,D014901,26769,0.0007064502250932335,0.0
1521,D014901,25826,0.0006598264175905458,0.0
1522,D014901,116937,0.0008205898889944482,0.0
1523,D014901,116938,0.0008575717813257838,0.0
1524,D014901,692199,0.00030637774248568343,0.0
1525,D014901,641648,0.0009254430066435162,0.0
1526,D014901,692202,0.00037245523661059055,0.0
1527,D014901,692203,0.0004207641028591537,0.0
1528,D014901,692204,0.0003900827872825074,0.0
1529,D014901,692205,0.0011999985229445118,0.0
1530,D014901,692206,0.0011124535005723143,1.0
1531,D014901,692208,0.0011339952312304112,0.0
1532,D014901,692209,0.0009161096059418297,0.0
1533,D014901,692210,0.0008439179199892081,0.0
1534,D014901,692225,0.00041838419571999766,0.0
1535,D014901,619571,0.0005648786321247267,0.0
1536,D014901,692226,0.0005236621700660186,0.0
1537,D014901,692223,0.0011262187519259427,1.0
1538,D014901,692211,0.000676402431262161,0.0
1539,D014901,692212,0.0007770255131093638,0.0
