,Disease,RNA,Relation,True_y
440,D013274,654322,0.005001951538628417,0.0
441,D013274,692073,0.011552784735870326,1.0
442,D013274,677804,0.005060403139801909,1.0
443,D013274,677824,0.017497891801088065,1.0
444,D013274,677808,0.011848338844621742,0.0
445,D013274,677809,0.026930864772716855,1.0
446,D013274,677814,0.01259327173070999,1.0
447,D013274,594839,0.015871211270106184,0.0
448,D013274,677817,0.012174118496463798,0.0
449,D013274,619562,0.007559278952519535,0.0
450,D013274,677827,0.010209559158922393,0.0
451,D013274,677842,0.005355648930044768,1.0
452,D013274,677832,0.01329715949933755,0.0
453,D013274,677836,0.007665367720124673,1.0
454,D013274,677838,0.008898513327221018,1.0
455,D013274,26779,0.014693271873426767,0.0
456,D013274,100124538,0.017117235528977127,0.0
457,D013274,26775,0.007938528097823697,0.0
458,D013274,6080,0.01695055974483031,1.0
459,D013274,677823,0.013606677910560198,0.0
460,D013274,677847,0.016544068582737187,0.0
461,D013274,677798,0.016775390700126812,1.0
462,D013274,652966,0.018404126326220852,1.0
463,D013274,594837,0.015297712850586443,1.0
464,D013274,26771,0.013994631445880217,1.0
465,D013274,692234,0.02561351626342498,0.0
466,D013274,692235,0.027138538746168322,0.0
467,D013274,692200,0.010194162409729568,1.0
468,D013274,692227,0.012965316476455633,1.0
469,D013274,692229,0.01204745434591187,1.0
470,D013274,100113382,0.013182286804681403,1.0
471,D013274,692058,0.004721702471026053,1.0
472,D013274,692213,0.007265299004867625,1.0
473,D013274,692214,0.003185460886397865,1.0
474,D013274,692215,0.017553274319769316,0.0
475,D013274,767561,0.015105343571236649,0.0
476,D013274,767562,0.012897024254790642,0.0
477,D013274,767563,0.011373153187650826,1.0
478,D013274,767565,0.016453597151370326,0.0
479,D013274,767566,0.01027929326268369,1.0
480,D013274,767567,0.008849149207903181,1.0
481,D013274,767568,0.019097993984494084,1.0
482,D013274,767569,0.007876664246833422,0.0
483,D013274,767577,0.019765129535671208,1.0
484,D013274,767588,0.008616149215922615,0.0
485,D013274,767589,0.012826727944100787,0.0
486,D013274,767590,0.0109721149924666,1.0
487,D013274,767591,0.012776586211727128,1.0
488,D013274,767592,0.010150826717972973,1.0
489,D013274,767593,0.012690619449912278,1.0
490,D013274,767595,0.01959147249679042,1.0
491,D013274,767578,0.013573172777825313,0.0
492,D013274,767598,0.004993433302011839,1.0
493,D013274,767599,0.012690619449912323,1.0
494,D013274,767600,0.0018014687294285008,1.0
495,D013274,767603,0.005116889188239514,1.0
496,D013274,767605,0.005753754161780431,1.0
497,D013274,767606,0.007729490222863554,1.0
498,D013274,767609,0.005753754161780374,1.0
499,D013274,767610,0.0067241906762657636,1.0
500,D013274,767579,0.01650114506920402,1.0
501,D013274,767581,0.011076425673042418,1.0
502,D013274,767585,0.004191197821398368,1.0
503,D013274,338433,0.00955531230514874,0.0
504,D013274,100033447,0.0006414708996577402,0.0
505,D013274,100033450,0.00839772629074641,0.0
506,D013274,100033453,0.0006414708996576326,0.0
507,D013274,100033454,0.0006628078457906933,0.0
508,D013274,100033603,0.0006414708996577037,0.0
509,D013274,100033800,0.004025493307085802,0.0
510,D013274,100033805,0.014838800330727684,0.0
511,D013274,100033806,0.0006547297922415763,0.0
512,D013274,100033807,0.0023893568776253587,0.0
513,D013274,100033814,0.0006628078457906976,0.0
514,D013274,100033816,0.0006628078457905546,0.0
515,D013274,100033445,0.000654729792241437,0.0
516,D013274,100033413,0.004154047715151221,1.0
517,D013274,100033427,0.005369512097272898,0.0
518,D013274,100033428,0.005947446529821694,1.0
519,D013274,100033414,0.0009369074222212959,1.0
520,D013274,100033431,0.006322352010428172,1.0
521,D013274,100033432,0.005645077840042495,1.0
522,D013274,100033435,0.010024549471029685,0.0
523,D013274,100033436,0.007921997975334598,1.0
524,D013274,100033821,0.0030691494499573216,0.0
525,D013274,100033415,0.003954232974346801,1.0
526,D013274,692233,0.01634890723048841,1.0
527,D013274,727676,0.016517851259633592,0.0
528,D013274,100113378,0.011823643059994862,1.0
529,D013274,100113392,0.00900016435362325,0.0
530,D013274,692057,0.008227814264306863,1.0
531,D013274,100113379,0.0261877200926771,0.0
532,D013274,101340252,0.021209425661529474,1.0
533,D013274,100113384,0.003542616797807276,1.0
534,D013274,101340251,0.015819348605859297,1.0
535,D013274,100113380,0.015337385525815848,1.0
536,D013274,100113391,0.023204306414695286,1.0
537,D013274,100113389,0.01149438562034168,1.0
538,D013274,100113393,0.0111378603241107,1.0
539,D013274,26765,0.008321482066887468,1.0
540,D013274,692084,0.021744078618088615,1.0
541,D013274,26822,0.010274836595730539,1.0
542,D013274,85388,0.01117716465081926,1.0
543,D013274,85389,0.012109489611290578,1.0
544,D013274,85390,0.024382432764415124,1.0
545,D013274,85391,0.012451914633878021,1.0
