,Disease,RNA,Relation,True_y
3520,D007154,654322,2.1647443145775758e-15,0.0
3521,D007154,692073,2.9271545413027953e-15,0.0
3522,D007154,677804,2.2944904887296995e-15,0.0
3523,D007154,677824,4.510186503417891e-15,0.0
3524,D007154,677808,3.479364924760589e-15,0.0
3525,D007154,677809,4.1672653420402e-15,0.0
3526,D007154,677814,4.581566247451008e-15,0.0
3527,D007154,594839,3.387591110047257e-15,0.0
3528,D007154,677817,3.1157347962841344e-15,0.0
3529,D007154,619562,2.6221606362486665e-15,0.0
3530,D007154,677827,3.4190972105922456e-15,0.0
3531,D007154,677842,2.5652934305236846e-15,0.0
3532,D007154,677832,3.8516288991201456e-15,0.0
3533,D007154,677836,2.511705592371155e-15,0.0
3534,D007154,677838,3.554365127622408e-15,0.0
3535,D007154,26779,3.3295152924285097e-15,0.0
3536,D007154,100124538,2.7929182445440407e-15,0.0
3537,D007154,26775,2.6581698373275006e-15,0.0
3538,D007154,6080,3.608599241364621e-15,0.0
3539,D007154,677823,3.8056894254522924e-15,0.0
3540,D007154,677847,4.180956606913412e-15,0.0
3541,D007154,677798,4.3526245594618644e-15,0.0
3542,D007154,652966,4.771683464463116e-15,0.0
3543,D007154,594837,2.6986526285094506e-15,0.0
3544,D007154,26771,3.555316638998795e-15,0.0
3545,D007154,692234,4.022641795475874e-15,1.0
3546,D007154,692235,4.022641795475907e-15,0.0
3547,D007154,692200,3.667346002898674e-15,0.0
3548,D007154,692227,3.6219517120144306e-15,1.0
3549,D007154,692229,3.847561975909098e-15,1.0
3550,D007154,100113382,4.722063369238188e-15,0.0
3551,D007154,692058,3.233187581412616e-15,1.0
3552,D007154,692213,3.310275279008867e-15,0.0
3553,D007154,692214,1.5685213191789274e-15,1.0
3554,D007154,692215,3.4048526146173504e-15,0.0
3555,D007154,767561,2.1773939835147865e-15,0.0
3556,D007154,767562,2.2116971653229594e-15,0.0
3557,D007154,767563,3.945432088837952e-15,0.0
3558,D007154,767565,9.258011165187621e-16,0.0
3559,D007154,767566,3.570156291542255e-15,0.0
3560,D007154,767567,3.4831972181326443e-15,0.0
3561,D007154,767568,3.266406846206568e-15,0.0
3562,D007154,767569,2.8324736845468627e-15,0.0
3563,D007154,767577,3.2518364519336975e-15,0.0
3564,D007154,767588,2.059601878198316e-15,0.0
3565,D007154,767589,2.2180868581484917e-15,0.0
3566,D007154,767590,4.292330646038164e-15,0.0
3567,D007154,767591,3.039076710057292e-15,0.0
3568,D007154,767592,2.903919986868462e-15,0.0
3569,D007154,767593,2.7099870747783544e-15,0.0
3570,D007154,767595,3.3080653509552027e-15,0.0
3571,D007154,767578,1.900728292327872e-15,0.0
3572,D007154,767598,1.1861957738806862e-15,0.0
3573,D007154,767599,2.709987074778335e-15,0.0
3574,D007154,767600,1.907633886580993e-15,0.0
3575,D007154,767603,2.4435339859304545e-15,0.0
3576,D007154,767605,1.4328394101330039e-15,0.0
3577,D007154,767606,3.1091819223011647e-15,0.0
3578,D007154,767609,1.4328394101329952e-15,0.0
3579,D007154,767610,1.5183162166151541e-15,0.0
3580,D007154,767579,3.1772818902308884e-15,0.0
3581,D007154,767581,2.6033403603374528e-15,0.0
3582,D007154,767585,1.1554661424214718e-15,0.0
3583,D007154,338433,2.2936380180590226e-15,0.0
3584,D007154,100033447,1.4217992350035287e-15,0.0
3585,D007154,100033450,9.026613675201464e-16,0.0
3586,D007154,100033453,1.4217992350035823e-15,0.0
3587,D007154,100033454,1.4264528068891105e-15,0.0
3588,D007154,100033603,1.4217992350035225e-15,0.0
3589,D007154,100033800,2.017973275741514e-15,0.0
3590,D007154,100033805,2.4002920603091493e-15,0.0
3591,D007154,100033806,1.5256615183339648e-15,0.0
3592,D007154,100033807,1.927124831766617e-15,0.0
3593,D007154,100033814,1.4264528068891606e-15,0.0
3594,D007154,100033816,1.4264528068891322e-15,0.0
3595,D007154,100033445,1.5256615183339865e-15,0.0
3596,D007154,100033413,1.8383780300467653e-15,0.0
3597,D007154,100033427,2.6431385680895765e-15,0.0
3598,D007154,100033428,2.3347300234338306e-15,0.0
3599,D007154,100033414,1.207546138377751e-15,0.0
3600,D007154,100033431,2.351564772677945e-15,0.0
3601,D007154,100033432,3.2543771739364597e-15,0.0
3602,D007154,100033435,2.301071103108097e-15,0.0
3603,D007154,100033436,2.498794563479381e-15,1.0
3604,D007154,100033821,2.062726455707049e-15,0.0
3605,D007154,100033415,1.8295966851544647e-15,0.0
3606,D007154,692233,4.288593482904133e-15,1.0
3607,D007154,727676,2.9639692477727594e-15,0.0
3608,D007154,100113378,2.4578243970184384e-15,0.0
3609,D007154,100113392,2.0368958933347852e-15,1.0
3610,D007154,692057,2.3003642029627444e-15,1.0
3611,D007154,100113379,4.021800364323046e-15,0.0
3612,D007154,101340252,3.3929318469862083e-15,0.0
3613,D007154,100113384,1.558933554409874e-15,0.0
3614,D007154,101340251,3.626329057372802e-15,0.0
3615,D007154,100113380,3.6335640305292025e-15,0.0
3616,D007154,100113391,3.512807716078136e-15,0.0
3617,D007154,100113389,2.778144701776763e-15,0.0
3618,D007154,100113393,2.257182708648154e-15,0.0
3619,D007154,26765,1.8701258896860076e-15,0.0
3620,D007154,692084,3.658915630049304e-15,0.0
3621,D007154,26822,3.451953357088481e-15,0.0
3622,D007154,85388,4.021195285328561e-15,0.0
3623,D007154,85389,3.2794055501802794e-15,0.0
3624,D007154,85390,4.226117628134502e-15,0.0
3625,D007154,85391,3.2973504826633634e-15,0.0
3626,D007154,6079,4.819802550348793e-15,0.0
3627,D007154,114599,5.159754354588269e-15,0.0
3628,D007154,595097,4.152294337195192e-15,0.0
3629,D007154,595098,2.570042810429406e-15,0.0
3630,D007154,595099,3.6035737799871104e-15,0.0
3631,D007154,595100,3.4647089766323903e-15,0.0
3632,D007154,692089,3.550644144991625e-15,0.0
3633,D007154,100113381,2.5782809957201736e-15,1.0
3634,D007154,677848,1.9993938984992923e-15,0.0
3635,D007154,677849,4.008806865209838e-15,0.0
3636,D007154,677850,2.6513888108980464e-15,0.0
3637,D007154,619567,3.1833089884785802e-15,0.0
3638,D007154,6082,2.5106465140127908e-15,1.0
3639,D007154,6083,2.681375482443581e-15,1.0
3640,D007154,9304,5.465742964573676e-15,0.0
3641,D007154,692091,1.7583546859836855e-15,1.0
3642,D007154,26820,3.176925552326747e-15,1.0
3643,D007154,9303,2.4488565660285673e-15,0.0
3644,D007154,9302,2.253439734439418e-15,0.0
3645,D007154,9301,3.582157124387556e-15,0.0
3646,D007154,9300,3.037306870159567e-15,0.0
