,Disease,RNA,Relation,True_y
1540,D011471,654322,0.020346430309990546,0.0
1541,D011471,692073,0.022972421665409914,0.0
1542,D011471,677804,0.01668743151022829,0.0
1543,D011471,677824,0.02278926405491325,0.0
1544,D011471,677808,0.016672741912571173,0.0
1545,D011471,677809,0.02144966189301769,0.0
1546,D011471,677814,0.023556990890888092,0.0
1547,D011471,594839,0.02226230114831977,0.0
1548,D011471,677817,0.02142129371613682,0.0
1549,D011471,619562,0.017182599641000905,0.0
1550,D011471,677827,0.02110904077346654,0.0
1551,D011471,677842,0.010221533034664382,0.0
1552,D011471,677832,0.021240050145038644,0.0
1553,D011471,677836,0.024621357359941518,0.0
1554,D011471,677838,0.02321253317149038,0.0
1555,D011471,26779,0.023928084097748884,0.0
1556,D011471,100124538,0.017771564315279553,0.0
1557,D011471,26775,0.014687116845287522,0.0
1558,D011471,6080,0.022682406741781333,0.0
1559,D011471,677823,0.017071837141117034,0.0
1560,D011471,677847,0.023898359207736503,0.0
1561,D011471,677798,0.023081909307079845,0.0
1562,D011471,652966,0.019402489914871774,0.0
1563,D011471,594837,0.016326356202252465,0.0
1564,D011471,26771,0.020376959275465355,0.0
1565,D011471,692234,0.021783012448238173,0.0
1566,D011471,692235,0.02145059145394624,0.0
1567,D011471,692200,0.016492120038698384,0.0
1568,D011471,692227,0.014666575878776497,0.0
1569,D011471,692229,0.02053183531763647,0.0
1570,D011471,100113382,0.016199984308722864,0.0
1571,D011471,692058,0.012806120001552707,0.0
1572,D011471,692213,0.010128781136166823,0.0
1573,D011471,692214,0.017836120362601786,0.0
1574,D011471,692215,0.02459043845489072,0.0
1575,D011471,767561,0.010999779229180906,0.0
1576,D011471,767562,0.017815595492045953,0.0
1577,D011471,767563,0.013575677494606175,0.0
1578,D011471,767565,0.013145342146085906,0.0
1579,D011471,767566,0.016970360444808263,0.0
1580,D011471,767567,0.01026336576252235,0.0
1581,D011471,767568,0.022299468146176078,0.0
1582,D011471,767569,0.0093003109130883,0.0
1583,D011471,767577,0.01381075007408116,0.0
1584,D011471,767588,0.013094764835041616,0.0
1585,D011471,767589,0.014595511666640618,0.0
1586,D011471,767590,0.017483715036906704,0.0
1587,D011471,767591,0.015248350866236665,0.0
1588,D011471,767592,0.015952768367636615,0.0
1589,D011471,767593,0.013950601380176939,0.0
1590,D011471,767595,0.017624971494879474,0.0
1591,D011471,767578,0.016337821340495665,0.0
1592,D011471,767598,0.011675993418557564,0.0
1593,D011471,767599,0.013950601380175965,0.0
1594,D011471,767600,0.010963973938355309,0.0
1595,D011471,767603,0.014258323972394078,0.0
1596,D011471,767605,0.010992831325204892,0.0
1597,D011471,767606,0.014017396355318304,0.0
1598,D011471,767609,0.010992831325205132,0.0
1599,D011471,767610,0.012468785995829304,0.0
1600,D011471,767579,0.014281120587312592,0.0
1601,D011471,767581,0.014831159489665634,0.0
1602,D011471,767585,0.010904956807342162,0.0
1603,D011471,338433,0.024813870403512375,0.0
1604,D011471,100033447,0.024292186577526135,0.0
1605,D011471,100033450,0.02450335608277577,0.0
1606,D011471,100033453,0.024292186577527228,0.0
1607,D011471,100033454,0.024317094046996925,0.0
1608,D011471,100033603,0.0242921865775258,0.0
1609,D011471,100033800,0.02290108930740884,0.0
1610,D011471,100033805,0.025266913129275426,0.0
1611,D011471,100033806,0.02311464242221946,0.0
1612,D011471,100033807,0.022840207862735405,0.0
1613,D011471,100033814,0.024317094046997514,0.0
1614,D011471,100033816,0.024317094046995988,0.0
1615,D011471,100033445,0.023114642422222824,0.0
1616,D011471,100033413,0.02371756580541522,0.0
1617,D011471,100033427,0.023328031574298493,0.0
1618,D011471,100033428,0.023640226876602596,0.0
1619,D011471,100033414,0.01884581278155044,0.0
1620,D011471,100033431,0.023746843432310698,0.0
1621,D011471,100033432,0.024430326789130707,0.0
1622,D011471,100033435,0.024256902927137346,0.0
1623,D011471,100033436,0.0210481011426312,0.0
1624,D011471,100033821,0.023230403193897804,0.0
1625,D011471,100033415,0.023033253426092852,0.0
1626,D011471,692233,0.017101964849074985,1.0
1627,D011471,727676,0.017820683866933557,0.0
1628,D011471,100113378,0.013936502468812891,0.0
