,Disease,RNA,Relation,True_y
0,D008175,654322,0.056024023371618534,0.0
1,D008175,692073,0.1760394407163024,0.0
2,D008175,677804,0.13298871569724277,0.0
3,D008175,677824,0.26552130354991876,0.0
4,D008175,677808,0.11212083123518968,0.0
5,D008175,677809,0.3076041483983993,0.0
6,D008175,677814,0.20418725152665224,0.0
7,D008175,594839,0.10308424539310979,0.0
8,D008175,677817,0.09760881265663011,0.0
9,D008175,619562,0.06634346283460224,0.0
10,D008175,677827,0.0753776230122864,0.0
11,D008175,677842,0.11011800369415586,0.0
12,D008175,677832,0.10517617197563012,0.0
13,D008175,677836,0.19273520648482853,0.0
14,D008175,677838,0.17467170029774773,0.0
15,D008175,26779,0.10470388250561306,0.0
16,D008175,100124538,0.13312360863271666,0.0
17,D008175,26775,0.09220942653291629,0.0
18,D008175,6080,0.23451572474047305,0.0
19,D008175,677823,0.07951634755792156,0.0
20,D008175,677847,0.1214789530982951,0.0
21,D008175,677798,0.19459549026312695,0.0
22,D008175,652966,0.361084391030174,1.0
23,D008175,594837,0.2569813549848192,0.0
24,D008175,26771,0.24372861229284506,0.0
25,D008175,692234,0.48150966177046167,1.0
26,D008175,692235,0.4586769394161937,1.0
27,D008175,692200,0.13856945857814268,0.0
28,D008175,692227,0.40995846945778147,1.0
29,D008175,692229,0.19208588996052095,0.0
30,D008175,100113382,0.4021698062414045,1.0
31,D008175,692058,0.12971282736906992,0.0
32,D008175,692213,0.14506339249598083,0.0
33,D008175,692214,0.18500709769510726,0.0
34,D008175,692215,0.4406026818554741,1.0
35,D008175,767561,0.14875312406954305,0.0
36,D008175,767562,0.1514865750926027,0.0
37,D008175,767563,0.47020692807687625,1.0
38,D008175,767565,0.2057872393620493,0.0
39,D008175,767566,0.26689442712777334,0.0
40,D008175,767567,0.41455181593972545,1.0
41,D008175,767568,0.5732785724471967,1.0
42,D008175,767569,0.3256469276169972,1.0
43,D008175,767577,0.5237314582808802,1.0
44,D008175,767588,0.10047026008085769,0.0
45,D008175,767589,0.194059789992106,0.0
46,D008175,767590,0.4634736450124214,1.0
47,D008175,767591,0.2887537647245376,0.0
48,D008175,767592,0.24536345035827842,0.0
49,D008175,767593,0.4788447532829684,1.0
50,D008175,767595,0.5184142041718307,1.0
51,D008175,767578,0.20379039423410858,0.0
52,D008175,767598,0.1945482822917879,0.0
53,D008175,767599,0.4788447532829656,1.0
54,D008175,767600,0.1858423454076511,0.0
55,D008175,767603,0.21128489041708032,0.0
56,D008175,767605,0.19219039586888467,0.0
57,D008175,767606,0.19539734465109926,0.0
58,D008175,767609,0.19219039586888675,0.0
59,D008175,767610,0.1850828186037458,0.0
60,D008175,767579,0.4981506329171224,1.0
61,D008175,767581,0.28762033561106665,0.0
62,D008175,767585,0.1944154420178012,0.0
63,D008175,338433,0.33349989499189725,1.0
64,D008175,100033447,0.11380590647016692,0.0
65,D008175,100033450,0.19279760628804204,0.0
66,D008175,100033453,0.11380590647016664,0.0
67,D008175,100033454,0.11402681038964925,0.0
68,D008175,100033603,0.11380590647016853,0.0
69,D008175,100033800,0.1363174045962114,0.0
70,D008175,100033805,0.2044602280465499,0.0
71,D008175,100033806,0.09441920735003939,0.0
72,D008175,100033807,0.09375907493773308,0.0
73,D008175,100033814,0.11402681038965191,0.0
74,D008175,100033816,0.11402681038965114,0.0
75,D008175,100033445,0.0944192073500405,0.0
76,D008175,100033413,0.18995770239290094,0.0
77,D008175,100033427,0.13258103737536403,0.0
78,D008175,100033428,0.20161450162414943,0.0
79,D008175,100033414,0.15729970985644698,0.0
80,D008175,100033431,0.20563561987692852,0.0
81,D008175,100033432,0.22069686398080396,0.0
82,D008175,100033435,0.20964136889105928,0.0
83,D008175,100033436,0.2950734018524467,0.0
84,D008175,100033821,0.12413575302647929,0.0
85,D008175,100033415,0.18499023105262868,0.0
86,D008175,692233,0.2370086627073249,0.0
87,D008175,727676,0.11649379598475293,0.0
88,D008175,100113378,0.14723572910651128,0.0
89,D008175,100113392,0.33141858614572817,1.0
90,D008175,692057,0.19017416432748296,0.0
91,D008175,100113379,0.44518101016555295,1.0
92,D008175,101340252,0.28837433321416683,0.0
93,D008175,100113384,0.1625154437822765,0.0
94,D008175,101340251,0.19839025204678423,0.0
95,D008175,100113380,0.1589915265573603,0.0
96,D008175,100113391,0.2628635134977505,0.0
97,D008175,100113389,0.22644576146258244,0.0
98,D008175,100113393,0.1629090568829356,0.0
99,D008175,26765,0.1615634755146858,0.0
100,D008175,692084,0.4891381088758207,1.0
101,D008175,26822,0.17231877518276334,0.0
102,D008175,85388,0.1853515025658598,0.0
103,D008175,85389,0.22514602876906603,0.0
